SA2_NAME16	Age	Sex	workers
Box Head - MacMasters Beach	40-44	F	87
Box Head - MacMasters Beach	40-44	M	46
Box Head - MacMasters Beach	45-49	F	94
Box Head - MacMasters Beach	45-49	M	71
Box Head - MacMasters Beach	50-54	F	74
Box Head - MacMasters Beach	50-54	M	83
Box Head - MacMasters Beach	55-59	F	83
Box Head - MacMasters Beach	55-59	M	80
Box Head - MacMasters Beach	60-64	F	45
Box Head - MacMasters Beach	60-64	M	59
Box Head - MacMasters Beach	65-69	F	18
Box Head - MacMasters Beach	65-69	M	48
Box Head - MacMasters Beach	70-74	F	11
Box Head - MacMasters Beach	70-74	M	22
Box Head - MacMasters Beach	75+	F	3
Box Head - MacMasters Beach	75+	M	11
Calga - Kulnura	15-19	F	62
Calga - Kulnura	15-19	M	133
Calga - Kulnura	20-24	F	130
Calga - Kulnura	20-24	M	341
Calga - Kulnura	25-29	F	112
Calga - Kulnura	25-29	M	366
Calga - Kulnura	30-34	F	136
Calga - Kulnura	30-34	M	416
Calga - Kulnura	35-39	F	154
Calga - Kulnura	35-39	M	370
Calga - Kulnura	40-44	F	182
Calga - Kulnura	40-44	M	391
Calga - Kulnura	45-49	F	218
Calga - Kulnura	45-49	M	483
Calga - Kulnura	50-54	F	178
Calga - Kulnura	50-54	M	460
Calga - Kulnura	55-59	F	142
Calga - Kulnura	55-59	M	366
Calga - Kulnura	60-64	F	90
Calga - Kulnura	60-64	M	225
Calga - Kulnura	65-69	F	39
Calga - Kulnura	65-69	M	111
Calga - Kulnura	70-74	F	28
Calga - Kulnura	70-74	M	43
Calga - Kulnura	75+	F	9
Calga - Kulnura	75+	M	39
Erina - Green Point	15-19	F	680
Erina - Green Point	15-19	M	389
Erina - Green Point	20-24	F	705
Erina - Green Point	20-24	M	471
Erina - Green Point	25-29	F	512
Erina - Green Point	25-29	M	342
Erina - Green Point	30-34	F	448
Erina - Green Point	30-34	M	349
Erina - Green Point	35-39	F	499
Erina - Green Point	35-39	M	372
Erina - Green Point	40-44	F	576
Erina - Green Point	40-44	M	342
Erina - Green Point	45-49	F	661
Erina - Green Point	45-49	M	328
Erina - Green Point	50-54	F	634
Erina - Green Point	50-54	M	343
Erina - Green Point	55-59	F	572
Erina - Green Point	55-59	M	321
Erina - Green Point	60-64	F	341
Erina - Green Point	60-64	M	233
Erina - Green Point	65-69	F	123
Erina - Green Point	65-69	M	98
Erina - Green Point	70-74	F	38
Erina - Green Point	70-74	M	33
Erina - Green Point	75+	F	14
Erina - Green Point	75+	M	23
Gosford - Springfield	15-19	F	424
Gosford - Springfield	15-19	M	380
Gosford - Springfield	20-24	F	764
Gosford - Springfield	20-24	M	731
Gosford - Springfield	25-29	F	1001
Gosford - Springfield	25-29	M	820
Gosford - Springfield	30-34	F	1061
Gosford - Springfield	30-34	M	814
Gosford - Springfield	35-39	F	1080
Gosford - Springfield	35-39	M	833
Gosford - Springfield	40-44	F	1321
Gosford - Springfield	40-44	M	889
Gosford - Springfield	45-49	F	1389
Gosford - Springfield	45-49	M	878
Gosford - Springfield	50-54	F	1316
Gosford - Springfield	50-54	M	907
Gosford - Springfield	55-59	F	1282
Gosford - Springfield	55-59	M	871
Gosford - Springfield	60-64	F	743
Gosford - Springfield	60-64	M	568
Gosford - Springfield	65-69	F	266
Gosford - Springfield	65-69	M	271
Gosford - Springfield	70-74	F	64
Gosford - Springfield	70-74	M	98
Gosford - Springfield	75+	F	26
Gosford - Springfield	75+	M	37
Kariong	15-19	F	36
Kariong	15-19	M	26
Kariong	20-24	F	52
Kariong	20-24	M	41
Kariong	25-29	F	61
Kariong	25-29	M	58
Kariong	30-34	F	58
Kariong	30-34	M	57
Kariong	35-39	F	63
Kariong	35-39	M	50
Kariong	40-44	F	114
Kariong	40-44	M	76
Kariong	45-49	F	91
Kariong	45-49	M	77
Kariong	50-54	F	91
Kariong	50-54	M	88
Kariong	55-59	F	70
Kariong	55-59	M	73
Kariong	60-64	F	45
Kariong	60-64	M	46
Kariong	65-69	F	10
Kariong	65-69	M	19
Kariong	70-74	F	3
Kariong	70-74	M	10
Kariong	75+	M	3
Kincumber - Picketts Valley	15-19	F	116
