LGA_NAME16	Occupation	OccupationSubtype	workers
Murray Bridge (RC)	Managers	Chief executives general managers and legislators	53
Murray Bridge (RC)	Managers	Farmers and farm managers	335
Murray Bridge (RC)	Managers	Hospitality retail and service managers	325
Murray Bridge (RC)	Managers	Managers nfd	14
Murray Bridge (RC)	Managers	Specialist managers	323
Murray Bridge (RC)	Professionals	Arts and media professionals	29
Murray Bridge (RC)	Professionals	Business human resource and marketing professionals	167
Murray Bridge (RC)	Professionals	Design engineering science and transport professionals	95
Murray Bridge (RC)	Professionals	Education professionals	347
Murray Bridge (RC)	Professionals	Health professionals	266
Murray Bridge (RC)	Professionals	Information and Communication Technology ICT professionals	18
Murray Bridge (RC)	Professionals	Legal social and welfare professionals	156
Murray Bridge (RC)	Professionals	Professionals nfd	3
Murray Bridge (RC)	Sales workers	Sales assistants and salespersons	716
Murray Bridge (RC)	Sales workers	Sales representatives and agents	81
Murray Bridge (RC)	Sales workers	Sales support workers	147
Murray Bridge (RC)	Technicians and trades workers	Automotive and engineering trades workers	316
Murray Bridge (RC)	Technicians and trades workers	Construction trades workers	140
Murray Bridge (RC)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	125
Murray Bridge (RC)	Technicians and trades workers	Engineering ICT and science technicians	101
Murray Bridge (RC)	Technicians and trades workers	Food trades workers	128
Murray Bridge (RC)	Technicians and trades workers	Other technicians and trades workers	107
Murray Bridge (RC)	Technicians and trades workers	Skilled animal and horticultural workers	141
Murray Bridge (RC)	Technicians and trades workers	Technicians and trades workers nfd	10
Naracoorte and Lucindale (DC)			43
Naracoorte and Lucindale (DC)	Clerical and administrative workers	Clerical and office support workers	20
Naracoorte and Lucindale (DC)	Clerical and administrative workers	General clerical workers	99
Naracoorte and Lucindale (DC)	Clerical and administrative workers	Inquiry clerks and receptionists	36
Naracoorte and Lucindale (DC)	Clerical and administrative workers	Numerical clerks	105
Naracoorte and Lucindale (DC)	Clerical and administrative workers	Office managers and program administrators	66
Naracoorte and Lucindale (DC)	Clerical and administrative workers	Other clerical and administrative workers	39
Naracoorte and Lucindale (DC)	Clerical and administrative workers	Personal assistants and secretaries	36
Naracoorte and Lucindale (DC)	Community and personal service workers	Carers and aides	161
Naracoorte and Lucindale (DC)	Community and personal service workers	Health and welfare support workers	38
Naracoorte and Lucindale (DC)	Community and personal service workers	Hospitality workers	58
Naracoorte and Lucindale (DC)	Community and personal service workers	Protective service workers	20
Naracoorte and Lucindale (DC)	Community and personal service workers	Sports and personal service workers	35
Naracoorte and Lucindale (DC)	Labourers	Cleaners and laundry workers	110
Naracoorte and Lucindale (DC)	Labourers	Construction and mining labourers	40
Naracoorte and Lucindale (DC)	Labourers	Factory process workers	260
Naracoorte and Lucindale (DC)	Labourers	Farm forestry and garden workers	244
Naracoorte and Lucindale (DC)	Labourers	Food preparation assistants	51
Naracoorte and Lucindale (DC)	Labourers	Labourers nfd	12
Naracoorte and Lucindale (DC)	Labourers	Other labourers	70
Naracoorte and Lucindale (DC)	Machinery operators and drivers	Machine and stationary plant operators	25
Naracoorte and Lucindale (DC)	Machinery operators and drivers	Machinery operators and drivers nfd	10
Naracoorte and Lucindale (DC)	Machinery operators and drivers	Mobile plant operators	59
Naracoorte and Lucindale (DC)	Machinery operators and drivers	Road and rail drivers	113
Naracoorte and Lucindale (DC)	Machinery operators and drivers	Storepersons	13
Naracoorte and Lucindale (DC)	Managers	Chief executives general managers and legislators	17
Naracoorte and Lucindale (DC)	Managers	Farmers and farm managers	593
Naracoorte and Lucindale (DC)	Managers	Hospitality retail and service managers	171
Naracoorte and Lucindale (DC)	Managers	Managers nfd	11
Naracoorte and Lucindale (DC)	Managers	Specialist managers	115
Naracoorte and Lucindale (DC)	Professionals	Arts and media professionals	9
Naracoorte and Lucindale (DC)	Professionals	Business human resource and marketing professionals	98
Naracoorte and Lucindale (DC)	Professionals	Design engineering science and transport professionals	55
Naracoorte and Lucindale (DC)	Professionals	Education professionals	140
Naracoorte and Lucindale (DC)	Professionals	Health professionals	136
Naracoorte and Lucindale (DC)	Professionals	Information and Communication Technology ICT professionals	3
Naracoorte and Lucindale (DC)	Professionals	Legal social and welfare professionals	32
Naracoorte and Lucindale (DC)	Sales workers	Sales assistants and salespersons	294
Naracoorte and Lucindale (DC)	Sales workers	Sales representatives and agents	69
Naracoorte and Lucindale (DC)	Sales workers	Sales support workers	68
Naracoorte and Lucindale (DC)	Technicians and trades workers	Automotive and engineering trades workers	146
Naracoorte and Lucindale (DC)	Technicians and trades workers	Construction trades workers	60
Naracoorte and Lucindale (DC)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	66
Naracoorte and Lucindale (DC)	Technicians and trades workers	Engineering ICT and science technicians	21
Naracoorte and Lucindale (DC)	Technicians and trades workers	Food trades workers	78
Naracoorte and Lucindale (DC)	Technicians and trades workers	Other technicians and trades workers	34
Naracoorte and Lucindale (DC)	Technicians and trades workers	Skilled animal and horticultural workers	61
Naracoorte and Lucindale (DC)	Technicians and trades workers	Technicians and trades workers nfd	9
Northern Areas (DC)			16
Northern Areas (DC)	Clerical and administrative workers	Clerical and office support workers	13
Northern Areas (DC)	Clerical and administrative workers	General clerical workers	36
Northern Areas (DC)	Clerical and administrative workers	Inquiry clerks and receptionists	13
Northern Areas (DC)	Clerical and administrative workers	Numerical clerks	51
Northern Areas (DC)	Clerical and administrative workers	Office managers and program administrators	23
Northern Areas (DC)	Clerical and administrative workers	Other clerical and administrative workers	20
Northern Areas (DC)	Clerical and administrative workers	Personal assistants and secretaries	9
Northern Areas (DC)	Community and personal service workers	Carers and aides	68
Northern Areas (DC)	Community and personal service workers	Health and welfare support workers	32
Northern Areas (DC)	Community and personal service workers	Hospitality workers	27
Northern Areas (DC)	Community and personal service workers	Protective service workers	3
Northern Areas (DC)	Community and personal service workers	Sports and personal service workers	8
Northern Areas (DC)	Labourers	Cleaners and laundry workers	48
Northern Areas (DC)	Labourers	Construction and mining labourers	18
Northern Areas (DC)	Labourers	Factory process workers	45
Northern Areas (DC)	Labourers	Farm forestry and garden workers	53
Northern Areas (DC)	Labourers	Food preparation assistants	21
Northern Areas (DC)	Labourers	Labourers nfd	8
Northern Areas (DC)	Labourers	Other labourers	31
Northern Areas (DC)	Machinery operators and drivers	Machine and stationary plant operators	29
Northern Areas (DC)	Machinery operators and drivers	Machinery operators and drivers nfd	7
Northern Areas (DC)	Machinery operators and drivers	Mobile plant operators	33
Northern Areas (DC)	Machinery operators and drivers	Road and rail drivers	55
Northern Areas (DC)	Machinery operators and drivers	Storepersons	4
Northern Areas (DC)	Managers	Chief executives general managers and legislators	3
Northern Areas (DC)	Managers	Farmers and farm managers	396
Northern Areas (DC)	Managers	Hospitality retail and service managers	79
Northern Areas (DC)	Managers	Specialist managers	54
Northern Areas (DC)	Professionals	Arts and media professionals	3
Northern Areas (DC)	Professionals	Business human resource and marketing professionals	29
Northern Areas (DC)	Professionals	Design engineering science and transport professionals	20
Northern Areas (DC)	Professionals	Education professionals	71
Northern Areas (DC)	Professionals	Health professionals	69
Northern Areas (DC)	Professionals	Legal social and welfare professionals	11
Northern Areas (DC)	Sales workers	Sales assistants and salespersons	102
Northern Areas (DC)	Sales workers	Sales representatives and agents	14
Northern Areas (DC)	Sales workers	Sales support workers	16
Northern Areas (DC)	Technicians and trades workers	Automotive and engineering trades workers	68
Northern Areas (DC)	Technicians and trades workers	Construction trades workers	21
Northern Areas (DC)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	17
Northern Areas (DC)	Technicians and trades workers	Engineering ICT and science technicians	16
Northern Areas (DC)	Technicians and trades workers	Food trades workers	28
Northern Areas (DC)	Technicians and trades workers	Other technicians and trades workers	13
Northern Areas (DC)	Technicians and trades workers	Skilled animal and horticultural workers	26
Northern Areas (DC)	Technicians and trades workers	Technicians and trades workers nfd	5
Norwood Payneham St Peters (C)			309
Norwood Payneham St Peters (C)	Clerical and administrative workers	Clerical and administrative workers nfd	12
Norwood Payneham St Peters (C)	Clerical and administrative workers	Clerical and office support workers	237
Norwood Payneham St Peters (C)	Clerical and administrative workers	General clerical workers	665
Norwood Payneham St Peters (C)	Clerical and administrative workers	Inquiry clerks and receptionists	699
Norwood Payneham St Peters (C)	Clerical and administrative workers	Numerical clerks	775
Norwood Payneham St Peters (C)	Clerical and administrative workers	Office managers and program administrators	649
Norwood Payneham St Peters (C)	Clerical and administrative workers	Other clerical and administrative workers	313
Norwood Payneham St Peters (C)	Clerical and administrative workers	Personal assistants and secretaries	236
Norwood Payneham St Peters (C)	Community and personal service workers	Carers and aides	1066
Norwood Payneham St Peters (C)	Community and personal service workers	Health and welfare support workers	293
Norwood Payneham St Peters (C)	Community and personal service workers	Hospitality workers	710
Norwood Payneham St Peters (C)	Community and personal service workers	Protective service workers	101
Norwood Payneham St Peters (C)	Community and personal service workers	Sports and personal service workers	440
Norwood Payneham St Peters (C)	Labourers	Cleaners and laundry workers	487
Norwood Payneham St Peters (C)	Labourers	Construction and mining labourers	175
Norwood Payneham St Peters (C)	Labourers	Factory process workers	277
Norwood Payneham St Peters (C)	Labourers	Farm forestry and garden workers	70
Norwood Payneham St Peters (C)	Labourers	Food preparation assistants	418
Norwood Payneham St Peters (C)	Labourers	Labourers nfd	21
Norwood Payneham St Peters (C)	Labourers	Other labourers	330
Norwood Payneham St Peters (C)	Machinery operators and drivers	Machine and stationary plant operators	99
Norwood Payneham St Peters (C)	Machinery operators and drivers	Machinery operators and drivers nfd	8
Norwood Payneham St Peters (C)	Machinery operators and drivers	Mobile plant operators	53
Norwood Payneham St Peters (C)	Machinery operators and drivers	Road and rail drivers	138
Norwood Payneham St Peters (C)	Machinery operators and drivers	Storepersons	139
Norwood Payneham St Peters (C)	Managers	Chief executives general managers and legislators	427
Norwood Payneham St Peters (C)	Managers	Farmers and farm managers	16
Norwood Payneham St Peters (C)	Managers	Hospitality retail and service managers	1064
Norwood Payneham St Peters (C)	Managers	Managers nfd	77
Norwood Payneham St Peters (C)	Managers	Specialist managers	1397
Norwood Payneham St Peters (C)	Professionals	Arts and media professionals	202
Norwood Payneham St Peters (C)	Professionals	Business human resource and marketing professionals	1568
Norwood Payneham St Peters (C)	Professionals	Design engineering science and transport professionals	989
Norwood Payneham St Peters (C)	Professionals	Education professionals	1132
Norwood Payneham St Peters (C)	Professionals	Health professionals	1017
Norwood Payneham St Peters (C)	Professionals	Information and Communication Technology ICT professionals	484
Norwood Payneham St Peters (C)	Professionals	Legal social and welfare professionals	353
Norwood Payneham St Peters (C)	Professionals	Professionals nfd	33
Norwood Payneham St Peters (C)	Sales workers	Sales assistants and salespersons	1726
Norwood Payneham St Peters (C)	Sales workers	Sales representatives and agents	565
Norwood Payneham St Peters (C)	Sales workers	Sales support workers	395
Norwood Payneham St Peters (C)	Sales workers	Sales workers nfd	10
Norwood Payneham St Peters (C)	Technicians and trades workers	Automotive and engineering trades workers	274
Norwood Payneham St Peters (C)	Technicians and trades workers	Construction trades workers	328
Norwood Payneham St Peters (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	297
Norwood Payneham St Peters (C)	Technicians and trades workers	Engineering ICT and science technicians	868
Norwood Payneham St Peters (C)	Technicians and trades workers	Food trades workers	438
Norwood Payneham St Peters (C)	Technicians and trades workers	Other technicians and trades workers	437
Norwood Payneham St Peters (C)	Technicians and trades workers	Skilled animal and horticultural workers	200
Norwood Payneham St Peters (C)	Technicians and trades workers	Technicians and trades workers nfd	31
Onkaparinga (C)			491
Onkaparinga (C)	Clerical and administrative workers	Clerical and administrative workers nfd	3
Onkaparinga (C)	Clerical and administrative workers	Clerical and office support workers	190
Onkaparinga (C)	Clerical and administrative workers	General clerical workers	771
Onkaparinga (C)	Clerical and administrative workers	Inquiry clerks and receptionists	770
Onkaparinga (C)	Clerical and administrative workers	Numerical clerks	939
Onkaparinga (C)	Clerical and administrative workers	Office managers and program administrators	709
Onkaparinga (C)	Clerical and administrative workers	Other clerical and administrative workers	480
Onkaparinga (C)	Clerical and administrative workers	Personal assistants and secretaries	214
Onkaparinga (C)	Community and personal service workers	Carers and aides	2825
Onkaparinga (C)	Community and personal service workers	Community and personal service workers nfd	10
Onkaparinga (C)	Community and personal service workers	Health and welfare support workers	931
Onkaparinga (C)	Community and personal service workers	Hospitality workers	816
Onkaparinga (C)	Community and personal service workers	Protective service workers	326
Onkaparinga (C)	Community and personal service workers	Sports and personal service workers	589
Onkaparinga (C)	Labourers	Cleaners and laundry workers	862
Onkaparinga (C)	Labourers	Construction and mining labourers	448
Onkaparinga (C)	Labourers	Factory process workers	855
Onkaparinga (C)	Labourers	Farm forestry and garden workers	388
Onkaparinga (C)	Labourers	Food preparation assistants	997
Onkaparinga (C)	Labourers	Labourers nfd	72
Onkaparinga (C)	Labourers	Other labourers	846
Onkaparinga (C)	Machinery operators and drivers	Machine and stationary plant operators	486
Onkaparinga (C)	Machinery operators and drivers	Machinery operators and drivers nfd	39
Onkaparinga (C)	Machinery operators and drivers	Mobile plant operators	275
Onkaparinga (C)	Machinery operators and drivers	Road and rail drivers	908
Onkaparinga (C)	Machinery operators and drivers	Storepersons	292
Onkaparinga (C)	Managers	Chief executives general managers and legislators	320
Onkaparinga (C)	Managers	Farmers and farm managers	390
Onkaparinga (C)	Managers	Hospitality retail and service managers	1757
Onkaparinga (C)	Managers	Managers nfd	88
Onkaparinga (C)	Managers	Specialist managers	1625
Onkaparinga (C)	Professionals	Arts and media professionals	173
Onkaparinga (C)	Professionals	Business human resource and marketing professionals	781
Onkaparinga (C)	Professionals	Design engineering science and transport professionals	712
Onkaparinga (C)	Professionals	Education professionals	2368
Onkaparinga (C)	Professionals	Health professionals	1545
Onkaparinga (C)	Professionals	Information and Communication Technology ICT professionals	176
Onkaparinga (C)	Professionals	Legal social and welfare professionals	567
Onkaparinga (C)	Professionals	Professionals nfd	20
Onkaparinga (C)	Sales workers	Sales assistants and salespersons	3839
Onkaparinga (C)	Sales workers	Sales representatives and agents	500
Onkaparinga (C)	Sales workers	Sales support workers	875
Onkaparinga (C)	Sales workers	Sales workers nfd	5
Onkaparinga (C)	Technicians and trades workers	Automotive and engineering trades workers	1165
Onkaparinga (C)	Technicians and trades workers	Construction trades workers	983
Onkaparinga (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	576
Onkaparinga (C)	Technicians and trades workers	Engineering ICT and science technicians	485
Onkaparinga (C)	Technicians and trades workers	Food trades workers	647
Onkaparinga (C)	Technicians and trades workers	Other technicians and trades workers	878
Onkaparinga (C)	Technicians and trades workers	Skilled animal and horticultural workers	656
Onkaparinga (C)	Technicians and trades workers	Technicians and trades workers nfd	59
Orroroo/Carrieton (DC)			10
Orroroo/Carrieton (DC)	Clerical and administrative workers	General clerical workers	3
Orroroo/Carrieton (DC)	Clerical and administrative workers	Numerical clerks	9
Orroroo/Carrieton (DC)	Clerical and administrative workers	Office managers and program administrators	3
Orroroo/Carrieton (DC)	Clerical and administrative workers	Other clerical and administrative workers	4
Orroroo/Carrieton (DC)	Community and personal service workers	Carers and aides	31
Orroroo/Carrieton (DC)	Community and personal service workers	Health and welfare support workers	13
Orroroo/Carrieton (DC)	Community and personal service workers	Hospitality workers	3
Orroroo/Carrieton (DC)	Community and personal service workers	Protective service workers	3
Orroroo/Carrieton (DC)	Community and personal service workers	Sports and personal service workers	3
Orroroo/Carrieton (DC)	Labourers	Cleaners and laundry workers	9
Orroroo/Carrieton (DC)	Labourers	Construction and mining labourers	3
Orroroo/Carrieton (DC)	Labourers	Factory process workers	13
Orroroo/Carrieton (DC)	Labourers	Farm forestry and garden workers	30
Orroroo/Carrieton (DC)	Labourers	Food preparation assistants	7
Orroroo/Carrieton (DC)	Labourers	Labourers nfd	4
Orroroo/Carrieton (DC)	Labourers	Other labourers	3
Orroroo/Carrieton (DC)	Machinery operators and drivers	Mobile plant operators	5
Orroroo/Carrieton (DC)	Managers	Chief executives general managers and legislators	3
Orroroo/Carrieton (DC)	Managers	Farmers and farm managers	104
Orroroo/Carrieton (DC)	Managers	Hospitality retail and service managers	17
Orroroo/Carrieton (DC)	Managers	Specialist managers	6
Orroroo/Carrieton (DC)	Professionals	Business human resource and marketing professionals	3
Orroroo/Carrieton (DC)	Professionals	Design engineering science and transport professionals	3
Orroroo/Carrieton (DC)	Professionals	Education professionals	17
Orroroo/Carrieton (DC)	Professionals	Health professionals	16
Orroroo/Carrieton (DC)	Sales workers	Sales assistants and salespersons	16
Orroroo/Carrieton (DC)	Sales workers	Sales representatives and agents	3
Orroroo/Carrieton (DC)	Technicians and trades workers	Automotive and engineering trades workers	12
Orroroo/Carrieton (DC)	Technicians and trades workers	Food trades workers	7
Orroroo/Carrieton (DC)	Technicians and trades workers	Other technicians and trades workers	3
Orroroo/Carrieton (DC)	Technicians and trades workers	Skilled animal and horticultural workers	11
Peterborough (DC)			6
Peterborough (DC)	Clerical and administrative workers	Clerical and office support workers	3
Peterborough (DC)	Clerical and administrative workers	General clerical workers	8
Peterborough (DC)	Clerical and administrative workers	Inquiry clerks and receptionists	5
Peterborough (DC)	Clerical and administrative workers	Numerical clerks	9
Peterborough (DC)	Clerical and administrative workers	Office managers and program administrators	3
Peterborough (DC)	Clerical and administrative workers	Other clerical and administrative workers	4
Peterborough (DC)	Community and personal service workers	Carers and aides	31
Peterborough (DC)	Community and personal service workers	Health and welfare support workers	10
Peterborough (DC)	Community and personal service workers	Hospitality workers	12
Peterborough (DC)	Community and personal service workers	Protective service workers	7
Peterborough (DC)	Community and personal service workers	Sports and personal service workers	8
Peterborough (DC)	Labourers	Cleaners and laundry workers	14
Peterborough (DC)	Labourers	Construction and mining labourers	3
Peterborough (DC)	Labourers	Factory process workers	25
Peterborough (DC)	Labourers	Farm forestry and garden workers	15
Peterborough (DC)	Labourers	Food preparation assistants	6
Peterborough (DC)	Labourers	Labourers nfd	4
Peterborough (DC)	Labourers	Other labourers	15
Peterborough (DC)	Machinery operators and drivers	Machine and stationary plant operators	3
Peterborough (DC)	Machinery operators and drivers	Mobile plant operators	8
Peterborough (DC)	Machinery operators and drivers	Road and rail drivers	15
Peterborough (DC)	Machinery operators and drivers	Storepersons	3
Peterborough (DC)	Managers	Chief executives general managers and legislators	3
Peterborough (DC)	Managers	Farmers and farm managers	54
Peterborough (DC)	Managers	Hospitality retail and service managers	42
Peterborough (DC)	Managers	Specialist managers	16
Peterborough (DC)	Professionals	Business human resource and marketing professionals	9
Peterborough (DC)	Professionals	Design engineering science and transport professionals	3
Peterborough (DC)	Professionals	Education professionals	27
Peterborough (DC)	Professionals	Health professionals	22
Peterborough (DC)	Professionals	Legal social and welfare professionals	3
Peterborough (DC)	Sales workers	Sales assistants and salespersons	24
Peterborough (DC)	Sales workers	Sales representatives and agents	4
Peterborough (DC)	Sales workers	Sales support workers	11
Peterborough (DC)	Technicians and trades workers	Automotive and engineering trades workers	5
Peterborough (DC)	Technicians and trades workers	Construction trades workers	4
Peterborough (DC)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	3
Peterborough (DC)	Technicians and trades workers	Engineering ICT and science technicians	8
Peterborough (DC)	Technicians and trades workers	Food trades workers	16
Peterborough (DC)	Technicians and trades workers	Other technicians and trades workers	3
Peterborough (DC)	Technicians and trades workers	Skilled animal and horticultural workers	16
Playford (C)			420
Playford (C)	Clerical and administrative workers	Clerical and administrative workers nfd	7
Playford (C)	Clerical and administrative workers	Clerical and office support workers	113
Playford (C)	Clerical and administrative workers	General clerical workers	495
Playford (C)	Clerical and administrative workers	Inquiry clerks and receptionists	441
Playford (C)	Clerical and administrative workers	Numerical clerks	410
Playford (C)	Clerical and administrative workers	Office managers and program administrators	318
Playford (C)	Clerical and administrative workers	Other clerical and administrative workers	328
Playford (C)	Clerical and administrative workers	Personal assistants and secretaries	118
Playford (C)	Community and personal service workers	Carers and aides	1864
Playford (C)	Community and personal service workers	Health and welfare support workers	665
Playford (C)	Community and personal service workers	Hospitality workers	303
Playford (C)	Community and personal service workers	Protective service workers	383
Playford (C)	Community and personal service workers	Sports and personal service workers	224
Playford (C)	Labourers	Cleaners and laundry workers	502
Playford (C)	Labourers	Construction and mining labourers	231
Playford (C)	Labourers	Factory process workers	1509
Playford (C)	Labourers	Farm forestry and garden workers	329
Playford (C)	Labourers	Food preparation assistants	519
Playford (C)	Labourers	Labourers nfd	64
Playford (C)	Labourers	Other labourers	516
Playford (C)	Machinery operators and drivers	Machine and stationary plant operators	324
Playford (C)	Machinery operators and drivers	Machinery operators and drivers nfd	23
Playford (C)	Machinery operators and drivers	Mobile plant operators	358
Playford (C)	Machinery operators and drivers	Road and rail drivers	652
Playford (C)	Machinery operators and drivers	Storepersons	259
Playford (C)	Managers	Chief executives general managers and legislators	110
Playford (C)	Managers	Farmers and farm managers	809
Playford (C)	Managers	Hospitality retail and service managers	858
Playford (C)	Managers	Managers nfd	36
Playford (C)	Managers	Specialist managers	909
Playford (C)	Professionals	Arts and media professionals	28
Playford (C)	Professionals	Business human resource and marketing professionals	401
Playford (C)	Professionals	Design engineering science and transport professionals	213
Playford (C)	Professionals	Education professionals	1503
Playford (C)	Professionals	Health professionals	2319
Playford (C)	Professionals	Information and Communication Technology ICT professionals	76
Playford (C)	Professionals	Legal social and welfare professionals	403
Playford (C)	Professionals	Professionals nfd	12
Playford (C)	Sales workers	Sales assistants and salespersons	2190
Playford (C)	Sales workers	Sales representatives and agents	180
Playford (C)	Sales workers	Sales support workers	466
Playford (C)	Technicians and trades workers	Automotive and engineering trades workers	601
Playford (C)	Technicians and trades workers	Construction trades workers	321
Playford (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	316
Playford (C)	Technicians and trades workers	Engineering ICT and science technicians	324
Playford (C)	Technicians and trades workers	Food trades workers	261
Playford (C)	Technicians and trades workers	Other technicians and trades workers	261
Playford (C)	Technicians and trades workers	Skilled animal and horticultural workers	257
Playford (C)	Technicians and trades workers	Technicians and trades workers nfd	29
Port Adelaide Enfield (C)			1081
Port Adelaide Enfield (C)	Clerical and administrative workers	Clerical and administrative workers nfd	11
Port Adelaide Enfield (C)	Clerical and administrative workers	Clerical and office support workers	477
Port Adelaide Enfield (C)	Clerical and administrative workers	General clerical workers	1417
Port Adelaide Enfield (C)	Clerical and administrative workers	Inquiry clerks and receptionists	1002
Port Adelaide Enfield (C)	Clerical and administrative workers	Numerical clerks	1397
Port Adelaide Enfield (C)	Clerical and administrative workers	Office managers and program administrators	1272
Port Adelaide Enfield (C)	Clerical and administrative workers	Other clerical and administrative workers	1670
Port Adelaide Enfield (C)	Clerical and administrative workers	Personal assistants and secretaries	288
Port Adelaide Enfield (C)	Community and personal service workers	Carers and aides	2573
Port Adelaide Enfield (C)	Community and personal service workers	Community and personal service workers nfd	6
Port Adelaide Enfield (C)	Community and personal service workers	Health and welfare support workers	1060
Port Adelaide Enfield (C)	Community and personal service workers	Hospitality workers	907
Port Adelaide Enfield (C)	Community and personal service workers	Protective service workers	1742
Port Adelaide Enfield (C)	Community and personal service workers	Sports and personal service workers	603
Port Adelaide Enfield (C)	Labourers	Cleaners and laundry workers	1365
Port Adelaide Enfield (C)	Labourers	Construction and mining labourers	872
Port Adelaide Enfield (C)	Labourers	Factory process workers	2709
Port Adelaide Enfield (C)	Labourers	Farm forestry and garden workers	231
Port Adelaide Enfield (C)	Labourers	Food preparation assistants	839
Port Adelaide Enfield (C)	Labourers	Labourers nfd	161
Port Adelaide Enfield (C)	Labourers	Other labourers	1470
Port Adelaide Enfield (C)	Machinery operators and drivers	Machine and stationary plant operators	1542
Port Adelaide Enfield (C)	Machinery operators and drivers	Machinery operators and drivers nfd	154
Port Adelaide Enfield (C)	Machinery operators and drivers	Mobile plant operators	1363
Port Adelaide Enfield (C)	Machinery operators and drivers	Road and rail drivers	3701
Port Adelaide Enfield (C)	Machinery operators and drivers	Storepersons	1697
Port Adelaide Enfield (C)	Managers	Chief executives general managers and legislators	676
Port Adelaide Enfield (C)	Managers	Farmers and farm managers	31
Port Adelaide Enfield (C)	Managers	Hospitality retail and service managers	2348
Port Adelaide Enfield (C)	Managers	Managers nfd	168
Port Adelaide Enfield (C)	Managers	Specialist managers	4078
Port Adelaide Enfield (C)	Professionals	Arts and media professionals	162
Port Adelaide Enfield (C)	Professionals	Business human resource and marketing professionals	1833
Port Adelaide Enfield (C)	Professionals	Design engineering science and transport professionals	1383
Port Adelaide Enfield (C)	Professionals	Education professionals	1829
Port Adelaide Enfield (C)	Professionals	Health professionals	1563
Port Adelaide Enfield (C)	Professionals	Information and Communication Technology ICT professionals	421
Port Adelaide Enfield (C)	Professionals	Legal social and welfare professionals	694
Port Adelaide Enfield (C)	Professionals	Professionals nfd	55
Port Adelaide Enfield (C)	Sales workers	Sales assistants and salespersons	4176
Port Adelaide Enfield (C)	Sales workers	Sales representatives and agents	1016
Port Adelaide Enfield (C)	Sales workers	Sales support workers	887
Port Adelaide Enfield (C)	Sales workers	Sales workers nfd	21
Port Adelaide Enfield (C)	Technicians and trades workers	Automotive and engineering trades workers	4029
Port Adelaide Enfield (C)	Technicians and trades workers	Construction trades workers	1010
Port Adelaide Enfield (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1416
Port Adelaide Enfield (C)	Technicians and trades workers	Engineering ICT and science technicians	1231
Port Adelaide Enfield (C)	Technicians and trades workers	Food trades workers	762
Port Adelaide Enfield (C)	Technicians and trades workers	Other technicians and trades workers	1137
Port Adelaide Enfield (C)	Technicians and trades workers	Skilled animal and horticultural workers	455
Port Adelaide Enfield (C)	Technicians and trades workers	Technicians and trades workers nfd	175
Port Augusta (C)			111
Port Augusta (C)	Clerical and administrative workers	Clerical and administrative workers nfd	5
Port Augusta (C)	Clerical and administrative workers	Clerical and office support workers	25
Port Augusta (C)	Clerical and administrative workers	General clerical workers	165
Port Augusta (C)	Clerical and administrative workers	Inquiry clerks and receptionists	172
Port Augusta (C)	Clerical and administrative workers	Numerical clerks	118
Port Augusta (C)	Clerical and administrative workers	Office managers and program administrators	113
Port Augusta (C)	Clerical and administrative workers	Other clerical and administrative workers	119
Port Augusta (C)	Clerical and administrative workers	Personal assistants and secretaries	21
Port Augusta (C)	Community and personal service workers	Carers and aides	377
Port Augusta (C)	Community and personal service workers	Health and welfare support workers	167
Port Augusta (C)	Community and personal service workers	Hospitality workers	93
Port Augusta (C)	Community and personal service workers	Protective service workers	307
Port Augusta (C)	Community and personal service workers	Sports and personal service workers	42
Port Augusta (C)	Labourers	Cleaners and laundry workers	207
Port Augusta (C)	Labourers	Construction and mining labourers	82
Port Augusta (C)	Labourers	Factory process workers	19
Port Augusta (C)	Labourers	Farm forestry and garden workers	88
Port Augusta (C)	Labourers	Food preparation assistants	112
Port Augusta (C)	Labourers	Labourers nfd	3
Port Augusta (C)	Labourers	Other labourers	101
Port Augusta (C)	Machinery operators and drivers	Machine and stationary plant operators	76
Port Augusta (C)	Machinery operators and drivers	Machinery operators and drivers nfd	7
Port Augusta (C)	Machinery operators and drivers	Mobile plant operators	64
Port Augusta (C)	Machinery operators and drivers	Road and rail drivers	223
Port Augusta (C)	Machinery operators and drivers	Storepersons	24
Port Augusta (C)	Managers	Chief executives general managers and legislators	38
Port Augusta (C)	Managers	Farmers and farm managers	45
Port Augusta (C)	Managers	Hospitality retail and service managers	228
Port Augusta (C)	Managers	Managers nfd	13
Port Augusta (C)	Managers	Specialist managers	182
Port Augusta (C)	Professionals	Arts and media professionals	12
Port Augusta (C)	Professionals	Business human resource and marketing professionals	118
Port Augusta (C)	Professionals	Design engineering science and transport professionals	43
Port Augusta (C)	Professionals	Education professionals	296
Port Augusta (C)	Professionals	Health professionals	279
Port Augusta (C)	Professionals	Information and Communication Technology ICT professionals	3
Port Augusta (C)	Professionals	Legal social and welfare professionals	131
Port Augusta (C)	Sales workers	Sales assistants and salespersons	431
