LGA_NAME16	YearOfArrival.max	workers_born_overseas
McKinlay (S)	1995	12
McKinlay (S)	2000	19
McKinlay (S)	2005	16
McKinlay (S)	2010	18
McKinlay (S)	2015	16
McKinlay (S)		3
Mapoon (S)	1991	3
Maranoa (R)	1991	190
Maranoa (R)	1995	22
Maranoa (R)	2000	60
Maranoa (R)	2005	69
Maranoa (R)	2010	233
Maranoa (R)	2015	220
Maranoa (R)	2016	9
Maranoa (R)		29
Mareeba (S)	1991	613
Mareeba (S)	1995	74
Mareeba (S)	2000	99
Mareeba (S)	2005	117
Mareeba (S)	2010	193
Mareeba (S)	2015	219
Mareeba (S)	2016	22
Mareeba (S)		67
Moreton Bay (R)	1991	8593
Moreton Bay (R)	1995	1556
Moreton Bay (R)	2000	2522
Moreton Bay (R)	2005	3431
Moreton Bay (R)	2010	5879
Moreton Bay (R)	2015	3942
Moreton Bay (R)	2016	443
Moreton Bay (R)		748
Mornington (S)	1991	8
Mornington (S)	2000	3
Mornington (S)	2010	11
Mornington (S)	2015	13
Mount Isa (C)	1991	483
Mount Isa (C)	1995	97
Mount Isa (C)	2000	134
Mount Isa (C)	2005	198
Mount Isa (C)	2010	476
Mount Isa (C)	2015	495
Mount Isa (C)	2016	26
Mount Isa (C)		53
Murweh (S)	1991	47
Murweh (S)	1995	4
Murweh (S)	2000	12
Murweh (S)	2005	9
Murweh (S)	2010	45
Murweh (S)	2015	70
Murweh (S)	2016	11
Murweh (S)		4
Napranum (S)	1991	7
Napranum (S)	1995	3
Napranum (S)	2005	3
Napranum (S)	2010	8
Napranum (S)	2015	4
Noosa (S)	1991	1898
Noosa (S)	1995	283
Noosa (S)	2000	476
Noosa (S)	2005	636
Noosa (S)	2010	871
Noosa (S)	2015	659
Noosa (S)	2016	53
Noosa (S)		96
North Burnett (R)	1991	149
North Burnett (R)	1995	22
North Burnett (R)	2000	30
North Burnett (R)	2005	24
North Burnett (R)	2010	63
North Burnett (R)	2015	171
North Burnett (R)	2016	46
North Burnett (R)		78
Northern Peninsula Area (R)	1991	30
Northern Peninsula Area (R)	1995	7
Northern Peninsula Area (R)	2000	5
Northern Peninsula Area (R)	2005	6
Northern Peninsula Area (R)	2010	15
Northern Peninsula Area (R)	2015	12
Northern Peninsula Area (R)		8
Palm Island (S)	1991	23
Palm Island (S)	1995	4
Palm Island (S)	2000	8
Palm Island (S)	2005	7
Palm Island (S)	2010	13
Palm Island (S)	2015	8
Paroo (S)	1991	17
Paroo (S)	2000	3
Paroo (S)	2010	8
Paroo (S)	2015	7
Pormpuraaw (S)	1991	11
Pormpuraaw (S)	1995	4
Pormpuraaw (S)	2010	4
Pormpuraaw (S)	2015	5
Quilpie (S)	1991	20
Quilpie (S)	1995	3
Quilpie (S)	2000	3
Quilpie (S)	2005	4
Quilpie (S)	2010	3
Quilpie (S)	2015	3
Quilpie (S)		3
Redland (C)	1991	3726
Redland (C)	1995	673
Redland (C)	2000	1190
Redland (C)	2005	1673
Redland (C)	2010	2318
Redland (C)	2015	1465
Redland (C)	2016	92
Redland (C)		202
Richmond (S)	1991	42
Richmond (S)	1995	8
Richmond (S)	2000	14
Richmond (S)	2005	17
Richmond (S)	2010	27
Richmond (S)	2015	21
Richmond (S)		8
Rockhampton (R)	1991	1309
Rockhampton (R)	1995	204
Rockhampton (R)	2000	313
Rockhampton (R)	2005	563
Rockhampton (R)	2010	1291
Rockhampton (R)	2015	955
Rockhampton (R)	2016	65
Rockhampton (R)		108
Scenic Rim (R)	1991	983
Scenic Rim (R)	1995	118
Scenic Rim (R)	2000	194
Scenic Rim (R)	2005	234
Scenic Rim (R)	2010	325
Scenic Rim (R)	2015	217
Scenic Rim (R)	2016	34
Scenic Rim (R)		73
Somerset (R)	1991	365
Somerset (R)	1995	48
Somerset (R)	2000	68
Somerset (R)	2005	86
Somerset (R)	2010	192
Somerset (R)	2015	221
Somerset (R)	2016	45
Somerset (R)		51
South Burnett (R)	1991	510
South Burnett (R)	1995	59
South Burnett (R)	2000	89
South Burnett (R)	2005	90
South Burnett (R)	2010	155
South Burnett (R)	2015	132
South Burnett (R)	2016	6
South Burnett (R)		33
Southern Downs (R)	1991	638
Southern Downs (R)	1995	60
Southern Downs (R)	2000	112
Southern Downs (R)	2005	127
Southern Downs (R)	2010	208
Southern Downs (R)	2015	213
Southern Downs (R)	2016	14
Southern Downs (R)		74
Sunshine Coast (R)	1991	8702
Sunshine Coast (R)	1995	1377
Sunshine Coast (R)	2000	2137
Sunshine Coast (R)	2005	3310
Sunshine Coast (R)	2010	5164
Sunshine Coast (R)	2015	3656
Sunshine Coast (R)	2016	280
Sunshine Coast (R)		560
Tablelands (R)	1991	621
Tablelands (R)	1995	55
Tablelands (R)	2000	105
Tablelands (R)	2005	119
Tablelands (R)	2010	142
Tablelands (R)	2015	194
Tablelands (R)	2016	48
Tablelands (R)		58
Toowoomba (R)	1991	2920
Toowoomba (R)	1995	433
Toowoomba (R)	2000	690
Toowoomba (R)	2005	1169
Toowoomba (R)	2010	2188
Toowoomba (R)	2015	1749
Toowoomba (R)	2016	132
Toowoomba (R)		193
Torres (S)	1991	100
Torres (S)	1995	10
Torres (S)	2000	14
Torres (S)	2005	14
Torres (S)	2010	34
Torres (S)	2015	27
Torres (S)	2016	7
Torres (S)		6
Torres Strait Island (R)	1991	35
Torres Strait Island (R)	1995	5
Torres Strait Island (R)	2005	3
Torres Strait Island (R)	2010	3
Torres Strait Island (R)	2015	6
Torres Strait Island (R)		4
Townsville (C)	1991	4545
Townsville (C)	1995	818
Townsville (C)	2000	1113
Townsville (C)	2005	1528
Townsville (C)	2010	3091
Townsville (C)	2015	2142
Townsville (C)	2016	150
Townsville (C)		302
Weipa (T)	1991	66
Weipa (T)	1995	9
Weipa (T)	2000	18
Weipa (T)	2005	15
Weipa (T)	2010	32
Weipa (T)	2015	34
Weipa (T)	2016	3
Weipa (T)		19
Western Downs (R)	1991	489
Western Downs (R)	1995	70
Western Downs (R)	2000	123
Western Downs (R)	2005	168
Western Downs (R)	2010	477
Western Downs (R)	2015	438
Western Downs (R)	2016	17
Western Downs (R)		55
Whitsunday (R)	1991	848
Whitsunday (R)	1995	128
Whitsunday (R)	2000	218
Whitsunday (R)	2005	276
Whitsunday (R)	2010	501
Whitsunday (R)	2015	914
Whitsunday (R)	2016	155
Whitsunday (R)		240
Winton (S)	1991	13
Winton (S)	1995	3
Winton (S)	2000	7
Winton (S)	2005	5
Winton (S)	2010	4
Winton (S)	2015	3
Woorabinda (S)	1991	7
Woorabinda (S)	2000	4
Woorabinda (S)	2010	4
Wujal Wujal (S)	1991	6
Yarrabah (S)	1991	18
Yarrabah (S)	1995	5
Yarrabah (S)	2000	3
Yarrabah (S)	2005	7
Yarrabah (S)	2010	3
Yarrabah (S)	2015	3
No usual address (Qld)	1991	8455
No usual address (Qld)	1995	1486
No usual address (Qld)	2000	2288
No usual address (Qld)	2005	2513
No usual address (Qld)	2010	3961
No usual address (Qld)	2015	3239
No usual address (Qld)	2016	330
No usual address (Qld)		793
Migratory - Offshore - Shipping (Qld)	1991	14
Migratory - Offshore - Shipping (Qld)	1995	3
Migratory - Offshore - Shipping (Qld)	2005	4
Migratory - Offshore - Shipping (Qld)	2010	7
Migratory - Offshore - Shipping (Qld)	2015	5
Adelaide (C)	1991	11381
Adelaide (C)	1995	1892
Adelaide (C)	2000	2236
Adelaide (C)	2005	3677
Adelaide (C)	2010	7182
Adelaide (C)	2015	6012
Adelaide (C)	2016	453
Adelaide (C)		562
Adelaide Hills (DC)	1991	872
Adelaide Hills (DC)	1995	74
Adelaide Hills (DC)	2000	140
Adelaide Hills (DC)	2005	177
Adelaide Hills (DC)	2010	253
Adelaide Hills (DC)	2015	250
Adelaide Hills (DC)	2016	19
Adelaide Hills (DC)		48
Alexandrina (DC)	1991	542
Alexandrina (DC)	1995	34
Alexandrina (DC)	2000	47
Alexandrina (DC)	2005	68
Alexandrina (DC)	2010	77
Alexandrina (DC)	2015	86
Alexandrina (DC)	2016	7
Alexandrina (DC)		30
Anangu Pitjantjatjara (AC)	1991	34
Anangu Pitjantjatjara (AC)	1995	9
Anangu Pitjantjatjara (AC)	2000	4
Anangu Pitjantjatjara (AC)	2005	5
Anangu Pitjantjatjara (AC)	2010	10
Anangu Pitjantjatjara (AC)	2015	8
Anangu Pitjantjatjara (AC)		3
Barossa (DC)	1991	660
Barossa (DC)	1995	59
Barossa (DC)	2000	61
Barossa (DC)	2005	86
Barossa (DC)	2010	160
Barossa (DC)	2015	106
Barossa (DC)	2016	3
Barossa (DC)		34
Barunga West (DC)	1991	19
Barunga West (DC)	2005	3
Barunga West (DC)	2010	7
Barunga West (DC)		3
Berri and Barmera (DC)	1991	259
Berri and Barmera (DC)	1995	17
Berri and Barmera (DC)	2000	36
Berri and Barmera (DC)	2005	27
Berri and Barmera (DC)	2010	76
Berri and Barmera (DC)	2015	49
Berri and Barmera (DC)	2016	3
Berri and Barmera (DC)		19
Burnside (C)	1991	1646
Burnside (C)	1995	220
Burnside (C)	2000	261
Burnside (C)	2005	417
Burnside (C)	2010	852
Burnside (C)	2015	747
Burnside (C)	2016	49
Burnside (C)		70
Campbelltown (C) (SA)	1991	1115
Campbelltown (C) (SA)	1995	134
Campbelltown (C) (SA)	2000	152
Campbelltown (C) (SA)	2005	235
Campbelltown (C) (SA)	2010	614
Campbelltown (C) (SA)	2015	454
Campbelltown (C) (SA)	2016	22
Campbelltown (C) (SA)		45
Ceduna (DC)	1991	64
Ceduna (DC)	1995	3
Ceduna (DC)	2000	8
Ceduna (DC)	2005	16
Ceduna (DC)	2010	21
Ceduna (DC)	2015	26
Ceduna (DC)		3
Charles Sturt (C)	1991	4188
Charles Sturt (C)	1995	691
Charles Sturt (C)	2000	749
Charles Sturt (C)	2005	1040
Charles Sturt (C)	2010	2458
Charles Sturt (C)	2015	1672
Charles Sturt (C)	2016	111
Charles Sturt (C)		193
Clare and Gilbert Valleys (DC)	1991	212
Clare and Gilbert Valleys (DC)	1995	16
Clare and Gilbert Valleys (DC)	2000	25
Clare and Gilbert Valleys (DC)	2005	28
Clare and Gilbert Valleys (DC)	2010	35
Clare and Gilbert Valleys (DC)	2015	40
Clare and Gilbert Valleys (DC)	2016	4
Clare and Gilbert Valleys (DC)		7
Cleve (DC)	1991	16
Cleve (DC)	1995	4
Cleve (DC)	2005	4
Cleve (DC)	2015	3
Coober Pedy (DC)	1991	72
Coober Pedy (DC)	1995	9
Coober Pedy (DC)	2000	6
Coober Pedy (DC)	2005	17
Coober Pedy (DC)	2010	62
Coober Pedy (DC)	2015	44
Coober Pedy (DC)	2016	4
Coober Pedy (DC)		4
Copper Coast (DC)	1991	199
Copper Coast (DC)	1995	12
Copper Coast (DC)	2000	15
Copper Coast (DC)	2005	29
Copper Coast (DC)	2010	58
Copper Coast (DC)	2015	42
Copper Coast (DC)		12
Elliston (DC)	1991	14
Elliston (DC)	2000	3
Elliston (DC)	2010	3
Elliston (DC)		4
Flinders Ranges (DC)	1991	25
Flinders Ranges (DC)	2005	3
Flinders Ranges (DC)	2015	10
Flinders Ranges (DC)		7
Franklin Harbour (DC)	1991	13
Franklin Harbour (DC)	2010	3
Franklin Harbour (DC)	2015	3
Gawler (T)	1991	660
Gawler (T)	1995	56
Gawler (T)	2000	67
Gawler (T)	2005	83
Gawler (T)	2010	155
Gawler (T)	2015	90
Gawler (T)	2016	4
Gawler (T)		37
Goyder (DC)	1991	63
Goyder (DC)	1995	5
Goyder (DC)	2000	4
Goyder (DC)	2005	15
Goyder (DC)	2010	15
Goyder (DC)	2015	8
Grant (DC)	1991	91
Grant (DC)	1995	4
Grant (DC)	2000	11
Grant (DC)	2005	19
Grant (DC)	2010	41
Grant (DC)	2015	27
Grant (DC)	2016	4
Grant (DC)		5
Holdfast Bay (C)	1991	1082
Holdfast Bay (C)	1995	136
Holdfast Bay (C)	2000	181
Holdfast Bay (C)	2005	296
Holdfast Bay (C)	2010	696
Holdfast Bay (C)	2015	552
Holdfast Bay (C)	2016	39
Holdfast Bay (C)		62
Kangaroo Island (DC)	1991	157
Kangaroo Island (DC)	1995	6
Kangaroo Island (DC)	2000	8
Kangaroo Island (DC)	2005	14
Kangaroo Island (DC)	2010	37
Kangaroo Island (DC)	2015	38
Kangaroo Island (DC)	2016	10
Kangaroo Island (DC)		8
Karoonda East Murray (DC)	1991	8
Karoonda East Murray (DC)	1995	3
Karoonda East Murray (DC)	2005	6
Karoonda East Murray (DC)	2010	3
Karoonda East Murray (DC)	2015	6
Kimba (DC)	1991	12
Kimba (DC)	2005	4
Kimba (DC)	2010	8
Kimba (DC)	2015	4
Kingston (DC) (SA)	1991	29
Kingston (DC) (SA)	2005	6
Kingston (DC) (SA)	2010	8
Kingston (DC) (SA)	2015	3
Light (RegC)	1991	345
Light (RegC)	1995	21
Light (RegC)	2000	31
Light (RegC)	2005	52
Light (RegC)	2010	113
Light (RegC)	2015	71
Light (RegC)	2016	8
Light (RegC)		12
Lower Eyre Peninsula (DC)	1991	36
Lower Eyre Peninsula (DC)	1995	3
Lower Eyre Peninsula (DC)	2000	3
Lower Eyre Peninsula (DC)	2005	3
Lower Eyre Peninsula (DC)	2010	7
Lower Eyre Peninsula (DC)	2015	10
Loxton Waikerie (DC)	1991	185
Loxton Waikerie (DC)	1995	26
Loxton Waikerie (DC)	2000	18
Loxton Waikerie (DC)	2005	29
Loxton Waikerie (DC)	2010	67
Loxton Waikerie (DC)	2015	83
Loxton Waikerie (DC)	2016	28
Loxton Waikerie (DC)		18
Mallala (DC)	1991	175
Mallala (DC)	1995	31
Mallala (DC)	2000	21
Mallala (DC)	2005	33
Mallala (DC)	2010	174
Mallala (DC)	2015	175
Mallala (DC)	2016	5
Mallala (DC)		18
Marion (C)	1991	2052
Marion (C)	1995	274
Marion (C)	2000	390
Marion (C)	2005	602
Marion (C)	2010	1427
Marion (C)	2015	871
Marion (C)	2016	59
Marion (C)		95
Mid Murray (DC)	1991	132
Mid Murray (DC)	1995	5
Mid Murray (DC)	2000	9
Mid Murray (DC)	2005	9
Mid Murray (DC)	2010	34
Mid Murray (DC)	2015	39
Mid Murray (DC)		18
Mitcham (C)	1991	2744
Mitcham (C)	1995	408
Mitcham (C)	2000	489
Mitcham (C)	2005	809
Mitcham (C)	2010	1630
Mitcham (C)	2015	916
Mitcham (C)	2016	69
Mitcham (C)		109
Mount Barker (DC)	1991	775
Mount Barker (DC)	1995	69
Mount Barker (DC)	2000	117
Mount Barker (DC)	2005	144
Mount Barker (DC)	2010	349
Mount Barker (DC)	2015	187
Mount Barker (DC)	2016	15
Mount Barker (DC)		50
Mount Gambier (C)	1991	498
Mount Gambier (C)	1995	39
Mount Gambier (C)	2000	106
Mount Gambier (C)	2005	103
Mount Gambier (C)	2010	182
Mount Gambier (C)	2015	162
Mount Gambier (C)	2016	3
Mount Gambier (C)		37
Mount Remarkable (DC)	1991	27
Mount Remarkable (DC)	1995	6
Mount Remarkable (DC)	2000	4
Mount Remarkable (DC)	2005	3
Mount Remarkable (DC)	2010	9
Mount Remarkable (DC)	2015	7
Mount Remarkable (DC)		4
Murray Bridge (RC)	1991	427
Murray Bridge (RC)	1995	39
Murray Bridge (RC)	2000	47
Murray Bridge (RC)	2005	135
Murray Bridge (RC)	2010	410
Murray Bridge (RC)	2015	557
Murray Bridge (RC)	2016	61
Murray Bridge (RC)		103
Naracoorte and Lucindale (DC)	1991	127
Naracoorte and Lucindale (DC)	1995	9
Naracoorte and Lucindale (DC)	2000	30
Naracoorte and Lucindale (DC)	2005	42
Naracoorte and Lucindale (DC)	2010	101
Naracoorte and Lucindale (DC)	2015	186
Naracoorte and Lucindale (DC)	2016	17
Naracoorte and Lucindale (DC)		21
Northern Areas (DC)	1991	69
Northern Areas (DC)	1995	10
Northern Areas (DC)	2000	5
Northern Areas (DC)	2005	3
Northern Areas (DC)	2010	15
Northern Areas (DC)	2015	17
Northern Areas (DC)		5
Norwood Payneham St Peters (C)	1991	2173
Norwood Payneham St Peters (C)	1995	270
Norwood Payneham St Peters (C)	2000	377
Norwood Payneham St Peters (C)	2005	565
Norwood Payneham St Peters (C)	2010	1270
Norwood Payneham St Peters (C)	2015	1097
Norwood Payneham St Peters (C)	2016	60
Norwood Payneham St Peters (C)		119
Onkaparinga (C)	1991	4003
Onkaparinga (C)	1995	421
Onkaparinga (C)	2000	520
Onkaparinga (C)	2005	757
Onkaparinga (C)	2010	1735
Onkaparinga (C)	2015	1015
Onkaparinga (C)	2016	51
Onkaparinga (C)		172
Orroroo/Carrieton (DC)	1991	20
Orroroo/Carrieton (DC)	2010	3
Peterborough (DC)	1991	25
Peterborough (DC)	1995	3
Peterborough (DC)	2010	5
Peterborough (DC)	2015	3
Playford (C)	1991	3064
Playford (C)	1995	375
Playford (C)	2000	318
Playford (C)	2005	594
Playford (C)	2010	1256
Playford (C)	2015	794
Playford (C)	2016	50
Playford (C)		169
Port Adelaide Enfield (C)	1991	6752
Port Adelaide Enfield (C)	1995	968
Port Adelaide Enfield (C)	2000	1008
Port Adelaide Enfield (C)	2005	1584
Port Adelaide Enfield (C)	2010	3892
Port Adelaide Enfield (C)	2015	2580
Port Adelaide Enfield (C)	2016	173
Port Adelaide Enfield (C)		343
Port Augusta (C)	1991	214
Port Augusta (C)	1995	13
Port Augusta (C)	2000	28
Port Augusta (C)	2005	35
Port Augusta (C)	2010	114
Port Augusta (C)	2015	63
Port Augusta (C)		15
Port Lincoln (C)	1991	295
Port Lincoln (C)	1995	21
Port Lincoln (C)	2000	20
Port Lincoln (C)	2005	53
Port Lincoln (C)	2010	89
Port Lincoln (C)	2015	74
Port Lincoln (C)	2016	8
Port Lincoln (C)		16
Port Pirie City and Dists (M)	1991	235
Port Pirie City and Dists (M)	1995	22
Port Pirie City and Dists (M)	2000	19
Port Pirie City and Dists (M)	2005	47
Port Pirie City and Dists (M)	2010	98
Port Pirie City and Dists (M)	2015	95
Port Pirie City and Dists (M)		15
Prospect (C)	1991	576
Prospect (C)	1995	66
Prospect (C)	2000	80
Prospect (C)	2005	113
Prospect (C)	2010	356
Prospect (C)	2015	259
Prospect (C)	2016	21
Prospect (C)		24
Renmark Paringa (DC)	1991	174
Renmark Paringa (DC)	1995	27
Renmark Paringa (DC)	2000	30
Renmark Paringa (DC)	2005	42
Renmark Paringa (DC)	2010	70
Renmark Paringa (DC)	2015	141
Renmark Paringa (DC)	2016	21
Renmark Paringa (DC)		49
Robe (DC)	1991	32
Robe (DC)	1995	3
Robe (DC)	2000	5
Robe (DC)	2005	3
Robe (DC)	2010	13
Robe (DC)	2015	8
Roxby Downs (M)	1991	96
Roxby Downs (M)	1995	17
Roxby Downs (M)	2000	20
Roxby Downs (M)	2005	33
Roxby Downs (M)	2010	98
Roxby Downs (M)	2015	55
Roxby Downs (M)		3
Salisbury (C)	1991	5228
Salisbury (C)	1995	828
Salisbury (C)	2000	758
Salisbury (C)	2005	1135
Salisbury (C)	2010	2556
Salisbury (C)	2015	1622
Salisbury (C)	2016	88
Salisbury (C)		223
Southern Mallee (DC)	1991	24
Southern Mallee (DC)	2000	4
Southern Mallee (DC)	2005	13
Southern Mallee (DC)	2010	23
Southern Mallee (DC)	2015	50
Southern Mallee (DC)	2016	13
Southern Mallee (DC)		5
Streaky Bay (DC)	1991	24
Streaky Bay (DC)	1995	5
Streaky Bay (DC)	2010	5
Streaky Bay (DC)	2015	3
Tatiara (DC)	1991	84
Tatiara (DC)	1995	10
Tatiara (DC)	2000	13
Tatiara (DC)	2005	38
Tatiara (DC)	2010	96
Tatiara (DC)	2015	168
Tatiara (DC)	2016	7
Tatiara (DC)		22
Tea Tree Gully (C)	1991	2355
Tea Tree Gully (C)	1995	235
Tea Tree Gully (C)	2000	300
Tea Tree Gully (C)	2005	473
Tea Tree Gully (C)	2010	1101
Tea Tree Gully (C)	2015	681
Tea Tree Gully (C)	2016	34
Tea Tree Gully (C)		84
The Coorong (DC)	1991	75
The Coorong (DC)	1995	7
The Coorong (DC)	2000	9
The Coorong (DC)	2005	18
The Coorong (DC)	2010	31
The Coorong (DC)	2015	16
The Coorong (DC)		11
Tumby Bay (DC)	1991	23
Tumby Bay (DC)	2005	6
Tumby Bay (DC)	2010	3
Tumby Bay (DC)	2015	3
Unley (C)	1991	1793
Unley (C)	1995	260
Unley (C)	2000	324
Unley (C)	2005	523
Unley (C)	2010	1181
Unley (C)	2015	934
Unley (C)	2016	64
Unley (C)		81
Victor Harbor (C)	1991	399
Victor Harbor (C)	1995	15
Victor Harbor (C)	2000	55
Victor Harbor (C)	2005	41
Victor Harbor (C)	2010	97
Victor Harbor (C)	2015	72
Victor Harbor (C)		20
Wakefield (DC)	1991	120
Wakefield (DC)	1995	10
Wakefield (DC)	2000	16
Wakefield (DC)	2005	13
Wakefield (DC)	2010	60
Wakefield (DC)	2015	96
Wakefield (DC)		13
Walkerville (M)	1991	252
Walkerville (M)	1995	25
Walkerville (M)	2000	48
Walkerville (M)	2005	46
Walkerville (M)	2010	119
Walkerville (M)	2015	99
Walkerville (M)	2016	6
Walkerville (M)		17
Wattle Range (DC)	1991	216
Wattle Range (DC)	1995	13
Wattle Range (DC)	2000	22
Wattle Range (DC)	2005	17
Wattle Range (DC)	2010	47
Wattle Range (DC)	2015	71
Wattle Range (DC)	2016	17
Wattle Range (DC)		23
West Torrens (C)	1991	4078
West Torrens (C)	1995	602
West Torrens (C)	2000	715
West Torrens (C)	2005	1023
West Torrens (C)	2010	2606
West Torrens (C)	2015	1897
West Torrens (C)	2016	118
West Torrens (C)		200
Whyalla (C)	1991	807
Whyalla (C)	1995	26
Whyalla (C)	2000	35
Whyalla (C)	2005	76
Whyalla (C)	2010	185
Whyalla (C)	2015	138
Whyalla (C)	2016	6
Whyalla (C)		40
Wudinna (DC)	1991	19
Wudinna (DC)	2005	3
Wudinna (DC)	2010	5
Wudinna (DC)	2015	4
Wudinna (DC)		4
Yankalilla (DC)	1991	129
Yankalilla (DC)	1995	10
Yankalilla (DC)	2000	20
Yankalilla (DC)	2005	14
Yankalilla (DC)	2010	24
Yankalilla (DC)	2015	21
Yankalilla (DC)	2016	3
Yankalilla (DC)		3
Yorke Peninsula (DC)	1991	187
Yorke Peninsula (DC)	1995	12
Yorke Peninsula (DC)	2000	16
Yorke Peninsula (DC)	2005	18
Yorke Peninsula (DC)	2010	23
Yorke Peninsula (DC)	2015	17
Yorke Peninsula (DC)		13
Unincorporated SA	1991	400
Unincorporated SA	1995	36
Unincorporated SA	2000	56
Unincorporated SA	2005	72
Unincorporated SA	2010	168
Unincorporated SA	2015	109
Unincorporated SA	2016	11
Unincorporated SA		21
No usual address (SA)	1991	3507
No usual address (SA)	1995	421
No usual address (SA)	2000	568
No usual address (SA)	2005	639
No usual address (SA)	2010	1282
No usual address (SA)	2015	876
No usual address (SA)	2016	77
No usual address (SA)		209
Migratory - Offshore - Shipping (SA)	1991	5
Migratory - Offshore - Shipping (SA)	1995	3
Albany (C)	1991	1569
Albany (C)	1995	159
Albany (C)	2000	182
Albany (C)	2005	260
Albany (C)	2010	514
Albany (C)	2015	357
Albany (C)	2016	19
Albany (C)		75
Armadale (C)	1991	2393
Armadale (C)	1995	367
Armadale (C)	2000	458
Armadale (C)	2005	667
Armadale (C)	2010	1437
Armadale (C)	2015	1171
Armadale (C)	2016	78
Armadale (C)		122
Ashburton (S)	1991	2221
Ashburton (S)	1995	490
Ashburton (S)	2000	723
Ashburton (S)	2005	982
Ashburton (S)	2010	2284
Ashburton (S)	2015	1660
Ashburton (S)	2016	34
Ashburton (S)		173
Augusta-Margaret River (S)	1991	604
Augusta-Margaret River (S)	1995	67
Augusta-Margaret River (S)	2000	118
Augusta-Margaret River (S)	2005	153
Augusta-Margaret River (S)	2010	243
Augusta-Margaret River (S)	2015	284
Augusta-Margaret River (S)	2016	44
Augusta-Margaret River (S)		91
Bassendean (T)	1991	858
Bassendean (T)	1995	151
Bassendean (T)	2000	162
Bassendean (T)	2005	257
Bassendean (T)	2010	648
Bassendean (T)	2015	478
Bassendean (T)	2016	21
Bassendean (T)		51
Bayswater (C)	1991	2780
Bayswater (C)	1995	540
Bayswater (C)	2000	646
Bayswater (C)	2005	799
Bayswater (C)	2010	1801
Bayswater (C)	2015	1777
Bayswater (C)	2016	113
Bayswater (C)		175
Belmont (C)	1991	4793
Belmont (C)	1995	1020
Belmont (C)	2000	1213
Belmont (C)	2005	1830
Belmont (C)	2010	4208
Belmont (C)	2015	3743
Belmont (C)	2016	143
Belmont (C)		334
Beverley (S)	1991	53
Beverley (S)	1995	3
Beverley (S)	2000	4
Beverley (S)	2010	9
Beverley (S)	2015	16
Beverley (S)		3
Boddington (S)	1991	209
Boddington (S)	1995	29
Boddington (S)	2000	36
Boddington (S)	2005	55
Boddington (S)	2010	121
Boddington (S)	2015	74
Boddington (S)		10
Boyup Brook (S)	1991	63
Boyup Brook (S)	1995	5
Boyup Brook (S)	2000	3
Boyup Brook (S)	2005	8
Boyup Brook (S)	2010	10
Boyup Brook (S)	2015	5
Boyup Brook (S)		3
Bridgetown-Greenbushes (S)	1991	243
Bridgetown-Greenbushes (S)	1995	11
Bridgetown-Greenbushes (S)	2000	17
Bridgetown-Greenbushes (S)	2005	18
Bridgetown-Greenbushes (S)	2010	44
Bridgetown-Greenbushes (S)	2015	24
Bridgetown-Greenbushes (S)		16
Brookton (S)	1991	18
Brookton (S)	2000	5
Brookton (S)	2005	5
Brookton (S)	2010	12
Brookton (S)	2015	14
Brookton (S)	2016	4
Broome (S)	1991	509
Broome (S)	1995	94
Broome (S)	2000	106
Broome (S)	2005	124
Broome (S)	2010	413
Broome (S)	2015	438
Broome (S)	2016	45
Broome (S)		89
Broomehill-Tambellup (S)	1991	13
Broomehill-Tambellup (S)	1995	3
Broomehill-Tambellup (S)	2000	3
Broomehill-Tambellup (S)	2010	10
Broomehill-Tambellup (S)	2015	4
Bruce Rock (S)	1991	15
Bruce Rock (S)	2000	3
Bruce Rock (S)	2005	4
Bruce Rock (S)	2010	18
Bruce Rock (S)	2015	21
Bunbury (C)	1991	1881
Bunbury (C)	1995	200
Bunbury (C)	2000	330
Bunbury (C)	2005	558
Bunbury (C)	2010	1239
Bunbury (C)	2015	1036
Bunbury (C)	2016	55
Bunbury (C)		158
Busselton (C)	1991	1222
Busselton (C)	1995	148
Busselton (C)	2000	197
Busselton (C)	2005	273
Busselton (C)	2010	519
Busselton (C)	2015	540
Busselton (C)	2016	36
Busselton (C)		85
Cambridge (T)	1991	1740
Cambridge (T)	1995	361
Cambridge (T)	2000	478
Cambridge (T)	2005	584
Cambridge (T)	2010	1062
Cambridge (T)	2015	1122
Cambridge (T)	2016	60
Cambridge (T)		93
Canning (C)	1991	7181
Canning (C)	1995	1444
Canning (C)	2000	1738
Canning (C)	2005	2524
Canning (C)	2010	6132
Canning (C)	2015	5201
Canning (C)	2016	264
Canning (C)		460
Capel (S)	1991	303
Capel (S)	1995	41
Capel (S)	2000	65
Capel (S)	2005	101
Capel (S)	2010	191
Capel (S)	2015	170
Capel (S)	2016	17
Capel (S)		32
Carnamah (S)	1991	22
Carnamah (S)	1995	3
Carnamah (S)	2000	6
Carnamah (S)	2005	6
Carnamah (S)	2010	4
Carnamah (S)	2015	12
Carnarvon (S)	1991	299
Carnarvon (S)	1995	25
Carnarvon (S)	2000	54
Carnarvon (S)	2005	58
Carnarvon (S)	2010	119
Carnarvon (S)	2015	137
Carnarvon (S)	2016	27
Carnarvon (S)		38
Chapman Valley (S)	1991	21
Chapman Valley (S)	2005	5
Chapman Valley (S)	2010	6
Chittering (S)	1991	166
Chittering (S)	1995	14
Chittering (S)	2000	30
Chittering (S)	2005	38
Chittering (S)	2010	63
Chittering (S)	2015	68
Chittering (S)	2016	3
Chittering (S)		6
