LGA_NAME16	EmploymentStatus	Sex	workers
Noosa (S)	Contributing family workers	M	233
Noosa (S)	Employee	F	8443
Noosa (S)	Employee	M	6035
Noosa (S)	Owner managers of incorporated enterprises	F	914
Noosa (S)	Owner managers of incorporated enterprises	M	1437
Noosa (S)	Owner managers of unincorporated enterprises	F	1162
Noosa (S)	Owner managers of unincorporated enterprises	M	1403
North Burnett (R)		F	28
North Burnett (R)		M	51
North Burnett (R)	Contributing family workers	F	188
North Burnett (R)	Contributing family workers	M	259
North Burnett (R)	Employee	F	1495
North Burnett (R)	Employee	M	1488
North Burnett (R)	Owner managers of incorporated enterprises	F	96
North Burnett (R)	Owner managers of incorporated enterprises	M	164
North Burnett (R)	Owner managers of unincorporated enterprises	F	221
North Burnett (R)	Owner managers of unincorporated enterprises	M	391
Northern Peninsula Area (R)		F	3
Northern Peninsula Area (R)		M	4
Northern Peninsula Area (R)	Contributing family workers	F	4
Northern Peninsula Area (R)	Contributing family workers	M	3
Northern Peninsula Area (R)	Employee	F	422
Northern Peninsula Area (R)	Employee	M	341
Northern Peninsula Area (R)	Owner managers of incorporated enterprises	F	6
Northern Peninsula Area (R)	Owner managers of incorporated enterprises	M	11
Northern Peninsula Area (R)	Owner managers of unincorporated enterprises	F	3
Northern Peninsula Area (R)	Owner managers of unincorporated enterprises	M	17
Palm Island (S)	Contributing family workers	M	3
Palm Island (S)	Employee	F	283
Palm Island (S)	Employee	M	277
Palm Island (S)	Owner managers of incorporated enterprises	F	4
Palm Island (S)	Owner managers of incorporated enterprises	M	9
Palm Island (S)	Owner managers of unincorporated enterprises	M	3
Paroo (S)		F	11
Paroo (S)		M	6
Paroo (S)	Contributing family workers	F	36
Paroo (S)	Contributing family workers	M	57
Paroo (S)	Employee	F	240
Paroo (S)	Employee	M	223
Paroo (S)	Owner managers of incorporated enterprises	F	20
Paroo (S)	Owner managers of incorporated enterprises	M	23
Paroo (S)	Owner managers of unincorporated enterprises	F	43
Paroo (S)	Owner managers of unincorporated enterprises	M	83
Pormpuraaw (S)	Employee	F	86
Pormpuraaw (S)	Employee	M	113
Pormpuraaw (S)	Owner managers of unincorporated enterprises	F	3
Pormpuraaw (S)	Owner managers of unincorporated enterprises	M	5
Quilpie (S)		F	3
Quilpie (S)		M	3
Quilpie (S)	Contributing family workers	F	20
Quilpie (S)	Contributing family workers	M	28
Quilpie (S)	Employee	F	161
Quilpie (S)	Employee	M	167
Quilpie (S)	Owner managers of incorporated enterprises	F	11
Quilpie (S)	Owner managers of incorporated enterprises	M	18
Quilpie (S)	Owner managers of unincorporated enterprises	F	19
Quilpie (S)	Owner managers of unincorporated enterprises	M	30
Redland (C)		F	178
Redland (C)		M	179
Redland (C)	Contributing family workers	F	426
Redland (C)	Contributing family workers	M	354
Redland (C)	Employee	F	18739
Redland (C)	Employee	M	13266
Redland (C)	Owner managers of incorporated enterprises	F	1403
Redland (C)	Owner managers of incorporated enterprises	M	2518
Redland (C)	Owner managers of unincorporated enterprises	F	1534
Redland (C)	Owner managers of unincorporated enterprises	M	1977
Richmond (S)		F	3
Richmond (S)		M	3
Richmond (S)	Contributing family workers	F	9
Richmond (S)	Contributing family workers	M	13
Richmond (S)	Employee	F	252
Richmond (S)	Employee	M	350
Richmond (S)	Owner managers of incorporated enterprises	F	12
Richmond (S)	Owner managers of incorporated enterprises	M	22
Richmond (S)	Owner managers of unincorporated enterprises	F	23
Richmond (S)	Owner managers of unincorporated enterprises	M	38
Rockhampton (R)		F	150
Rockhampton (R)		M	178
Rockhampton (R)	Contributing family workers	F	283
Rockhampton (R)	Contributing family workers	M	238
Rockhampton (R)	Employee	F	17249
Rockhampton (R)	Employee	M	15043
Rockhampton (R)	Owner managers of incorporated enterprises	F	517
Rockhampton (R)	Owner managers of incorporated enterprises	M	983
Rockhampton (R)	Owner managers of unincorporated enterprises	F	782
Rockhampton (R)	Owner managers of unincorporated enterprises	M	1158
Scenic Rim (R)		F	88
Scenic Rim (R)		M	103
Scenic Rim (R)	Contributing family workers	F	297
Scenic Rim (R)	Contributing family workers	M	295
Scenic Rim (R)	Employee	F	4926
Scenic Rim (R)	Employee	M	4032
Scenic Rim (R)	Owner managers of incorporated enterprises	F	414
Scenic Rim (R)	Owner managers of incorporated enterprises	M	631
Scenic Rim (R)	Owner managers of unincorporated enterprises	F	692
Scenic Rim (R)	Owner managers of unincorporated enterprises	M	894
Somerset (R)		F	44
Somerset (R)		M	65
Somerset (R)	Contributing family workers	F	162
Somerset (R)	Contributing family workers	M	185
Somerset (R)	Employee	F	2265
Somerset (R)	Employee	M	2222
Somerset (R)	Owner managers of incorporated enterprises	F	156
Somerset (R)	Owner managers of incorporated enterprises	M	266
Somerset (R)	Owner managers of unincorporated enterprises	F	280
Somerset (R)	Owner managers of unincorporated enterprises	M	448
South Burnett (R)		F	80
South Burnett (R)		M	106
South Burnett (R)	Contributing family workers	F	262
South Burnett (R)	Contributing family workers	M	281
South Burnett (R)	Employee	F	4419
South Burnett (R)	Employee	M	4170
South Burnett (R)	Owner managers of incorporated enterprises	F	209
South Burnett (R)	Owner managers of incorporated enterprises	M	343
South Burnett (R)	Owner managers of unincorporated enterprises	F	467
South Burnett (R)	Owner managers of unincorporated enterprises	M	721
Southern Downs (R)		F	77
Southern Downs (R)		M	131
Southern Downs (R)	Contributing family workers	F	281
Southern Downs (R)	Contributing family workers	M	355
Southern Downs (R)	Employee	F	5302
Southern Downs (R)	Employee	M	4845
Southern Downs (R)	Owner managers of incorporated enterprises	F	313
Southern Downs (R)	Owner managers of incorporated enterprises	M	559
Southern Downs (R)	Owner managers of unincorporated enterprises	F	532
Southern Downs (R)	Owner managers of unincorporated enterprises	M	906
Sunshine Coast (R)		F	467
Sunshine Coast (R)		M	562
Sunshine Coast (R)	Contributing family workers	F	1370
Sunshine Coast (R)	Contributing family workers	M	997
Sunshine Coast (R)	Employee	F	48876
Sunshine Coast (R)	Employee	M	37843
Sunshine Coast (R)	Owner managers of incorporated enterprises	F	3429
Sunshine Coast (R)	Owner managers of incorporated enterprises	M	6468
Sunshine Coast (R)	Owner managers of unincorporated enterprises	F	4836
Sunshine Coast (R)	Owner managers of unincorporated enterprises	M	6002
Tablelands (R)		F	65
Tablelands (R)		M	74
Tablelands (R)	Contributing family workers	F	214
Tablelands (R)	Contributing family workers	M	220
Tablelands (R)	Employee	F	3543
Tablelands (R)	Employee	M	2789
Tablelands (R)	Owner managers of incorporated enterprises	F	226
Tablelands (R)	Owner managers of incorporated enterprises	M	348
Tablelands (R)	Owner managers of unincorporated enterprises	F	461
Tablelands (R)	Owner managers of unincorporated enterprises	M	629
Toowoomba (R)		F	314
Toowoomba (R)		M	331
Toowoomba (R)	Contributing family workers	F	891
Toowoomba (R)	Contributing family workers	M	822
Toowoomba (R)	Employee	F	29934
Toowoomba (R)	Employee	M	28181
Toowoomba (R)	Owner managers of incorporated enterprises	F	1343
Toowoomba (R)	Owner managers of incorporated enterprises	M	2760
Toowoomba (R)	Owner managers of unincorporated enterprises	F	1911
Toowoomba (R)	Owner managers of unincorporated enterprises	M	2859
Torres (S)		F	13
Torres (S)		M	12
Torres (S)	Contributing family workers	F	5
Torres (S)	Contributing family workers	M	5
Torres (S)	Employee	F	720
Torres (S)	Employee	M	627
Torres (S)	Owner managers of incorporated enterprises	F	21
Torres (S)	Owner managers of incorporated enterprises	M	36
Torres (S)	Owner managers of unincorporated enterprises	F	24
Torres (S)	Owner managers of unincorporated enterprises	M	49
Torres Strait Island (R)		M	4
Torres Strait Island (R)	Employee	F	434
Torres Strait Island (R)	Employee	M	512
Torres Strait Island (R)	Owner managers of incorporated enterprises	F	3
Torres Strait Island (R)	Owner managers of incorporated enterprises	M	18
Torres Strait Island (R)	Owner managers of unincorporated enterprises	F	3
Torres Strait Island (R)	Owner managers of unincorporated enterprises	M	29
Townsville (C)		F	272
Townsville (C)		M	312
Townsville (C)	Contributing family workers	F	448
Townsville (C)	Contributing family workers	M	397
Townsville (C)	Employee	F	37651
Townsville (C)	Employee	M	34590
Townsville (C)	Owner managers of incorporated enterprises	F	1226
Townsville (C)	Owner managers of incorporated enterprises	M	2491
Townsville (C)	Owner managers of unincorporated enterprises	F	1835
Townsville (C)	Owner managers of unincorporated enterprises	M	2479
Weipa (T)		F	5
Weipa (T)		M	10
Weipa (T)	Employee	F	564
Weipa (T)	Employee	M	478
Weipa (T)	Owner managers of incorporated enterprises	F	21
Weipa (T)	Owner managers of incorporated enterprises	M	30
Weipa (T)	Owner managers of unincorporated enterprises	F	31
Weipa (T)	Owner managers of unincorporated enterprises	M	17
Western Downs (R)		F	89
Western Downs (R)		M	142
Western Downs (R)	Contributing family workers	F	396
Western Downs (R)	Contributing family workers	M	478
Western Downs (R)	Employee	F	5306
Western Downs (R)	Employee	M	7290
Western Downs (R)	Owner managers of incorporated enterprises	F	308
Western Downs (R)	Owner managers of incorporated enterprises	M	663
Western Downs (R)	Owner managers of unincorporated enterprises	F	564
Western Downs (R)	Owner managers of unincorporated enterprises	M	1014
Whitsunday (R)		F	92
Whitsunday (R)		M	108
Whitsunday (R)	Contributing family workers	F	220
Whitsunday (R)	Contributing family workers	M	198
Whitsunday (R)	Employee	F	6029
Whitsunday (R)	Employee	M	6326
Whitsunday (R)	Owner managers of incorporated enterprises	F	355
Whitsunday (R)	Owner managers of incorporated enterprises	M	619
Whitsunday (R)	Owner managers of unincorporated enterprises	F	526
Whitsunday (R)	Owner managers of unincorporated enterprises	M	627
Winton (S)		F	3
Winton (S)		M	10
Winton (S)	Contributing family workers	F	24
Winton (S)	Contributing family workers	M	27
Winton (S)	Employee	F	207
Winton (S)	Employee	M	196
Winton (S)	Owner managers of incorporated enterprises	F	17
Winton (S)	Owner managers of incorporated enterprises	M	29
Winton (S)	Owner managers of unincorporated enterprises	F	32
Winton (S)	Owner managers of unincorporated enterprises	M	44
Woorabinda (S)	Employee	F	127
Woorabinda (S)	Employee	M	114
Woorabinda (S)	Owner managers of incorporated enterprises	F	3
Woorabinda (S)	Owner managers of incorporated enterprises	M	8
Woorabinda (S)	Owner managers of unincorporated enterprises	F	7
Woorabinda (S)	Owner managers of unincorporated enterprises	M	3
Wujal Wujal (S)	Employee	F	49
Wujal Wujal (S)	Employee	M	51
Wujal Wujal (S)	Owner managers of unincorporated enterprises	M	3
Yarrabah (S)	Employee	F	241
Yarrabah (S)	Employee	M	196
Yarrabah (S)	Owner managers of incorporated enterprises	M	5
No usual address (Qld)		F	422
No usual address (Qld)		M	1146
No usual address (Qld)	Contributing family workers	F	586
No usual address (Qld)	Contributing family workers	M	938
No usual address (Qld)	Employee	F	15661
No usual address (Qld)	Employee	M	42380
No usual address (Qld)	Owner managers of incorporated enterprises	F	1128
No usual address (Qld)	Owner managers of incorporated enterprises	M	9225
No usual address (Qld)	Owner managers of unincorporated enterprises	F	6236
No usual address (Qld)	Owner managers of unincorporated enterprises	M	21109
Migratory - Offshore - Shipping (Qld)	Contributing family workers	F	3
Migratory - Offshore - Shipping (Qld)	Contributing family workers	M	4
Migratory - Offshore - Shipping (Qld)	Employee	F	21
Migratory - Offshore - Shipping (Qld)	Employee	M	152
Migratory - Offshore - Shipping (Qld)	Owner managers of incorporated enterprises	M	12
Migratory - Offshore - Shipping (Qld)	Owner managers of unincorporated enterprises	F	3
Migratory - Offshore - Shipping (Qld)	Owner managers of unincorporated enterprises	M	12
Adelaide (C)		F	404
Adelaide (C)		M	384
Adelaide (C)	Contributing family workers	F	293
Adelaide (C)	Contributing family workers	M	255
Adelaide (C)	Employee	F	62171
Adelaide (C)	Employee	M	47011
Adelaide (C)	Owner managers of incorporated enterprises	F	1008
Adelaide (C)	Owner managers of incorporated enterprises	M	2737
Adelaide (C)	Owner managers of unincorporated enterprises	F	1104
Adelaide (C)	Owner managers of unincorporated enterprises	M	2239
Adelaide Hills (DC)		F	48
Adelaide Hills (DC)		M	72
Adelaide Hills (DC)	Contributing family workers	F	177
Adelaide Hills (DC)	Contributing family workers	M	175
Adelaide Hills (DC)	Employee	F	3484
Adelaide Hills (DC)	Employee	M	3316
Adelaide Hills (DC)	Owner managers of incorporated enterprises	F	343
Adelaide Hills (DC)	Owner managers of incorporated enterprises	M	655
Adelaide Hills (DC)	Owner managers of unincorporated enterprises	F	676
Adelaide Hills (DC)	Owner managers of unincorporated enterprises	M	892
Alexandrina (DC)		F	55
Alexandrina (DC)		M	52
Alexandrina (DC)	Contributing family workers	F	156
Alexandrina (DC)	Contributing family workers	M	153
Alexandrina (DC)	Employee	F	2469
Alexandrina (DC)	Employee	M	2072
Alexandrina (DC)	Owner managers of incorporated enterprises	F	171
Alexandrina (DC)	Owner managers of incorporated enterprises	M	335
Alexandrina (DC)	Owner managers of unincorporated enterprises	F	402
Alexandrina (DC)	Owner managers of unincorporated enterprises	M	679
Anangu Pitjantjatjara (AC)		F	3
Anangu Pitjantjatjara (AC)	Employee	F	326
Anangu Pitjantjatjara (AC)	Employee	M	277
Anangu Pitjantjatjara (AC)	Owner managers of incorporated enterprises	M	3
Anangu Pitjantjatjara (AC)	Owner managers of unincorporated enterprises	M	10
Barossa (DC)		F	63
Barossa (DC)		M	60
Barossa (DC)	Contributing family workers	F	150
Barossa (DC)	Contributing family workers	M	145
Barossa (DC)	Employee	F	4098
Barossa (DC)	Employee	M	4103
Barossa (DC)	Owner managers of incorporated enterprises	F	207
Barossa (DC)	Owner managers of incorporated enterprises	M	352
Barossa (DC)	Owner managers of unincorporated enterprises	F	418
Barossa (DC)	Owner managers of unincorporated enterprises	M	499
Barunga West (DC)		F	4
Barunga West (DC)		M	6
Barunga West (DC)	Contributing family workers	F	25
Barunga West (DC)	Contributing family workers	M	31
Barunga West (DC)	Employee	F	225
Barunga West (DC)	Employee	M	169
Barunga West (DC)	Owner managers of incorporated enterprises	F	22
Barunga West (DC)	Owner managers of incorporated enterprises	M	72
Barunga West (DC)	Owner managers of unincorporated enterprises	F	46
Barunga West (DC)	Owner managers of unincorporated enterprises	M	110
Berri and Barmera (DC)		F	31
Berri and Barmera (DC)		M	37
Berri and Barmera (DC)	Contributing family workers	F	66
Berri and Barmera (DC)	Contributing family workers	M	93
Berri and Barmera (DC)	Employee	F	2090
Berri and Barmera (DC)	Employee	M	1630
Berri and Barmera (DC)	Owner managers of incorporated enterprises	F	69
Berri and Barmera (DC)	Owner managers of incorporated enterprises	M	139
Berri and Barmera (DC)	Owner managers of unincorporated enterprises	F	137
Berri and Barmera (DC)	Owner managers of unincorporated enterprises	M	252
Burnside (C)		F	59
Burnside (C)		M	73
Burnside (C)	Contributing family workers	F	136
Burnside (C)	Contributing family workers	M	118
Burnside (C)	Employee	F	8404
Burnside (C)	Employee	M	5132
Burnside (C)	Owner managers of incorporated enterprises	F	462
Burnside (C)	Owner managers of incorporated enterprises	M	906
Burnside (C)	Owner managers of unincorporated enterprises	F	629
Burnside (C)	Owner managers of unincorporated enterprises	M	830
Campbelltown (C) (SA)		F	42
Campbelltown (C) (SA)		M	41
Campbelltown (C) (SA)	Contributing family workers	F	81
Campbelltown (C) (SA)	Contributing family workers	M	86
Campbelltown (C) (SA)	Employee	F	4368
Campbelltown (C) (SA)	Employee	M	3020
Campbelltown (C) (SA)	Owner managers of incorporated enterprises	F	202
Campbelltown (C) (SA)	Owner managers of incorporated enterprises	M	528
Campbelltown (C) (SA)	Owner managers of unincorporated enterprises	F	444
Campbelltown (C) (SA)	Owner managers of unincorporated enterprises	M	669
Ceduna (DC)		F	12
Ceduna (DC)		M	20
Ceduna (DC)	Contributing family workers	F	19
Ceduna (DC)	Contributing family workers	M	26
Ceduna (DC)	Employee	F	675
Ceduna (DC)	Employee	M	547
Ceduna (DC)	Owner managers of incorporated enterprises	F	33
Ceduna (DC)	Owner managers of incorporated enterprises	M	72
Ceduna (DC)	Owner managers of unincorporated enterprises	F	51
Ceduna (DC)	Owner managers of unincorporated enterprises	M	110
Charles Sturt (C)		F	176
Charles Sturt (C)		M	218
Charles Sturt (C)	Contributing family workers	F	223
Charles Sturt (C)	Contributing family workers	M	211
Charles Sturt (C)	Employee	F	16815
Charles Sturt (C)	Employee	M	16831
Charles Sturt (C)	Owner managers of incorporated enterprises	F	659
Charles Sturt (C)	Owner managers of incorporated enterprises	M	1787
Charles Sturt (C)	Owner managers of unincorporated enterprises	F	1052
Charles Sturt (C)	Owner managers of unincorporated enterprises	M	1911
Clare and Gilbert Valleys (DC)		F	35
Clare and Gilbert Valleys (DC)		M	40
Clare and Gilbert Valleys (DC)	Contributing family workers	F	92
Clare and Gilbert Valleys (DC)	Contributing family workers	M	107
Clare and Gilbert Valleys (DC)	Employee	F	1628
Clare and Gilbert Valleys (DC)	Employee	M	1348
Clare and Gilbert Valleys (DC)	Owner managers of incorporated enterprises	F	105
Clare and Gilbert Valleys (DC)	Owner managers of incorporated enterprises	M	233
Clare and Gilbert Valleys (DC)	Owner managers of unincorporated enterprises	F	205
Clare and Gilbert Valleys (DC)	Owner managers of unincorporated enterprises	M	324
Cleve (DC)		F	8
Cleve (DC)		M	6
Cleve (DC)	Contributing family workers	F	40
Cleve (DC)	Contributing family workers	M	50
Cleve (DC)	Employee	F	243
Cleve (DC)	Employee	M	232
Cleve (DC)	Owner managers of incorporated enterprises	F	22
Cleve (DC)	Owner managers of incorporated enterprises	M	42
Cleve (DC)	Owner managers of unincorporated enterprises	F	62
Cleve (DC)	Owner managers of unincorporated enterprises	M	136
Coober Pedy (DC)		F	4
Coober Pedy (DC)		M	10
Coober Pedy (DC)	Contributing family workers	F	3
Coober Pedy (DC)	Contributing family workers	M	14
Coober Pedy (DC)	Employee	F	276
Coober Pedy (DC)	Employee	M	262
Coober Pedy (DC)	Owner managers of incorporated enterprises	F	9
Coober Pedy (DC)	Owner managers of incorporated enterprises	M	19
Coober Pedy (DC)	Owner managers of unincorporated enterprises	F	25
Coober Pedy (DC)	Owner managers of unincorporated enterprises	M	53
Copper Coast (DC)		F	45
Copper Coast (DC)		M	59
Copper Coast (DC)	Contributing family workers	F	58
Copper Coast (DC)	Contributing family workers	M	61
Copper Coast (DC)	Employee	F	1919
Copper Coast (DC)	Employee	M	1441
Copper Coast (DC)	Owner managers of incorporated enterprises	F	90
Copper Coast (DC)	Owner managers of incorporated enterprises	M	177
Copper Coast (DC)	Owner managers of unincorporated enterprises	F	200
Copper Coast (DC)	Owner managers of unincorporated enterprises	M	322
Elliston (DC)		F	3
Elliston (DC)		M	6
Elliston (DC)	Contributing family workers	F	35
Elliston (DC)	Contributing family workers	M	46
Elliston (DC)	Employee	F	123
Elliston (DC)	Employee	M	109
Elliston (DC)	Owner managers of incorporated enterprises	F	11
Elliston (DC)	Owner managers of incorporated enterprises	M	24
Elliston (DC)	Owner managers of unincorporated enterprises	F	37
Elliston (DC)	Owner managers of unincorporated enterprises	M	67
Flinders Ranges (DC)		M	7
Flinders Ranges (DC)	Contributing family workers	F	20
Flinders Ranges (DC)	Contributing family workers	M	23
Flinders Ranges (DC)	Employee	F	208
Flinders Ranges (DC)	Employee	M	127
Flinders Ranges (DC)	Owner managers of incorporated enterprises	F	14
Flinders Ranges (DC)	Owner managers of incorporated enterprises	M	30
Flinders Ranges (DC)	Owner managers of unincorporated enterprises	F	27
Flinders Ranges (DC)	Owner managers of unincorporated enterprises	M	51
Franklin Harbour (DC)		F	3
Franklin Harbour (DC)		M	6
Franklin Harbour (DC)	Contributing family workers	F	11
Franklin Harbour (DC)	Contributing family workers	M	11
Franklin Harbour (DC)	Employee	F	154
Franklin Harbour (DC)	Employee	M	131
Franklin Harbour (DC)	Owner managers of incorporated enterprises	F	11
Franklin Harbour (DC)	Owner managers of incorporated enterprises	M	21
Franklin Harbour (DC)	Owner managers of unincorporated enterprises	F	33
Franklin Harbour (DC)	Owner managers of unincorporated enterprises	M	63
Gawler (T)		F	35
Gawler (T)		M	34
Gawler (T)	Contributing family workers	F	45
Gawler (T)	Contributing family workers	M	32
Gawler (T)	Employee	F	3471
Gawler (T)	Employee	M	1921
Gawler (T)	Owner managers of incorporated enterprises	F	135
Gawler (T)	Owner managers of incorporated enterprises	M	211
Gawler (T)	Owner managers of unincorporated enterprises	F	257
Gawler (T)	Owner managers of unincorporated enterprises	M	342
Goyder (DC)		F	5
Goyder (DC)		M	19
Goyder (DC)	Contributing family workers	F	66
Goyder (DC)	Contributing family workers	M	111
Goyder (DC)	Employee	F	382
Goyder (DC)	Employee	M	401
Goyder (DC)	Owner managers of incorporated enterprises	F	31
Goyder (DC)	Owner managers of incorporated enterprises	M	53
Goyder (DC)	Owner managers of unincorporated enterprises	F	88
Goyder (DC)	Owner managers of unincorporated enterprises	M	181
Grant (DC)		F	10
Grant (DC)		M	17
Grant (DC)	Contributing family workers	F	72
Grant (DC)	Contributing family workers	M	109
Grant (DC)	Employee	F	474
Grant (DC)	Employee	M	993
Grant (DC)	Owner managers of incorporated enterprises	F	70
Grant (DC)	Owner managers of incorporated enterprises	M	138
Grant (DC)	Owner managers of unincorporated enterprises	F	138
Grant (DC)	Owner managers of unincorporated enterprises	M	240
Holdfast Bay (C)		F	63
Holdfast Bay (C)		M	66
Holdfast Bay (C)	Contributing family workers	F	107
Holdfast Bay (C)	Contributing family workers	M	99
Holdfast Bay (C)	Employee	F	5929
Holdfast Bay (C)	Employee	M	3890
Holdfast Bay (C)	Owner managers of incorporated enterprises	F	367
Holdfast Bay (C)	Owner managers of incorporated enterprises	M	634
Holdfast Bay (C)	Owner managers of unincorporated enterprises	F	508
Holdfast Bay (C)	Owner managers of unincorporated enterprises	M	694
Kangaroo Island (DC)		F	7
Kangaroo Island (DC)		M	20
Kangaroo Island (DC)	Contributing family workers	F	55
Kangaroo Island (DC)	Contributing family workers	M	86
Kangaroo Island (DC)	Employee	F	788
Kangaroo Island (DC)	Employee	M	576
Kangaroo Island (DC)	Owner managers of incorporated enterprises	F	46
Kangaroo Island (DC)	Owner managers of incorporated enterprises	M	89
Kangaroo Island (DC)	Owner managers of unincorporated enterprises	F	132
Kangaroo Island (DC)	Owner managers of unincorporated enterprises	M	254
Karoonda East Murray (DC)		F	3
Karoonda East Murray (DC)		M	7
Karoonda East Murray (DC)	Contributing family workers	F	25
Karoonda East Murray (DC)	Contributing family workers	M	42
Karoonda East Murray (DC)	Employee	F	128
Karoonda East Murray (DC)	Employee	M	97
Karoonda East Murray (DC)	Owner managers of incorporated enterprises	F	11
Karoonda East Murray (DC)	Owner managers of incorporated enterprises	M	26
Karoonda East Murray (DC)	Owner managers of unincorporated enterprises	F	38
Karoonda East Murray (DC)	Owner managers of unincorporated enterprises	M	101
Kimba (DC)		F	3
Kimba (DC)		M	6
Kimba (DC)	Contributing family workers	F	31
Kimba (DC)	Contributing family workers	M	33
Kimba (DC)	Employee	F	140
Kimba (DC)	Employee	M	129
Kimba (DC)	Owner managers of incorporated enterprises	F	18
Kimba (DC)	Owner managers of incorporated enterprises	M	37
Kimba (DC)	Owner managers of unincorporated enterprises	F	40
Kimba (DC)	Owner managers of unincorporated enterprises	M	86
Kingston (DC) (SA)		F	4
Kingston (DC) (SA)		M	10
Kingston (DC) (SA)	Contributing family workers	F	41
Kingston (DC) (SA)	Contributing family workers	M	40
Kingston (DC) (SA)	Employee	F	323
Kingston (DC) (SA)	Employee	M	268
Kingston (DC) (SA)	Owner managers of incorporated enterprises	F	24
Kingston (DC) (SA)	Owner managers of incorporated enterprises	M	49
Kingston (DC) (SA)	Owner managers of unincorporated enterprises	F	53
Kingston (DC) (SA)	Owner managers of unincorporated enterprises	M	104
Light (RegC)		F	33
Light (RegC)		M	30
Light (RegC)	Contributing family workers	F	84
Light (RegC)	Contributing family workers	M	120
Light (RegC)	Employee	F	1598
Light (RegC)	Employee	M	2111
Light (RegC)	Owner managers of incorporated enterprises	F	98
Light (RegC)	Owner managers of incorporated enterprises	M	214
Light (RegC)	Owner managers of unincorporated enterprises	F	197
Light (RegC)	Owner managers of unincorporated enterprises	M	352
Lower Eyre Peninsula (DC)		F	10
Lower Eyre Peninsula (DC)		M	16
Lower Eyre Peninsula (DC)	Contributing family workers	F	65
Lower Eyre Peninsula (DC)	Contributing family workers	M	72
Lower Eyre Peninsula (DC)	Employee	F	384
Lower Eyre Peninsula (DC)	Employee	M	487
Lower Eyre Peninsula (DC)	Owner managers of incorporated enterprises	F	40
Lower Eyre Peninsula (DC)	Owner managers of incorporated enterprises	M	108
Lower Eyre Peninsula (DC)	Owner managers of unincorporated enterprises	F	93
Lower Eyre Peninsula (DC)	Owner managers of unincorporated enterprises	M	209
Loxton Waikerie (DC)		F	39
Loxton Waikerie (DC)		M	35
Loxton Waikerie (DC)	Contributing family workers	F	94
Loxton Waikerie (DC)	Contributing family workers	M	128
Loxton Waikerie (DC)	Employee	F	1640
Loxton Waikerie (DC)	Employee	M	1681
Loxton Waikerie (DC)	Owner managers of incorporated enterprises	F	96
Loxton Waikerie (DC)	Owner managers of incorporated enterprises	M	224
Loxton Waikerie (DC)	Owner managers of unincorporated enterprises	F	202
Loxton Waikerie (DC)	Owner managers of unincorporated enterprises	M	346
Mallala (DC)		F	14
Mallala (DC)		M	18
Mallala (DC)	Contributing family workers	F	49
Mallala (DC)	Contributing family workers	M	52
Mallala (DC)	Employee	F	503
Mallala (DC)	Employee	M	815
Mallala (DC)	Owner managers of incorporated enterprises	F	53
Mallala (DC)	Owner managers of incorporated enterprises	M	112
Mallala (DC)	Owner managers of unincorporated enterprises	F	113
Mallala (DC)	Owner managers of unincorporated enterprises	M	234
Maralinga Tjarutja (AC)	Employee	F	4
Marion (C)		F	92
Marion (C)		M	100
Marion (C)	Contributing family workers	F	153
Marion (C)	Contributing family workers	M	127
Marion (C)	Employee	F	9800
Marion (C)	Employee	M	8268
Marion (C)	Owner managers of incorporated enterprises	F	331
Marion (C)	Owner managers of incorporated enterprises	M	866
Marion (C)	Owner managers of unincorporated enterprises	F	743
Marion (C)	Owner managers of unincorporated enterprises	M	1209
Mid Murray (DC)		F	21
Mid Murray (DC)		M	34
Mid Murray (DC)	Contributing family workers	F	75
Mid Murray (DC)	Contributing family workers	M	103
Mid Murray (DC)	Employee	F	792
Mid Murray (DC)	Employee	M	795
Mid Murray (DC)	Owner managers of incorporated enterprises	F	42
Mid Murray (DC)	Owner managers of incorporated enterprises	M	111
Mid Murray (DC)	Owner managers of unincorporated enterprises	F	128
Mid Murray (DC)	Owner managers of unincorporated enterprises	M	260
Mitcham (C)		F	112
Mitcham (C)		M	94
Mitcham (C)	Contributing family workers	F	157
Mitcham (C)	Contributing family workers	M	144
Mitcham (C)	Employee	F	14529
Mitcham (C)	Employee	M	9354
Mitcham (C)	Owner managers of incorporated enterprises	F	407
Mitcham (C)	Owner managers of incorporated enterprises	M	832
Mitcham (C)	Owner managers of unincorporated enterprises	F	775
Mitcham (C)	Owner managers of unincorporated enterprises	M	1077
Mount Barker (DC)		F	69
Mount Barker (DC)		M	73
Mount Barker (DC)	Contributing family workers	F	147
Mount Barker (DC)	Contributing family workers	M	121
Mount Barker (DC)	Employee	F	4590
Mount Barker (DC)	Employee	M	3549
Mount Barker (DC)	Owner managers of incorporated enterprises	F	225
Mount Barker (DC)	Owner managers of incorporated enterprises	M	465
Mount Barker (DC)	Owner managers of unincorporated enterprises	F	537
Mount Barker (DC)	Owner managers of unincorporated enterprises	M	700
Mount Gambier (C)		F	70
Mount Gambier (C)		M	61
Mount Gambier (C)	Contributing family workers	F	74
Mount Gambier (C)	Contributing family workers	M	68
Mount Gambier (C)	Employee	F	6017
Mount Gambier (C)	Employee	M	4971
Mount Gambier (C)	Owner managers of incorporated enterprises	F	196
Mount Gambier (C)	Owner managers of incorporated enterprises	M	419
Mount Gambier (C)	Owner managers of unincorporated enterprises	F	328
Mount Gambier (C)	Owner managers of unincorporated enterprises	M	424
Mount Remarkable (DC)		F	10
