LGA_NAME16	LabourForceStatus	Sex	workers
Knox (C)	Employed (away from work)	M	739
Knox (C)	Employed (full-time)	F	13384
Knox (C)	Employed (full-time)	M	25724
Knox (C)	Employed (part-time)	F	15231
Knox (C)	Employed (part-time)	M	6898
Latrobe (C) (Vic.)		F	270
Latrobe (C) (Vic.)		M	327
Latrobe (C) (Vic.)	Employed (away from work)	F	805
Latrobe (C) (Vic.)	Employed (away from work)	M	597
Latrobe (C) (Vic.)	Employed (full-time)	F	5983
Latrobe (C) (Vic.)	Employed (full-time)	M	11576
Latrobe (C) (Vic.)	Employed (part-time)	F	8179
Latrobe (C) (Vic.)	Employed (part-time)	M	2873
Loddon (S)		F	40
Loddon (S)		M	48
Loddon (S)	Employed (away from work)	F	53
Loddon (S)	Employed (away from work)	M	62
Loddon (S)	Employed (full-time)	F	434
Loddon (S)	Employed (full-time)	M	1173
Loddon (S)	Employed (part-time)	F	565
Loddon (S)	Employed (part-time)	M	281
Macedon Ranges (S)		F	105
Macedon Ranges (S)		M	127
Macedon Ranges (S)	Employed (away from work)	F	315
Macedon Ranges (S)	Employed (away from work)	M	192
Macedon Ranges (S)	Employed (full-time)	F	2358
Macedon Ranges (S)	Employed (full-time)	M	3909
Macedon Ranges (S)	Employed (part-time)	F	4010
Macedon Ranges (S)	Employed (part-time)	M	1654
Manningham (C)		F	240
Manningham (C)		M	278
Manningham (C)	Employed (away from work)	F	564
Manningham (C)	Employed (away from work)	M	287
Manningham (C)	Employed (full-time)	F	5427
Manningham (C)	Employed (full-time)	M	8274
Manningham (C)	Employed (part-time)	F	9483
Manningham (C)	Employed (part-time)	M	4380
Mansfield (S)		F	36
Mansfield (S)		M	34
Mansfield (S)	Employed (away from work)	F	71
Mansfield (S)	Employed (away from work)	M	56
Mansfield (S)	Employed (full-time)	F	664
Mansfield (S)	Employed (full-time)	M	1068
Mansfield (S)	Employed (part-time)	F	912
Mansfield (S)	Employed (part-time)	M	388
Maribyrnong (C)		F	360
Maribyrnong (C)		M	437
Maribyrnong (C)	Employed (away from work)	F	736
Maribyrnong (C)	Employed (away from work)	M	399
Maribyrnong (C)	Employed (full-time)	F	8641
Maribyrnong (C)	Employed (full-time)	M	12765
Maribyrnong (C)	Employed (part-time)	F	9274
Maribyrnong (C)	Employed (part-time)	M	4651
Maroondah (C)		F	308
Maroondah (C)		M	383
Maroondah (C)	Employed (away from work)	F	787
Maroondah (C)	Employed (away from work)	M	440
Maroondah (C)	Employed (full-time)	F	8210
Maroondah (C)	Employed (full-time)	M	15546
Maroondah (C)	Employed (part-time)	F	11717
Maroondah (C)	Employed (part-time)	M	4873
Melbourne (C)		F	3165
Melbourne (C)		M	4051
Melbourne (C)	Employed (away from work)	F	9667
Melbourne (C)	Employed (away from work)	M	4920
Melbourne (C)	Employed (full-time)	F	128390
Melbourne (C)	Employed (full-time)	M	189368
Melbourne (C)	Employed (part-time)	F	63382
Melbourne (C)	Employed (part-time)	M	33808
Melton (C)		F	208
Melton (C)		M	331
Melton (C)	Employed (away from work)	F	466
Melton (C)	Employed (away from work)	M	289
Melton (C)	Employed (full-time)	F	5355
Melton (C)	Employed (full-time)	M	8548
Melton (C)	Employed (part-time)	F	6571
Melton (C)	Employed (part-time)	M	2913
Mildura (RC)		F	209
Mildura (RC)		M	285
Mildura (RC)	Employed (away from work)	F	503
Mildura (RC)	Employed (away from work)	M	298
Mildura (RC)	Employed (full-time)	F	4784
Mildura (RC)	Employed (full-time)	M	7923
Mildura (RC)	Employed (part-time)	F	5295
Mildura (RC)	Employed (part-time)	M	2054
Mitchell (S)		F	106
Mitchell (S)		M	144
Mitchell (S)	Employed (away from work)	F	273
Mitchell (S)	Employed (away from work)	M	186
Mitchell (S)	Employed (full-time)	F	2210
Mitchell (S)	Employed (full-time)	M	3830
Mitchell (S)	Employed (part-time)	F	2919
Mitchell (S)	Employed (part-time)	M	1197
Moira (S)		F	123
Moira (S)		M	143
Moira (S)	Employed (away from work)	F	296
Moira (S)	Employed (away from work)	M	238
Moira (S)	Employed (full-time)	F	2044
Moira (S)	Employed (full-time)	M	4154
Moira (S)	Employed (part-time)	F	2553
Moira (S)	Employed (part-time)	M	974
Monash (C)		F	818
Monash (C)		M	1083
Monash (C)	Employed (away from work)	F	1975
Monash (C)	Employed (away from work)	M	1061
Monash (C)	Employed (full-time)	F	25120
Monash (C)	Employed (full-time)	M	43121
Monash (C)	Employed (part-time)	F	21622
Monash (C)	Employed (part-time)	M	10980
Moonee Valley (C)		F	316
Moonee Valley (C)		M	391
Moonee Valley (C)	Employed (away from work)	F	681
Moonee Valley (C)	Employed (away from work)	M	397
Moonee Valley (C)	Employed (full-time)	F	8108
Moonee Valley (C)	Employed (full-time)	M	11891
Moonee Valley (C)	Employed (part-time)	F	9845
Moonee Valley (C)	Employed (part-time)	M	4409
Moorabool (S)		F	73
Moorabool (S)		M	93
Moorabool (S)	Employed (away from work)	F	165
Moorabool (S)	Employed (away from work)	M	91
Moorabool (S)	Employed (full-time)	F	1389
Moorabool (S)	Employed (full-time)	M	2551
Moorabool (S)	Employed (part-time)	F	2242
Moorabool (S)	Employed (part-time)	M	902
Moreland (C)		F	384
Moreland (C)		M	506
Moreland (C)	Employed (away from work)	F	659
Moreland (C)	Employed (away from work)	M	423
Moreland (C)	Employed (full-time)	F	8213
Moreland (C)	Employed (full-time)	M	13133
Moreland (C)	Employed (part-time)	F	9840
Moreland (C)	Employed (part-time)	M	5651
Mornington Peninsula (S)		F	493
Mornington Peninsula (S)		M	474
Mornington Peninsula (S)	Employed (away from work)	F	1050
Mornington Peninsula (S)	Employed (away from work)	M	682
Mornington Peninsula (S)	Employed (full-time)	F	9473
Mornington Peninsula (S)	Employed (full-time)	M	15883
Mornington Peninsula (S)	Employed (part-time)	F	15218
Mornington Peninsula (S)	Employed (part-time)	M	6201
Mount Alexander (S)		F	68
Mount Alexander (S)		M	55
Mount Alexander (S)	Employed (away from work)	F	165
Mount Alexander (S)	Employed (away from work)	M	112
Mount Alexander (S)	Employed (full-time)	F	1296
Mount Alexander (S)	Employed (full-time)	M	2424
Mount Alexander (S)	Employed (part-time)	F	1805
Mount Alexander (S)	Employed (part-time)	M	981
Moyne (S)		F	52
Moyne (S)		M	101
Moyne (S)	Employed (away from work)	F	129
Moyne (S)	Employed (away from work)	M	146
Moyne (S)	Employed (full-time)	F	1026
Moyne (S)	Employed (full-time)	M	2899
Moyne (S)	Employed (part-time)	F	1182
Moyne (S)	Employed (part-time)	M	652
Murrindindi (S)		F	44
Murrindindi (S)		M	49
Murrindindi (S)	Employed (away from work)	F	108
Murrindindi (S)	Employed (away from work)	M	83
Murrindindi (S)	Employed (full-time)	F	751
Murrindindi (S)	Employed (full-time)	M	1429
Murrindindi (S)	Employed (part-time)	F	1135
Murrindindi (S)	Employed (part-time)	M	521
Nillumbik (S)		F	96
Nillumbik (S)		M	143
Nillumbik (S)	Employed (away from work)	F	232
Nillumbik (S)	Employed (away from work)	M	163
Nillumbik (S)	Employed (full-time)	F	2279
Nillumbik (S)	Employed (full-time)	M	3968
Nillumbik (S)	Employed (part-time)	F	4463
Nillumbik (S)	Employed (part-time)	M	1980
Northern Grampians (S)		F	47
Northern Grampians (S)		M	67
Northern Grampians (S)	Employed (away from work)	F	136
Northern Grampians (S)	Employed (away from work)	M	94
Northern Grampians (S)	Employed (full-time)	F	947
Northern Grampians (S)	Employed (full-time)	M	1744
Northern Grampians (S)	Employed (part-time)	F	1165
Northern Grampians (S)	Employed (part-time)	M	556
Port Phillip (C)		F	514
Port Phillip (C)		M	766
Port Phillip (C)	Employed (away from work)	F	1198
Port Phillip (C)	Employed (away from work)	M	781
Port Phillip (C)	Employed (full-time)	F	20113
Port Phillip (C)	Employed (full-time)	M	33172
Port Phillip (C)	Employed (part-time)	F	12121
Port Phillip (C)	Employed (part-time)	M	7274
Pyrenees (S)		F	18
Pyrenees (S)		M	31
Pyrenees (S)	Employed (away from work)	F	50
Pyrenees (S)	Employed (away from work)	M	52
Pyrenees (S)	Employed (full-time)	F	318
Pyrenees (S)	Employed (full-time)	M	840
Pyrenees (S)	Employed (part-time)	F	473
Pyrenees (S)	Employed (part-time)	M	219
Queenscliffe (B)		F	14
Queenscliffe (B)		M	16
Queenscliffe (B)	Employed (away from work)	F	44
Queenscliffe (B)	Employed (away from work)	M	30
Queenscliffe (B)	Employed (full-time)	F	237
Queenscliffe (B)	Employed (full-time)	M	336
Queenscliffe (B)	Employed (part-time)	F	440
Queenscliffe (B)	Employed (part-time)	M	166
South Gippsland (S)		F	119
South Gippsland (S)		M	134
South Gippsland (S)	Employed (away from work)	F	265
South Gippsland (S)	Employed (away from work)	M	206
South Gippsland (S)	Employed (full-time)	F	1889
South Gippsland (S)	Employed (full-time)	M	3886
South Gippsland (S)	Employed (part-time)	F	2885
South Gippsland (S)	Employed (part-time)	M	1290
Southern Grampians (S)		F	69
Southern Grampians (S)		M	77
Southern Grampians (S)	Employed (away from work)	F	186
Southern Grampians (S)	Employed (away from work)	M	130
Southern Grampians (S)	Employed (full-time)	F	1402
Southern Grampians (S)	Employed (full-time)	M	2663
Southern Grampians (S)	Employed (part-time)	F	1912
Southern Grampians (S)	Employed (part-time)	M	728
Stonnington (C)		F	467
Stonnington (C)		M	483
Stonnington (C)	Employed (away from work)	F	1035
Stonnington (C)	Employed (away from work)	M	460
Stonnington (C)	Employed (full-time)	F	13843
Stonnington (C)	Employed (full-time)	M	16663
Stonnington (C)	Employed (part-time)	F	15177
Stonnington (C)	Employed (part-time)	M	6842
Strathbogie (S)		F	37
Strathbogie (S)		M	57
Strathbogie (S)	Employed (away from work)	F	76
Strathbogie (S)	Employed (away from work)	M	71
Strathbogie (S)	Employed (full-time)	F	637
Strathbogie (S)	Employed (full-time)	M	1329
Strathbogie (S)	Employed (part-time)	F	889
Strathbogie (S)	Employed (part-time)	M	424
Surf Coast (S)		F	80
Surf Coast (S)		M	80
Surf Coast (S)	Employed (away from work)	F	202
Surf Coast (S)	Employed (away from work)	M	132
Surf Coast (S)	Employed (full-time)	F	1410
Surf Coast (S)	Employed (full-time)	M	2762
Surf Coast (S)	Employed (part-time)	F	2681
Surf Coast (S)	Employed (part-time)	M	1351
Swan Hill (RC)		F	103
Swan Hill (RC)		M	150
Swan Hill (RC)	Employed (away from work)	F	198
Swan Hill (RC)	Employed (away from work)	M	173
Swan Hill (RC)	Employed (full-time)	F	1853
Swan Hill (RC)	Employed (full-time)	M	3532
Swan Hill (RC)	Employed (part-time)	F	1990
Swan Hill (RC)	Employed (part-time)	M	803
Towong (S)		F	26
Towong (S)		M	28
Towong (S)	Employed (away from work)	F	41
Towong (S)	Employed (away from work)	M	53
Towong (S)	Employed (full-time)	F	378
Towong (S)	Employed (full-time)	M	740
Towong (S)	Employed (part-time)	F	514
Towong (S)	Employed (part-time)	M	236
Wangaratta (RC)		F	111
Wangaratta (RC)		M	128
Wangaratta (RC)	Employed (away from work)	F	349
Wangaratta (RC)	Employed (away from work)	M	222
Wangaratta (RC)	Employed (full-time)	F	2609
Wangaratta (RC)	Employed (full-time)	M	4288
Wangaratta (RC)	Employed (part-time)	F	3349
Wangaratta (RC)	Employed (part-time)	M	1264
Warrnambool (C)		F	138
Warrnambool (C)		M	144
Warrnambool (C)	Employed (away from work)	F	435
Warrnambool (C)	Employed (away from work)	M	245
Warrnambool (C)	Employed (full-time)	F	3298
Warrnambool (C)	Employed (full-time)	M	5103
Warrnambool (C)	Employed (part-time)	F	4622
Warrnambool (C)	Employed (part-time)	M	1759
Wellington (S)		F	168
Wellington (S)		M	197
Wellington (S)	Employed (away from work)	F	398
Wellington (S)	Employed (away from work)	M	350
Wellington (S)	Employed (full-time)	F	3244
Wellington (S)	Employed (full-time)	M	6911
Wellington (S)	Employed (part-time)	F	4180
Wellington (S)	Employed (part-time)	M	1621
West Wimmera (S)		F	10
West Wimmera (S)		M	22
West Wimmera (S)	Employed (away from work)	F	37
West Wimmera (S)	Employed (away from work)	M	39
West Wimmera (S)	Employed (full-time)	F	283
West Wimmera (S)	Employed (full-time)	M	755
West Wimmera (S)	Employed (part-time)	F	374
West Wimmera (S)	Employed (part-time)	M	149
Whitehorse (C)		F	529
Whitehorse (C)		M	617
Whitehorse (C)	Employed (away from work)	F	1427
Whitehorse (C)	Employed (away from work)	M	700
Whitehorse (C)	Employed (full-time)	F	16463
Whitehorse (C)	Employed (full-time)	M	23103
Whitehorse (C)	Employed (part-time)	F	18196
Whitehorse (C)	Employed (part-time)	M	8152
Whittlesea (C)		F	473
Whittlesea (C)		M	693
Whittlesea (C)	Employed (away from work)	F	1040
Whittlesea (C)	Employed (away from work)	M	573
Whittlesea (C)	Employed (full-time)	F	11050
Whittlesea (C)	Employed (full-time)	M	19925
Whittlesea (C)	Employed (part-time)	F	13229
Whittlesea (C)	Employed (part-time)	M	6164
Wodonga (C)		F	137
Wodonga (C)		M	196
Wodonga (C)	Employed (away from work)	F	409
Wodonga (C)	Employed (away from work)	M	314
Wodonga (C)	Employed (full-time)	F	3842
Wodonga (C)	Employed (full-time)	M	8220
Wodonga (C)	Employed (part-time)	F	4006
Wodonga (C)	Employed (part-time)	M	1688
Wyndham (C)		F	527
Wyndham (C)		M	850
Wyndham (C)	Employed (away from work)	F	1000
Wyndham (C)	Employed (away from work)	M	737
Wyndham (C)	Employed (full-time)	F	12864
Wyndham (C)	Employed (full-time)	M	25876
Wyndham (C)	Employed (part-time)	F	13044
Wyndham (C)	Employed (part-time)	M	7007
Yarra (C)		F	594
Yarra (C)		M	748
Yarra (C)	Employed (away from work)	F	1577
Yarra (C)	Employed (away from work)	M	726
Yarra (C)	Employed (full-time)	F	22805
Yarra (C)	Employed (full-time)	M	30688
Yarra (C)	Employed (part-time)	F	15469
Yarra (C)	Employed (part-time)	M	8493
Yarra Ranges (S)		F	340
Yarra Ranges (S)		M	386
Yarra Ranges (S)	Employed (away from work)	F	868
Yarra Ranges (S)	Employed (away from work)	M	583
Yarra Ranges (S)	Employed (full-time)	F	7153
Yarra Ranges (S)	Employed (full-time)	M	13179
Yarra Ranges (S)	Employed (part-time)	F	12053
Yarra Ranges (S)	Employed (part-time)	M	4982
Yarriambiack (S)		F	29
Yarriambiack (S)		M	42
Yarriambiack (S)	Employed (away from work)	F	65
Yarriambiack (S)	Employed (away from work)	M	38
Yarriambiack (S)	Employed (full-time)	F	422
Yarriambiack (S)	Employed (full-time)	M	1064
Yarriambiack (S)	Employed (part-time)	F	646
Yarriambiack (S)	Employed (part-time)	M	247
Unincorporated Vic		F	20
Unincorporated Vic		M	22
Unincorporated Vic	Employed (away from work)	F	24
Unincorporated Vic	Employed (away from work)	M	19
Unincorporated Vic	Employed (full-time)	F	640
Unincorporated Vic	Employed (full-time)	M	900
Unincorporated Vic	Employed (part-time)	F	294
Unincorporated Vic	Employed (part-time)	M	269
No usual address (Vic.)		F	957
No usual address (Vic.)		M	2167
No usual address (Vic.)	Employed (away from work)	F	1876
No usual address (Vic.)	Employed (away from work)	M	3291
No usual address (Vic.)	Employed (full-time)	F	7233
No usual address (Vic.)	Employed (full-time)	M	61169
No usual address (Vic.)	Employed (part-time)	F	18437
No usual address (Vic.)	Employed (part-time)	M	23903
Migratory - Offshore - Shipping (Vic.)		M	7
Migratory - Offshore - Shipping (Vic.)	Employed (away from work)	M	22
Migratory - Offshore - Shipping (Vic.)	Employed (full-time)	F	3
Migratory - Offshore - Shipping (Vic.)	Employed (full-time)	M	102
Migratory - Offshore - Shipping (Vic.)	Employed (part-time)	F	5
Migratory - Offshore - Shipping (Vic.)	Employed (part-time)	M	16
Aurukun (S)		F	7
Aurukun (S)		M	3
Aurukun (S)	Employed (away from work)	F	4
Aurukun (S)	Employed (away from work)	M	7
Aurukun (S)	Employed (full-time)	F	72
Aurukun (S)	Employed (full-time)	M	133
Aurukun (S)	Employed (part-time)	F	36
Aurukun (S)	Employed (part-time)	M	28
Balonne (S)		F	16
Balonne (S)		M	35
Balonne (S)	Employed (away from work)	F	41
Balonne (S)	Employed (away from work)	M	25
Balonne (S)	Employed (full-time)	F	466
Balonne (S)	Employed (full-time)	M	915
Balonne (S)	Employed (part-time)	F	445
Balonne (S)	Employed (part-time)	M	159
Banana (S)		F	73
Banana (S)		M	121
Banana (S)	Employed (away from work)	F	135
Banana (S)	Employed (away from work)	M	215
Banana (S)	Employed (full-time)	F	1652
Banana (S)	Employed (full-time)	M	4136
Banana (S)	Employed (part-time)	F	1346
Banana (S)	Employed (part-time)	M	468
Barcaldine (R)		F	17
Barcaldine (R)		M	23
Barcaldine (R)	Employed (away from work)	F	22
Barcaldine (R)	Employed (away from work)	M	19
Barcaldine (R)	Employed (full-time)	F	400
Barcaldine (R)	Employed (full-time)	M	654
Barcaldine (R)	Employed (part-time)	F	248
Barcaldine (R)	Employed (part-time)	M	68
Barcoo (S)		M	3
Barcoo (S)	Employed (away from work)	F	4
Barcoo (S)	Employed (away from work)	M	3
Barcoo (S)	Employed (full-time)	F	67
Barcoo (S)	Employed (full-time)	M	118
Barcoo (S)	Employed (part-time)	F	15
Barcoo (S)	Employed (part-time)	M	10
Blackall-Tambo (R)		F	8
Blackall-Tambo (R)		M	11
Blackall-Tambo (R)	Employed (away from work)	F	21
Blackall-Tambo (R)	Employed (away from work)	M	19
Blackall-Tambo (R)	Employed (full-time)	F	218
Blackall-Tambo (R)	Employed (full-time)	M	349
Blackall-Tambo (R)	Employed (part-time)	F	164
Blackall-Tambo (R)	Employed (part-time)	M	61
Boulia (S)		F	3
Boulia (S)		M	3
Boulia (S)	Employed (away from work)	F	6
Boulia (S)	Employed (away from work)	M	3
Boulia (S)	Employed (full-time)	F	70
Boulia (S)	Employed (full-time)	M	123
Boulia (S)	Employed (part-time)	F	28
Boulia (S)	Employed (part-time)	M	4
Brisbane (C)		F	4708
Brisbane (C)		M	6250
Brisbane (C)	Employed (away from work)	F	14450
Brisbane (C)	Employed (away from work)	M	8604
Brisbane (C)	Employed (full-time)	F	186264
Brisbane (C)	Employed (full-time)	M	287128
Brisbane (C)	Employed (part-time)	F	137524
Brisbane (C)	Employed (part-time)	M	69288
Bulloo (S)		F	3
Bulloo (S)		M	7
Bulloo (S)	Employed (away from work)	F	8
Bulloo (S)	Employed (away from work)	M	12
Bulloo (S)	Employed (full-time)	F	70
Bulloo (S)	Employed (full-time)	M	164
Bulloo (S)	Employed (part-time)	F	19
Bulloo (S)	Employed (part-time)	M	4
Bundaberg (R)		F	285
Bundaberg (R)		M	367
Bundaberg (R)	Employed (away from work)	F	617
Bundaberg (R)	Employed (away from work)	M	383
Bundaberg (R)	Employed (full-time)	F	7213
Bundaberg (R)	Employed (full-time)	M	11038
Bundaberg (R)	Employed (part-time)	F	7921
Bundaberg (R)	Employed (part-time)	M	3525
Burdekin (S)		F	78
Burdekin (S)		M	100
Burdekin (S)	Employed (away from work)	F	131
Burdekin (S)	Employed (away from work)	M	107
Burdekin (S)	Employed (full-time)	F	1537
Burdekin (S)	Employed (full-time)	M	3232
Burdekin (S)	Employed (part-time)	F	1666
Burdekin (S)	Employed (part-time)	M	542
Burke (S)		F	7
Burke (S)		M	4
Burke (S)	Employed (away from work)	F	5
Burke (S)	Employed (away from work)	M	4
Burke (S)	Employed (full-time)	F	34
Burke (S)	Employed (full-time)	M	79
Burke (S)	Employed (part-time)	F	8
Burke (S)	Employed (part-time)	M	8
Cairns (R)		F	552
Cairns (R)		M	657
Cairns (R)	Employed (away from work)	F	1359
Cairns (R)	Employed (away from work)	M	898
Cairns (R)	Employed (full-time)	F	18012
Cairns (R)	Employed (full-time)	M	23904
Cairns (R)	Employed (part-time)	F	15076
Cairns (R)	Employed (part-time)	M	6992
Carpentaria (S)		F	16
Carpentaria (S)		M	19
Carpentaria (S)	Employed (away from work)	F	7
Carpentaria (S)	Employed (away from work)	M	17
Carpentaria (S)	Employed (full-time)	F	271
Carpentaria (S)	Employed (full-time)	M	380
Carpentaria (S)	Employed (part-time)	F	98
Carpentaria (S)	Employed (part-time)	M	53
Cassowary Coast (R)		F	119
Cassowary Coast (R)		M	173
Cassowary Coast (R)	Employed (away from work)	F	214
Cassowary Coast (R)	Employed (away from work)	M	166
Cassowary Coast (R)	Employed (full-time)	F	2509
Cassowary Coast (R)	Employed (full-time)	M	4424
Cassowary Coast (R)	Employed (part-time)	F	2694
Cassowary Coast (R)	Employed (part-time)	M	1203
Central Highlands (R) (Qld)		F	121
Central Highlands (R) (Qld)		M	217
Central Highlands (R) (Qld)	Employed (away from work)	F	296
Central Highlands (R) (Qld)	Employed (away from work)	M	477
Central Highlands (R) (Qld)	Employed (full-time)	F	3018
Central Highlands (R) (Qld)	Employed (full-time)	M	8483
Central Highlands (R) (Qld)	Employed (part-time)	F	2493
Central Highlands (R) (Qld)	Employed (part-time)	M	986
Charters Towers (R)		F	41
Charters Towers (R)		M	73
Charters Towers (R)	Employed (away from work)	F	95
Charters Towers (R)	Employed (away from work)	M	82
Charters Towers (R)	Employed (full-time)	F	1136
Charters Towers (R)	Employed (full-time)	M	1570
Charters Towers (R)	Employed (part-time)	F	911
Charters Towers (R)	Employed (part-time)	M	363
Cherbourg (S)		F	5
Cherbourg (S)		M	5
Cherbourg (S)	Employed (away from work)	F	6
Cherbourg (S)	Employed (full-time)	F	108
Cherbourg (S)	Employed (full-time)	M	77
Cherbourg (S)	Employed (part-time)	F	56
Cherbourg (S)	Employed (part-time)	M	30
Cloncurry (S)		F	16
Cloncurry (S)		M	45
Cloncurry (S)	Employed (away from work)	F	37
Cloncurry (S)	Employed (away from work)	M	121
Cloncurry (S)	Employed (full-time)	F	554
Cloncurry (S)	Employed (full-time)	M	1947
Cloncurry (S)	Employed (part-time)	F	176
Cloncurry (S)	Employed (part-time)	M	123
Cook (S)		F	26
Cook (S)		M	49
Cook (S)	Employed (away from work)	F	51
Cook (S)	Employed (away from work)	M	76
Cook (S)	Employed (full-time)	F	671
Cook (S)	Employed (full-time)	M	1473
Cook (S)	Employed (part-time)	F	317
Cook (S)	Employed (part-time)	M	212
Croydon (S)		M	5
Croydon (S)	Employed (away from work)	M	3
Croydon (S)	Employed (full-time)	F	31
Croydon (S)	Employed (full-time)	M	40
Croydon (S)	Employed (part-time)	F	19
Croydon (S)	Employed (part-time)	M	15
Diamantina (S)		M	4
Diamantina (S)	Employed (away from work)	M	3
Diamantina (S)	Employed (full-time)	F	57
Diamantina (S)	Employed (full-time)	M	93
Diamantina (S)	Employed (part-time)	F	19
Diamantina (S)	Employed (part-time)	M	9
Doomadgee (S)		F	11
Doomadgee (S)		M	6
Doomadgee (S)	Employed (away from work)	F	7
Doomadgee (S)	Employed (away from work)	M	9
Doomadgee (S)	Employed (full-time)	F	80
Doomadgee (S)	Employed (full-time)	M	86
Doomadgee (S)	Employed (part-time)	F	69
Doomadgee (S)	Employed (part-time)	M	64
Douglas (S)		F	54
Douglas (S)		M	83
Douglas (S)	Employed (away from work)	F	94
Douglas (S)	Employed (away from work)	M	71
Douglas (S)	Employed (full-time)	F	1422
Douglas (S)	Employed (full-time)	M	1992
Douglas (S)	Employed (part-time)	F	1214
Douglas (S)	Employed (part-time)	M	663
Etheridge (S)		F	3
Etheridge (S)		M	6
Etheridge (S)	Employed (away from work)	F	9
Etheridge (S)	Employed (away from work)	M	5
Etheridge (S)	Employed (full-time)	F	108
Etheridge (S)	Employed (full-time)	M	173
Etheridge (S)	Employed (part-time)	F	37
Etheridge (S)	Employed (part-time)	M	33
Flinders (S) (Qld)		F	16
Flinders (S) (Qld)		M	17
Flinders (S) (Qld)	Employed (away from work)	F	15
Flinders (S) (Qld)	Employed (away from work)	M	13
Flinders (S) (Qld)	Employed (full-time)	F	218
Flinders (S) (Qld)	Employed (full-time)	M	359
Flinders (S) (Qld)	Employed (part-time)	F	118
Flinders (S) (Qld)	Employed (part-time)	M	57
Fraser Coast (R)		F	271
Fraser Coast (R)		M	302
Fraser Coast (R)	Employed (away from work)	F	638
Fraser Coast (R)	Employed (away from work)	M	409
Fraser Coast (R)	Employed (full-time)	F	6749
Fraser Coast (R)	Employed (full-time)	M	9352
Fraser Coast (R)	Employed (part-time)	F	7824
Fraser Coast (R)	Employed (part-time)	M	3599
Gladstone (R)		F	174
Gladstone (R)		M	276
Gladstone (R)	Employed (away from work)	F	514
Gladstone (R)	Employed (away from work)	M	551
Gladstone (R)	Employed (full-time)	F	5433
Gladstone (R)	Employed (full-time)	M	12170
Gladstone (R)	Employed (part-time)	F	5432
Gladstone (R)	Employed (part-time)	M	2034
Gold Coast (C)		F	1980
Gold Coast (C)		M	2240
Gold Coast (C)	Employed (away from work)	F	4124
Gold Coast (C)	Employed (away from work)	M	2411
Gold Coast (C)	Employed (full-time)	F	55665
Gold Coast (C)	Employed (full-time)	M	83467
Gold Coast (C)	Employed (part-time)	F	58066
Gold Coast (C)	Employed (part-time)	M	27577
Goondiwindi (R)		F	46
Goondiwindi (R)		M	54
Goondiwindi (R)	Employed (away from work)	F	104
Goondiwindi (R)	Employed (away from work)	M	69
Goondiwindi (R)	Employed (full-time)	F	1099
Goondiwindi (R)	Employed (full-time)	M	2048
Goondiwindi (R)	Employed (part-time)	F	1006
Goondiwindi (R)	Employed (part-time)	M	339
Gympie (R)		F	145
Gympie (R)		M	183
Gympie (R)	Employed (away from work)	F	351
Gympie (R)	Employed (away from work)	M	258
Gympie (R)	Employed (full-time)	F	3251
Gympie (R)	Employed (full-time)	M	5398
Gympie (R)	Employed (part-time)	F	4257
Gympie (R)	Employed (part-time)	M	1859
Hinchinbrook (S)		F	40
Hinchinbrook (S)		M	62
Hinchinbrook (S)	Employed (away from work)	F	81
Hinchinbrook (S)	Employed (away from work)	M	59
Hinchinbrook (S)	Employed (full-time)	F	821
Hinchinbrook (S)	Employed (full-time)	M	1817
Hinchinbrook (S)	Employed (part-time)	F	1086
Hinchinbrook (S)	Employed (part-time)	M	340
Hope Vale (S)		M	5
Hope Vale (S)	Employed (away from work)	F	5
Hope Vale (S)	Employed (away from work)	M	7
Hope Vale (S)	Employed (full-time)	F	70
Hope Vale (S)	Employed (full-time)	M	156
Hope Vale (S)	Employed (part-time)	F	43
Hope Vale (S)	Employed (part-time)	M	37
Ipswich (C)		F	497
Ipswich (C)		M	645
Ipswich (C)	Employed (away from work)	F	1284
Ipswich (C)	Employed (away from work)	M	786
Ipswich (C)	Employed (full-time)	F	14930
Ipswich (C)	Employed (full-time)	M	23506
Ipswich (C)	Employed (part-time)	F	14265
Ipswich (C)	Employed (part-time)	M	6391
Isaac (R)		F	133
Isaac (R)		M	306
Isaac (R)	Employed (away from work)	F	327
Isaac (R)	Employed (away from work)	M	893
Isaac (R)	Employed (full-time)	F	2982
Isaac (R)	Employed (full-time)	M	12750
Isaac (R)	Employed (part-time)	F	1690
Isaac (R)	Employed (part-time)	M	958
Kowanyama (S)		F	3
Kowanyama (S)		M	5
Kowanyama (S)	Employed (away from work)	M	4
Kowanyama (S)	Employed (full-time)	F	59
Kowanyama (S)	Employed (full-time)	M	105
Kowanyama (S)	Employed (part-time)	F	59
Kowanyama (S)	Employed (part-time)	M	28
Livingstone (S)		F	90
Livingstone (S)		M	94
Livingstone (S)	Employed (away from work)	F	177
Livingstone (S)	Employed (away from work)	M	130
Livingstone (S)	Employed (full-time)	F	2066
Livingstone (S)	Employed (full-time)	M	2996
Livingstone (S)	Employed (part-time)	F	2412
Livingstone (S)	Employed (part-time)	M	919
Lockhart River (S)		F	10
Lockhart River (S)		M	11
Lockhart River (S)	Employed (away from work)	F	3
Lockhart River (S)	Employed (full-time)	F	41
Lockhart River (S)	Employed (full-time)	M	62
Lockhart River (S)	Employed (part-time)	F	36
Lockhart River (S)	Employed (part-time)	M	23
Lockyer Valley (R)		F	114
Lockyer Valley (R)		M	156
