LGA_NAME16	Age	workers
Toowoomba (R)	70-74	858
Toowoomba (R)	75+	482
Torres (S)	15-19	57
Torres (S)	20-24	131
Torres (S)	25-29	183
Torres (S)	30-34	198
Torres (S)	35-39	159
Torres (S)	40-44	179
Torres (S)	45-49	142
Torres (S)	50-54	156
Torres (S)	55-59	152
Torres (S)	60-64	86
Torres (S)	65-69	38
Torres (S)	70-74	15
Torres (S)	75+	10
Torres Strait Island (R)	15-19	22
Torres Strait Island (R)	20-24	100
Torres Strait Island (R)	25-29	119
Torres Strait Island (R)	30-34	113
Torres Strait Island (R)	35-39	143
Torres Strait Island (R)	40-44	112
Torres Strait Island (R)	45-49	109
Torres Strait Island (R)	50-54	105
Torres Strait Island (R)	55-59	99
Torres Strait Island (R)	60-64	50
Torres Strait Island (R)	65-69	16
Torres Strait Island (R)	70-74	3
Townsville (C)	15-19	5498
Townsville (C)	20-24	9931
Townsville (C)	25-29	9560
Townsville (C)	30-34	9116
Townsville (C)	35-39	8191
Townsville (C)	40-44	8856
Townsville (C)	45-49	8764
Townsville (C)	50-54	8055
Townsville (C)	55-59	6923
Townsville (C)	60-64	4302
Townsville (C)	65-69	1745
Townsville (C)	70-74	528
Townsville (C)	75+	245
Weipa (T)	15-19	68
Weipa (T)	20-24	95
Weipa (T)	25-29	148
Weipa (T)	30-34	162
Weipa (T)	35-39	112
Weipa (T)	40-44	136
Weipa (T)	45-49	135
Weipa (T)	50-54	144
Weipa (T)	55-59	76
Weipa (T)	60-64	57
Weipa (T)	65-69	21
Weipa (T)	75+	3
Western Downs (R)	15-19	945
Western Downs (R)	20-24	1315
Western Downs (R)	25-29	1607
Western Downs (R)	30-34	1684
Western Downs (R)	35-39	1630
Western Downs (R)	40-44	1821
Western Downs (R)	45-49	1816
Western Downs (R)	50-54	1722
Western Downs (R)	55-59	1509
Western Downs (R)	60-64	1086
Western Downs (R)	65-69	593
Western Downs (R)	70-74	290
Western Downs (R)	75+	213
Whitsunday (R)	15-19	824
Whitsunday (R)	20-24	1510
Whitsunday (R)	25-29	1785
Whitsunday (R)	30-34	1632
Whitsunday (R)	35-39	1473
Whitsunday (R)	40-44	1594
Whitsunday (R)	45-49	1578
Whitsunday (R)	50-54	1561
Whitsunday (R)	55-59	1441
Whitsunday (R)	60-64	1005
Whitsunday (R)	65-69	441
Whitsunday (R)	70-74	160
Whitsunday (R)	75+	108
Winton (S)	15-19	28
Winton (S)	20-24	47
Winton (S)	25-29	48
Winton (S)	30-34	53
Winton (S)	35-39	46
Winton (S)	40-44	46
Winton (S)	45-49	72
Winton (S)	50-54	59
Winton (S)	55-59	71
Winton (S)	60-64	57
Winton (S)	65-69	30
Winton (S)	70-74	13
Winton (S)	75+	9
Woorabinda (S)	15-19	11
Woorabinda (S)	20-24	28
Woorabinda (S)	25-29	21
Woorabinda (S)	30-34	26
Woorabinda (S)	35-39	25
Woorabinda (S)	40-44	29
Woorabinda (S)	45-49	29
Woorabinda (S)	50-54	32
Woorabinda (S)	55-59	29
Woorabinda (S)	60-64	22
Woorabinda (S)	65-69	5
Woorabinda (S)	70-74	4
Wujal Wujal (S)	15-19	4
Wujal Wujal (S)	20-24	10
Wujal Wujal (S)	25-29	7
Wujal Wujal (S)	30-34	10
Wujal Wujal (S)	35-39	9
Wujal Wujal (S)	40-44	10
Wujal Wujal (S)	45-49	17
Wujal Wujal (S)	50-54	17
Wujal Wujal (S)	55-59	16
Wujal Wujal (S)	60-64	7
Wujal Wujal (S)	65-69	4
Wujal Wujal (S)	70-74	3
Yarrabah (S)	15-19	6
Yarrabah (S)	20-24	48
Yarrabah (S)	25-29	51
Yarrabah (S)	30-34	50
Yarrabah (S)	35-39	51
Yarrabah (S)	40-44	53
Yarrabah (S)	45-49	59
Yarrabah (S)	50-54	58
Yarrabah (S)	55-59	43
Yarrabah (S)	60-64	20
Yarrabah (S)	65-69	6
No usual address (Qld)	15-19	4033
No usual address (Qld)	20-24	9101
No usual address (Qld)	25-29	10550
No usual address (Qld)	30-34	10739
No usual address (Qld)	35-39	10166
No usual address (Qld)	40-44	11585
No usual address (Qld)	45-49	11524
No usual address (Qld)	50-54	10824
No usual address (Qld)	55-59	9359
No usual address (Qld)	60-64	6738
No usual address (Qld)	65-69	2889
No usual address (Qld)	70-74	924
No usual address (Qld)	75+	410
Migratory - Offshore - Shipping (Qld)	15-19	3
Migratory - Offshore - Shipping (Qld)	20-24	16
Migratory - Offshore - Shipping (Qld)	25-29	19
Migratory - Offshore - Shipping (Qld)	30-34	20
Migratory - Offshore - Shipping (Qld)	35-39	17
Migratory - Offshore - Shipping (Qld)	40-44	34
Migratory - Offshore - Shipping (Qld)	45-49	24
Migratory - Offshore - Shipping (Qld)	50-54	23
Migratory - Offshore - Shipping (Qld)	55-59	22
Migratory - Offshore - Shipping (Qld)	60-64	14
Migratory - Offshore - Shipping (Qld)	65-69	3
Migratory - Offshore - Shipping (Qld)	70-74	4
Adelaide (C)	15-19	2839
Adelaide (C)	20-24	10528
Adelaide (C)	25-29	14386
Adelaide (C)	30-34	15769
Adelaide (C)	35-39	14733
Adelaide (C)	40-44	13422
Adelaide (C)	45-49	13216
Adelaide (C)	50-54	12113
Adelaide (C)	55-59	10433
Adelaide (C)	60-64	6590
Adelaide (C)	65-69	2540
Adelaide (C)	70-74	718
Adelaide (C)	75+	320
Adelaide Hills (DC)	15-19	663
Adelaide Hills (DC)	20-24	980
Adelaide Hills (DC)	25-29	715
Adelaide Hills (DC)	30-34	770
Adelaide Hills (DC)	35-39	802
Adelaide Hills (DC)	40-44	989
Adelaide Hills (DC)	45-49	1127
Adelaide Hills (DC)	50-54	1076
Adelaide Hills (DC)	55-59	1051
Adelaide Hills (DC)	60-64	830
Adelaide Hills (DC)	65-69	493
Adelaide Hills (DC)	70-74	232
Adelaide Hills (DC)	75+	106
Alexandrina (DC)	15-19	385
Alexandrina (DC)	20-24	480
Alexandrina (DC)	25-29	457
Alexandrina (DC)	30-34	499
Alexandrina (DC)	35-39	550
Alexandrina (DC)	40-44	683
Alexandrina (DC)	45-49	710
Alexandrina (DC)	50-54	800
Alexandrina (DC)	55-59	777
Alexandrina (DC)	60-64	621
Alexandrina (DC)	65-69	333
Alexandrina (DC)	70-74	137
Alexandrina (DC)	75+	101
Anangu Pitjantjatjara (AC)	15-19	11
Anangu Pitjantjatjara (AC)	20-24	68
Anangu Pitjantjatjara (AC)	25-29	76
Anangu Pitjantjatjara (AC)	30-34	58
Anangu Pitjantjatjara (AC)	35-39	69
Anangu Pitjantjatjara (AC)	40-44	47
Anangu Pitjantjatjara (AC)	45-49	73
Anangu Pitjantjatjara (AC)	50-54	56
Anangu Pitjantjatjara (AC)	55-59	70
Anangu Pitjantjatjara (AC)	60-64	53
Anangu Pitjantjatjara (AC)	65-69	18
Anangu Pitjantjatjara (AC)	70-74	11
Anangu Pitjantjatjara (AC)	75+	9
Barossa (DC)	15-19	603
Barossa (DC)	20-24	813
Barossa (DC)	25-29	776
Barossa (DC)	30-34	914
Barossa (DC)	35-39	901
Barossa (DC)	40-44	1156
Barossa (DC)	45-49	1249
Barossa (DC)	50-54	1216
Barossa (DC)	55-59	1100
Barossa (DC)	60-64	798
Barossa (DC)	65-69	374
Barossa (DC)	70-74	129
Barossa (DC)	75+	82
Barunga West (DC)	15-19	27
Barunga West (DC)	20-24	27
Barunga West (DC)	25-29	52
Barunga West (DC)	30-34	48
Barunga West (DC)	35-39	44
Barunga West (DC)	40-44	82
Barunga West (DC)	45-49	93
Barunga West (DC)	50-54	98
Barunga West (DC)	55-59	108
Barunga West (DC)	60-64	69
Barunga West (DC)	65-69	47
Barunga West (DC)	70-74	12
Barunga West (DC)	75+	15
Berri and Barmera (DC)	15-19	218
Berri and Barmera (DC)	20-24	341
Berri and Barmera (DC)	25-29	365
Berri and Barmera (DC)	30-34	395
Berri and Barmera (DC)	35-39	416
Berri and Barmera (DC)	40-44	482
Berri and Barmera (DC)	45-49	542
Berri and Barmera (DC)	50-54	529
Berri and Barmera (DC)	55-59	538
Berri and Barmera (DC)	60-64	422
Berri and Barmera (DC)	65-69	180
Berri and Barmera (DC)	70-74	59
Berri and Barmera (DC)	75+	35
Burnside (C)	15-19	806
Burnside (C)	20-24	1442
Burnside (C)	25-29	1701
Burnside (C)	30-34	1734
Burnside (C)	35-39	1671
Burnside (C)	40-44	1827
Burnside (C)	45-49	1862
Burnside (C)	50-54	1789
Burnside (C)	55-59	1683
Burnside (C)	60-64	1170
Burnside (C)	65-69	674
Burnside (C)	70-74	270
Burnside (C)	75+	139
Campbelltown (C) (SA)	15-19	579
Campbelltown (C) (SA)	20-24	864
Campbelltown (C) (SA)	25-29	903
Campbelltown (C) (SA)	30-34	945
Campbelltown (C) (SA)	35-39	877
Campbelltown (C) (SA)	40-44	1012
Campbelltown (C) (SA)	45-49	1082
Campbelltown (C) (SA)	50-54	1087
Campbelltown (C) (SA)	55-59	913
Campbelltown (C) (SA)	60-64	714
Campbelltown (C) (SA)	65-69	324
Campbelltown (C) (SA)	70-74	113
Campbelltown (C) (SA)	75+	58
Ceduna (DC)	15-19	81
Ceduna (DC)	20-24	143
Ceduna (DC)	25-29	146
Ceduna (DC)	30-34	142
Ceduna (DC)	35-39	138
Ceduna (DC)	40-44	163
Ceduna (DC)	45-49	189
Ceduna (DC)	50-54	164
Ceduna (DC)	55-59	170
Ceduna (DC)	60-64	131
Ceduna (DC)	65-69	70
Ceduna (DC)	70-74	24
Ceduna (DC)	75+	9
Charles Sturt (C)	15-19	2190
Charles Sturt (C)	20-24	4028
Charles Sturt (C)	25-29	4133
Charles Sturt (C)	30-34	4279
Charles Sturt (C)	35-39	3905
Charles Sturt (C)	40-44	4055
Charles Sturt (C)	45-49	4632
Charles Sturt (C)	50-54	4348
Charles Sturt (C)	55-59	3879
Charles Sturt (C)	60-64	2720
Charles Sturt (C)	65-69	1127
Charles Sturt (C)	70-74	400
Charles Sturt (C)	75+	183
Clare and Gilbert Valleys (DC)	15-19	210
Clare and Gilbert Valleys (DC)	20-24	307
Clare and Gilbert Valleys (DC)	25-29	356
Clare and Gilbert Valleys (DC)	30-34	350
Clare and Gilbert Valleys (DC)	35-39	308
Clare and Gilbert Valleys (DC)	40-44	392
Clare and Gilbert Valleys (DC)	45-49	477
Clare and Gilbert Valleys (DC)	50-54	477
Clare and Gilbert Valleys (DC)	55-59	478
Clare and Gilbert Valleys (DC)	60-64	403
Clare and Gilbert Valleys (DC)	65-69	190
Clare and Gilbert Valleys (DC)	70-74	98
Clare and Gilbert Valleys (DC)	75+	61
Cleve (DC)	15-19	29
Cleve (DC)	20-24	53
Cleve (DC)	25-29	66
Cleve (DC)	30-34	69
Cleve (DC)	35-39	66
Cleve (DC)	40-44	92
Cleve (DC)	45-49	100
Cleve (DC)	50-54	102
Cleve (DC)	55-59	110
Cleve (DC)	60-64	85
Cleve (DC)	65-69	28
Cleve (DC)	70-74	25
Cleve (DC)	75+	12
Coober Pedy (DC)	15-19	9
Coober Pedy (DC)	20-24	39
Coober Pedy (DC)	25-29	88
Coober Pedy (DC)	30-34	76
Coober Pedy (DC)	35-39	67
Coober Pedy (DC)	40-44	68
Coober Pedy (DC)	45-49	59
Coober Pedy (DC)	50-54	77
Coober Pedy (DC)	55-59	61
Coober Pedy (DC)	60-64	64
Coober Pedy (DC)	65-69	28
Coober Pedy (DC)	70-74	20
Coober Pedy (DC)	75+	12
Copper Coast (DC)	15-19	341
Copper Coast (DC)	20-24	364
Copper Coast (DC)	25-29	357
Copper Coast (DC)	30-34	365
Copper Coast (DC)	35-39	371
Copper Coast (DC)	40-44	402
Copper Coast (DC)	45-49	521
Copper Coast (DC)	50-54	535
Copper Coast (DC)	55-59	485
Copper Coast (DC)	60-64	386
Copper Coast (DC)	65-69	142
Copper Coast (DC)	70-74	47
Copper Coast (DC)	75+	56
Elliston (DC)	15-19	13
Elliston (DC)	20-24	25
Elliston (DC)	25-29	24
Elliston (DC)	30-34	33
Elliston (DC)	35-39	44
Elliston (DC)	40-44	34
Elliston (DC)	45-49	46
Elliston (DC)	50-54	68
Elliston (DC)	55-59	78
Elliston (DC)	60-64	61
Elliston (DC)	65-69	17
Elliston (DC)	70-74	12
Elliston (DC)	75+	3
Flinders Ranges (DC)	15-19	27
Flinders Ranges (DC)	20-24	31
Flinders Ranges (DC)	25-29	44
Flinders Ranges (DC)	30-34	28
Flinders Ranges (DC)	35-39	42
Flinders Ranges (DC)	40-44	40
Flinders Ranges (DC)	45-49	56
Flinders Ranges (DC)	50-54	59
Flinders Ranges (DC)	55-59	76
Flinders Ranges (DC)	60-64	55
Flinders Ranges (DC)	65-69	26
Flinders Ranges (DC)	70-74	12
Flinders Ranges (DC)	75+	5
Franklin Harbour (DC)	15-19	19
Franklin Harbour (DC)	20-24	29
Franklin Harbour (DC)	25-29	42
Franklin Harbour (DC)	30-34	30
Franklin Harbour (DC)	35-39	41
Franklin Harbour (DC)	40-44	43
Franklin Harbour (DC)	45-49	54
Franklin Harbour (DC)	50-54	56
Franklin Harbour (DC)	55-59	50
Franklin Harbour (DC)	60-64	38
Franklin Harbour (DC)	65-69	30
Franklin Harbour (DC)	70-74	10
Franklin Harbour (DC)	75+	8
Gawler (T)	15-19	614
Gawler (T)	20-24	680
Gawler (T)	25-29	573
Gawler (T)	30-34	648
Gawler (T)	35-39	561
Gawler (T)	40-44	639
Gawler (T)	45-49	729
Gawler (T)	50-54	704
Gawler (T)	55-59	683
Gawler (T)	60-64	408
Gawler (T)	65-69	166
Gawler (T)	70-74	56
Gawler (T)	75+	27
Goyder (DC)	15-19	49
Goyder (DC)	20-24	78
Goyder (DC)	25-29	107
Goyder (DC)	30-34	82
Goyder (DC)	35-39	112
Goyder (DC)	40-44	133
Goyder (DC)	45-49	135
Goyder (DC)	50-54	174
Goyder (DC)	55-59	188
Goyder (DC)	60-64	141
Goyder (DC)	65-69	59
Goyder (DC)	70-74	30
Goyder (DC)	75+	40
Grant (DC)	15-19	88
Grant (DC)	20-24	134
Grant (DC)	25-29	168
Grant (DC)	30-34	198
Grant (DC)	35-39	185
Grant (DC)	40-44	253
Grant (DC)	45-49	277
Grant (DC)	50-54	304
Grant (DC)	55-59	222
Grant (DC)	60-64	192
Grant (DC)	65-69	120
Grant (DC)	70-74	61
Grant (DC)	75+	62
Holdfast Bay (C)	15-19	1054
Holdfast Bay (C)	20-24	1509
Holdfast Bay (C)	25-29	1250
Holdfast Bay (C)	30-34	1187
Holdfast Bay (C)	35-39	1027
Holdfast Bay (C)	40-44	1127
Holdfast Bay (C)	45-49	1214
Holdfast Bay (C)	50-54	1185
Holdfast Bay (C)	55-59	1206
Holdfast Bay (C)	60-64	893
Holdfast Bay (C)	65-69	445
Holdfast Bay (C)	70-74	147
Holdfast Bay (C)	75+	94
Kangaroo Island (DC)	15-19	100
Kangaroo Island (DC)	20-24	116
Kangaroo Island (DC)	25-29	126
Kangaroo Island (DC)	30-34	184
Kangaroo Island (DC)	35-39	156
Kangaroo Island (DC)	40-44	186
Kangaroo Island (DC)	45-49	240
Kangaroo Island (DC)	50-54	244
Kangaroo Island (DC)	55-59	264
Kangaroo Island (DC)	60-64	203
Kangaroo Island (DC)	65-69	135
Kangaroo Island (DC)	70-74	55
Kangaroo Island (DC)	75+	35
Karoonda East Murray (DC)	15-19	11
Karoonda East Murray (DC)	20-24	23
Karoonda East Murray (DC)	25-29	32
Karoonda East Murray (DC)	30-34	19
Karoonda East Murray (DC)	35-39	41
Karoonda East Murray (DC)	40-44	44
Karoonda East Murray (DC)	45-49	66
Karoonda East Murray (DC)	50-54	65
Karoonda East Murray (DC)	55-59	62
Karoonda East Murray (DC)	60-64	38
Karoonda East Murray (DC)	65-69	38
Karoonda East Murray (DC)	70-74	11
Karoonda East Murray (DC)	75+	10
Kimba (DC)	15-19	24
Kimba (DC)	20-24	34
Kimba (DC)	25-29	52
Kimba (DC)	30-34	62
Kimba (DC)	35-39	48
Kimba (DC)	40-44	45
Kimba (DC)	45-49	62
Kimba (DC)	50-54	69
Kimba (DC)	55-59	61
Kimba (DC)	60-64	37
Kimba (DC)	65-69	30
Kimba (DC)	70-74	12
Kimba (DC)	75+	9
Kingston (DC) (SA)	15-19	45
Kingston (DC) (SA)	20-24	54
Kingston (DC) (SA)	25-29	73
Kingston (DC) (SA)	30-34	80
Kingston (DC) (SA)	35-39	63
Kingston (DC) (SA)	40-44	85
Kingston (DC) (SA)	45-49	72
Kingston (DC) (SA)	50-54	99
Kingston (DC) (SA)	55-59	104
Kingston (DC) (SA)	60-64	114
Kingston (DC) (SA)	65-69	63
Kingston (DC) (SA)	70-74	25
Kingston (DC) (SA)	75+	22
Light (RegC)	15-19	203
Light (RegC)	20-24	359
Light (RegC)	25-29	420
Light (RegC)	30-34	511
Light (RegC)	35-39	464
Light (RegC)	40-44	562
Light (RegC)	45-49	538
Light (RegC)	50-54	555
Light (RegC)	55-59	534
Light (RegC)	60-64	361
Light (RegC)	65-69	186
Light (RegC)	70-74	92
Light (RegC)	75+	56
Lower Eyre Peninsula (DC)	15-19	77
Lower Eyre Peninsula (DC)	20-24	71
Lower Eyre Peninsula (DC)	25-29	104
Lower Eyre Peninsula (DC)	30-34	138
Lower Eyre Peninsula (DC)	35-39	154
Lower Eyre Peninsula (DC)	40-44	174
Lower Eyre Peninsula (DC)	45-49	201
Lower Eyre Peninsula (DC)	50-54	155
Lower Eyre Peninsula (DC)	55-59	172
Lower Eyre Peninsula (DC)	60-64	120
Lower Eyre Peninsula (DC)	65-69	57
Lower Eyre Peninsula (DC)	70-74	38
Lower Eyre Peninsula (DC)	75+	25
Loxton Waikerie (DC)	15-19	278
Loxton Waikerie (DC)	20-24	335
Loxton Waikerie (DC)	25-29	368
Loxton Waikerie (DC)	30-34	364
Loxton Waikerie (DC)	35-39	332
Loxton Waikerie (DC)	40-44	485
Loxton Waikerie (DC)	45-49	532
Loxton Waikerie (DC)	50-54	523
Loxton Waikerie (DC)	55-59	515
Loxton Waikerie (DC)	60-64	420
Loxton Waikerie (DC)	65-69	195
Loxton Waikerie (DC)	70-74	84
Loxton Waikerie (DC)	75+	66
Mallala (DC)	15-19	59
Mallala (DC)	20-24	195
Mallala (DC)	25-29	188
Mallala (DC)	30-34	215
Mallala (DC)	35-39	210
Mallala (DC)	40-44	239
Mallala (DC)	45-49	224
Mallala (DC)	50-54	215
Mallala (DC)	55-59	154
Mallala (DC)	60-64	126
Mallala (DC)	65-69	81
Mallala (DC)	70-74	42
Mallala (DC)	75+	21
Marion (C)	15-19	1353
Marion (C)	20-24	2280
Marion (C)	25-29	2157
Marion (C)	30-34	2318
Marion (C)	35-39	2127
Marion (C)	40-44	2203
Marion (C)	45-49	2378
Marion (C)	50-54	2243
Marion (C)	55-59	2101
Marion (C)	60-64	1521
Marion (C)	65-69	692
Marion (C)	70-74	228
Marion (C)	75+	99
Mid Murray (DC)	15-19	125
Mid Murray (DC)	20-24	158
Mid Murray (DC)	25-29	151
Mid Murray (DC)	30-34	148
Mid Murray (DC)	35-39	166
Mid Murray (DC)	40-44	219
Mid Murray (DC)	45-49	292
Mid Murray (DC)	50-54	318
Mid Murray (DC)	55-59	321
Mid Murray (DC)	60-64	243
Mid Murray (DC)	65-69	118
Mid Murray (DC)	70-74	57
Mid Murray (DC)	75+	45
Mitcham (C)	15-19	1279
Mitcham (C)	20-24	2412
Mitcham (C)	25-29	2614
Mitcham (C)	30-34	2912
Mitcham (C)	35-39	2723
Mitcham (C)	40-44	3035
Mitcham (C)	45-49	3138
Mitcham (C)	50-54	3139
Mitcham (C)	55-59	2918
Mitcham (C)	60-64	1975
Mitcham (C)	65-69	874
Mitcham (C)	70-74	300
Mitcham (C)	75+	165
Mount Barker (DC)	15-19	916
Mount Barker (DC)	20-24	1052
Mount Barker (DC)	25-29	912
Mount Barker (DC)	30-34	908
Mount Barker (DC)	35-39	910
Mount Barker (DC)	40-44	1092
Mount Barker (DC)	45-49	1218
Mount Barker (DC)	50-54	1185
Mount Barker (DC)	55-59	998
Mount Barker (DC)	60-64	705
Mount Barker (DC)	65-69	347
Mount Barker (DC)	70-74	148
Mount Barker (DC)	75+	84
Mount Gambier (C)	15-19	970
Mount Gambier (C)	20-24	1142
Mount Gambier (C)	25-29	1151
Mount Gambier (C)	30-34	1177
Mount Gambier (C)	35-39	1197
Mount Gambier (C)	40-44	1293
Mount Gambier (C)	45-49	1541
Mount Gambier (C)	50-54	1417
Mount Gambier (C)	55-59	1301
Mount Gambier (C)	60-64	956
Mount Gambier (C)	65-69	340
Mount Gambier (C)	70-74	101
Mount Gambier (C)	75+	60
Mount Remarkable (DC)	15-19	38
Mount Remarkable (DC)	20-24	49
Mount Remarkable (DC)	25-29	38
Mount Remarkable (DC)	30-34	53
Mount Remarkable (DC)	35-39	63
Mount Remarkable (DC)	40-44	52
Mount Remarkable (DC)	45-49	94
Mount Remarkable (DC)	50-54	116
Mount Remarkable (DC)	55-59	126
Mount Remarkable (DC)	60-64	104
Mount Remarkable (DC)	65-69	52
Mount Remarkable (DC)	70-74	34
Mount Remarkable (DC)	75+	25
Murray Bridge (RC)	15-19	533
Murray Bridge (RC)	20-24	918
Murray Bridge (RC)	25-29	939
Murray Bridge (RC)	30-34	900
Murray Bridge (RC)	35-39	779
Murray Bridge (RC)	40-44	939
Murray Bridge (RC)	45-49	1078
Murray Bridge (RC)	50-54	977
Murray Bridge (RC)	55-59	939
Murray Bridge (RC)	60-64	576
Murray Bridge (RC)	65-69	249
Murray Bridge (RC)	70-74	97
Murray Bridge (RC)	75+	71
Naracoorte and Lucindale (DC)	15-19	246
Naracoorte and Lucindale (DC)	20-24	313
Naracoorte and Lucindale (DC)	25-29	339
Naracoorte and Lucindale (DC)	30-34	354
Naracoorte and Lucindale (DC)	35-39	401
Naracoorte and Lucindale (DC)	40-44	408
Naracoorte and Lucindale (DC)	45-49	435
Naracoorte and Lucindale (DC)	50-54	450
Naracoorte and Lucindale (DC)	55-59	439
Naracoorte and Lucindale (DC)	60-64	323
Naracoorte and Lucindale (DC)	65-69	197
Naracoorte and Lucindale (DC)	70-74	84
Naracoorte and Lucindale (DC)	75+	72
Northern Areas (DC)	15-19	68
Northern Areas (DC)	20-24	125
Northern Areas (DC)	25-29	116
Northern Areas (DC)	30-34	130
Northern Areas (DC)	35-39	157
Northern Areas (DC)	40-44	157
Northern Areas (DC)	45-49	160
Northern Areas (DC)	50-54	213
Northern Areas (DC)	55-59	229
Northern Areas (DC)	60-64	165
Northern Areas (DC)	65-69	106
Northern Areas (DC)	70-74	54
Northern Areas (DC)	75+	37
Norwood Payneham St Peters (C)	15-19	1257
Norwood Payneham St Peters (C)	20-24	2498
Norwood Payneham St Peters (C)	25-29	2599
Norwood Payneham St Peters (C)	30-34	2487
Norwood Payneham St Peters (C)	35-39	2277
Norwood Payneham St Peters (C)	40-44	2439
Norwood Payneham St Peters (C)	45-49	2539
Norwood Payneham St Peters (C)	50-54	2333
Norwood Payneham St Peters (C)	55-59	2104
Norwood Payneham St Peters (C)	60-64	1462
Norwood Payneham St Peters (C)	65-69	664
Norwood Payneham St Peters (C)	70-74	257
Norwood Payneham St Peters (C)	75+	136
Onkaparinga (C)	15-19	3018
Onkaparinga (C)	20-24	3659
Onkaparinga (C)	25-29	3444
Onkaparinga (C)	30-34	3661
Onkaparinga (C)	35-39	3641
Onkaparinga (C)	40-44	3983
Onkaparinga (C)	45-49	4261
Onkaparinga (C)	50-54	4050
Onkaparinga (C)	55-59	3627
Onkaparinga (C)	60-64	2672
Onkaparinga (C)	65-69	1176
Onkaparinga (C)	70-74	377
Onkaparinga (C)	75+	157
Orroroo/Carrieton (DC)	15-19	10
Orroroo/Carrieton (DC)	20-24	14
Orroroo/Carrieton (DC)	25-29	30
Orroroo/Carrieton (DC)	30-34	28
Orroroo/Carrieton (DC)	35-39	26
Orroroo/Carrieton (DC)	40-44	41
Orroroo/Carrieton (DC)	45-49	33
Orroroo/Carrieton (DC)	50-54	41
Orroroo/Carrieton (DC)	55-59	46
Orroroo/Carrieton (DC)	60-64	59
Orroroo/Carrieton (DC)	65-69	25
Orroroo/Carrieton (DC)	70-74	16
Orroroo/Carrieton (DC)	75+	13
Peterborough (DC)	15-19	23
Peterborough (DC)	20-24	36
Peterborough (DC)	25-29	29
Peterborough (DC)	30-34	35
Peterborough (DC)	35-39	25
Peterborough (DC)	40-44	38
Peterborough (DC)	45-49	49
Peterborough (DC)	50-54	40
Peterborough (DC)	55-59	92
Peterborough (DC)	60-64	62
Peterborough (DC)	65-69	25
Peterborough (DC)	70-74	5
Peterborough (DC)	75+	5
Playford (C)	15-19	1526
Playford (C)	20-24	2389
Playford (C)	25-29	2740
Playford (C)	30-34	2788
Playford (C)	35-39	2498
Playford (C)	40-44	2548
Playford (C)	45-49	2756
Playford (C)	50-54	2663
Playford (C)	55-59	2265
Playford (C)	60-64	1386
Playford (C)	65-69	468
Playford (C)	70-74	160
Playford (C)	75+	63
Port Adelaide Enfield (C)	15-19	2578
Port Adelaide Enfield (C)	20-24	5418
Port Adelaide Enfield (C)	25-29	6488
Port Adelaide Enfield (C)	30-34	7239
Port Adelaide Enfield (C)	35-39	6648
Port Adelaide Enfield (C)	40-44	7250
Port Adelaide Enfield (C)	45-49	7487
Port Adelaide Enfield (C)	50-54	7331
Port Adelaide Enfield (C)	55-59	6485
Port Adelaide Enfield (C)	60-64	4019
Port Adelaide Enfield (C)	65-69	1554
Port Adelaide Enfield (C)	70-74	440
Port Adelaide Enfield (C)	75+	219
Port Augusta (C)	15-19	321
Port Augusta (C)	20-24	544
Port Augusta (C)	25-29	550
Port Augusta (C)	30-34	477
Port Augusta (C)	35-39	444
Port Augusta (C)	40-44	512
Port Augusta (C)	45-49	614
Port Augusta (C)	50-54	663
Port Augusta (C)	55-59	606
Port Augusta (C)	60-64	404
Port Augusta (C)	65-69	190
Port Augusta (C)	70-74	47
Port Augusta (C)	75+	9
Port Lincoln (C)	15-19	486
Port Lincoln (C)	20-24	563
Port Lincoln (C)	25-29	637
Port Lincoln (C)	30-34	719
Port Lincoln (C)	35-39	620
Port Lincoln (C)	40-44	722
Port Lincoln (C)	45-49	767
Port Lincoln (C)	50-54	729
Port Lincoln (C)	55-59	676
Port Lincoln (C)	60-64	451
Port Lincoln (C)	65-69	157
Port Lincoln (C)	70-74	61
Port Lincoln (C)	75+	33
Port Pirie City and Dists (M)	15-19	434
Port Pirie City and Dists (M)	20-24	589
Port Pirie City and Dists (M)	25-29	629
Port Pirie City and Dists (M)	30-34	612
Port Pirie City and Dists (M)	35-39	588
Port Pirie City and Dists (M)	40-44	691
Port Pirie City and Dists (M)	45-49	775
Port Pirie City and Dists (M)	50-54	838
Port Pirie City and Dists (M)	55-59	761
Port Pirie City and Dists (M)	60-64	489
Port Pirie City and Dists (M)	65-69	173
Port Pirie City and Dists (M)	70-74	58
Port Pirie City and Dists (M)	75+	24
Prospect (C)	15-19	375
Prospect (C)	20-24	647
Prospect (C)	25-29	643
Prospect (C)	30-34	625
Prospect (C)	35-39	565
Prospect (C)	40-44	568
Prospect (C)	45-49	567
Prospect (C)	50-54	588
Prospect (C)	55-59	511
Prospect (C)	60-64	398
Prospect (C)	65-69	167
Prospect (C)	70-74	60
Prospect (C)	75+	27
Renmark Paringa (DC)	15-19	247
Renmark Paringa (DC)	20-24	360
Renmark Paringa (DC)	25-29	375
Renmark Paringa (DC)	30-34	333
Renmark Paringa (DC)	35-39	312
Renmark Paringa (DC)	40-44	376
Renmark Paringa (DC)	45-49	462
Renmark Paringa (DC)	50-54	404
Renmark Paringa (DC)	55-59	410
Renmark Paringa (DC)	60-64	323
Renmark Paringa (DC)	65-69	130
Renmark Paringa (DC)	70-74	42
Renmark Paringa (DC)	75+	47
