STE_NAME16	IndustryOfEmployment	Occupation	workers
Northern Territory	Public administration and safety	Professionals	4066
Northern Territory	Public administration and safety	Sales workers	75
Northern Territory	Public administration and safety	Technicians and trades workers	1835
Northern Territory	Rental hiring and real estate services		24
Northern Territory	Rental hiring and real estate services	Clerical and administrative workers	309
Northern Territory	Rental hiring and real estate services	Community and personal service workers	38
Northern Territory	Rental hiring and real estate services	Labourers	94
Northern Territory	Rental hiring and real estate services	Machinery operators and drivers	32
Northern Territory	Rental hiring and real estate services	Managers	227
Northern Territory	Rental hiring and real estate services	Professionals	110
Northern Territory	Rental hiring and real estate services	Sales workers	564
Northern Territory	Rental hiring and real estate services	Technicians and trades workers	117
Northern Territory	Retail trade		65
Northern Territory	Retail trade	Clerical and administrative workers	454
Northern Territory	Retail trade	Community and personal service workers	92
Northern Territory	Retail trade	Labourers	715
Northern Territory	Retail trade	Machinery operators and drivers	289
Northern Territory	Retail trade	Managers	1266
Northern Territory	Retail trade	Professionals	247
Northern Territory	Retail trade	Sales workers	3944
Northern Territory	Retail trade	Technicians and trades workers	515
Northern Territory	Transport postal and warehousing		55
Northern Territory	Transport postal and warehousing	Clerical and administrative workers	782
Northern Territory	Transport postal and warehousing	Community and personal service workers	270
Northern Territory	Transport postal and warehousing	Labourers	226
Northern Territory	Transport postal and warehousing	Machinery operators and drivers	1765
Northern Territory	Transport postal and warehousing	Managers	526
Northern Territory	Transport postal and warehousing	Professionals	541
Northern Territory	Transport postal and warehousing	Sales workers	201
Northern Territory	Transport postal and warehousing	Technicians and trades workers	354
Northern Territory	Wholesale trade		21
Northern Territory	Wholesale trade	Clerical and administrative workers	289
Northern Territory	Wholesale trade	Community and personal service workers	3
Northern Territory	Wholesale trade	Labourers	111
Northern Territory	Wholesale trade	Machinery operators and drivers	319
Northern Territory	Wholesale trade	Managers	321
Northern Territory	Wholesale trade	Professionals	142
Northern Territory	Wholesale trade	Sales workers	337
Northern Territory	Wholesale trade	Technicians and trades workers	237
Australian Capital Territory		Clerical and administrative workers	775
Australian Capital Territory		Community and personal service workers	379
Australian Capital Territory		Labourers	501
Australian Capital Territory		Machinery operators and drivers	287
Australian Capital Territory		Managers	620
Australian Capital Territory		Professionals	917
Australian Capital Territory		Sales workers	330
Australian Capital Territory		Technicians and trades workers	729
Australian Capital Territory	Accommodation and food services		60
Australian Capital Territory	Accommodation and food services	Clerical and administrative workers	569
Australian Capital Territory	Accommodation and food services	Community and personal service workers	4890
Australian Capital Territory	Accommodation and food services	Labourers	2567
Australian Capital Territory	Accommodation and food services	Machinery operators and drivers	297
Australian Capital Territory	Accommodation and food services	Managers	2086
Australian Capital Territory	Accommodation and food services	Professionals	148
Australian Capital Territory	Accommodation and food services	Sales workers	1580
Australian Capital Territory	Accommodation and food services	Technicians and trades workers	1960
Australian Capital Territory	Administrative and support services		69
Australian Capital Territory	Administrative and support services	Clerical and administrative workers	747
Australian Capital Territory	Administrative and support services	Community and personal service workers	454
Australian Capital Territory	Administrative and support services	Labourers	2387
Australian Capital Territory	Administrative and support services	Machinery operators and drivers	72
Australian Capital Territory	Administrative and support services	Managers	539
Australian Capital Territory	Administrative and support services	Professionals	855
Australian Capital Territory	Administrative and support services	Sales workers	71
Australian Capital Territory	Administrative and support services	Technicians and trades workers	549
Australian Capital Territory	Agriculture forestry and fishing	Clerical and administrative workers	60
Australian Capital Territory	Agriculture forestry and fishing	Community and personal service workers	10
Australian Capital Territory	Agriculture forestry and fishing	Labourers	110
Australian Capital Territory	Agriculture forestry and fishing	Machinery operators and drivers	31
Australian Capital Territory	Agriculture forestry and fishing	Managers	141
Australian Capital Territory	Agriculture forestry and fishing	Professionals	78
Australian Capital Territory	Agriculture forestry and fishing	Sales workers	17
Australian Capital Territory	Agriculture forestry and fishing	Technicians and trades workers	85
Australian Capital Territory	Arts and recreation services		43
Australian Capital Territory	Arts and recreation services	Clerical and administrative workers	470
Australian Capital Territory	Arts and recreation services	Community and personal service workers	1228
Australian Capital Territory	Arts and recreation services	Labourers	137
Australian Capital Territory	Arts and recreation services	Machinery operators and drivers	17
Australian Capital Territory	Arts and recreation services	Managers	664
Australian Capital Territory	Arts and recreation services	Professionals	928
Australian Capital Territory	Arts and recreation services	Sales workers	176
Australian Capital Territory	Arts and recreation services	Technicians and trades workers	256
Australian Capital Territory	Construction		140
Australian Capital Territory	Construction	Clerical and administrative workers	1061
Australian Capital Territory	Construction	Community and personal service workers	20
Australian Capital Territory	Construction	Labourers	1776
Australian Capital Territory	Construction	Machinery operators and drivers	666
Australian Capital Territory	Construction	Managers	1877
Australian Capital Territory	Construction	Professionals	436
Australian Capital Territory	Construction	Sales workers	134
Australian Capital Territory	Construction	Technicians and trades workers	6726
Australian Capital Territory	Education and training		170
Australian Capital Territory	Education and training	Clerical and administrative workers	2596
Australian Capital Territory	Education and training	Community and personal service workers	2961
Australian Capital Territory	Education and training	Labourers	312
Australian Capital Territory	Education and training	Machinery operators and drivers	37
Australian Capital Territory	Education and training	Managers	1833
Australian Capital Territory	Education and training	Professionals	12609
Australian Capital Territory	Education and training	Sales workers	56
Australian Capital Territory	Education and training	Technicians and trades workers	766
Australian Capital Territory	Electricity gas water and waste services		30
Australian Capital Territory	Electricity gas water and waste services	Clerical and administrative workers	329
Australian Capital Territory	Electricity gas water and waste services	Community and personal service workers	3
Australian Capital Territory	Electricity gas water and waste services	Labourers	123
Australian Capital Territory	Electricity gas water and waste services	Machinery operators and drivers	198
Australian Capital Territory	Electricity gas water and waste services	Managers	228
Australian Capital Territory	Electricity gas water and waste services	Professionals	337
Australian Capital Territory	Electricity gas water and waste services	Sales workers	37
Australian Capital Territory	Electricity gas water and waste services	Technicians and trades workers	306
Australian Capital Territory	Financial and insurance services		84
Australian Capital Territory	Financial and insurance services	Clerical and administrative workers	1507
Australian Capital Territory	Financial and insurance services	Community and personal service workers	8
Australian Capital Territory	Financial and insurance services	Labourers	6
Australian Capital Territory	Financial and insurance services	Machinery operators and drivers	4
Australian Capital Territory	Financial and insurance services	Managers	510
Australian Capital Territory	Financial and insurance services	Professionals	1246
Australian Capital Territory	Financial and insurance services	Sales workers	82
Australian Capital Territory	Financial and insurance services	Technicians and trades workers	45
Australian Capital Territory	Health care and social assistance		160
Australian Capital Territory	Health care and social assistance	Clerical and administrative workers	3314
Australian Capital Territory	Health care and social assistance	Community and personal service workers	7414
Australian Capital Territory	Health care and social assistance	Labourers	480
Australian Capital Territory	Health care and social assistance	Machinery operators and drivers	144
Australian Capital Territory	Health care and social assistance	Managers	1436
Australian Capital Territory	Health care and social assistance	Professionals	9578
Australian Capital Territory	Health care and social assistance	Sales workers	126
Australian Capital Territory	Health care and social assistance	Technicians and trades workers	687
Australian Capital Territory	Information media and telecommunications		60
Australian Capital Territory	Information media and telecommunications	Clerical and administrative workers	660
Australian Capital Territory	Information media and telecommunications	Community and personal service workers	37
Australian Capital Territory	Information media and telecommunications	Labourers	61
Australian Capital Territory	Information media and telecommunications	Machinery operators and drivers	52
Australian Capital Territory	Information media and telecommunications	Managers	628
Australian Capital Territory	Information media and telecommunications	Professionals	1751
Australian Capital Territory	Information media and telecommunications	Sales workers	297
Australian Capital Territory	Information media and telecommunications	Technicians and trades workers	542
Australian Capital Territory	Manufacturing		32
Australian Capital Territory	Manufacturing	Clerical and administrative workers	292
Australian Capital Territory	Manufacturing	Community and personal service workers	106
Australian Capital Territory	Manufacturing	Labourers	296
Australian Capital Territory	Manufacturing	Machinery operators and drivers	219
Australian Capital Territory	Manufacturing	Managers	538
Australian Capital Territory	Manufacturing	Professionals	449
Australian Capital Territory	Manufacturing	Sales workers	400
Australian Capital Territory	Manufacturing	Technicians and trades workers	1115
Australian Capital Territory	Mining		3
Australian Capital Territory	Mining	Clerical and administrative workers	8
Australian Capital Territory	Mining	Labourers	3
Australian Capital Territory	Mining	Machinery operators and drivers	28
Australian Capital Territory	Mining	Managers	16
Australian Capital Territory	Mining	Professionals	14
Australian Capital Territory	Mining	Technicians and trades workers	8
Australian Capital Territory	Other services		55
Australian Capital Territory	Other services	Clerical and administrative workers	912
Australian Capital Territory	Other services	Community and personal service workers	1062
Australian Capital Territory	Other services	Labourers	447
Australian Capital Territory	Other services	Machinery operators and drivers	53
Australian Capital Territory	Other services	Managers	795
Australian Capital Territory	Other services	Professionals	902
Australian Capital Territory	Other services	Sales workers	118
Australian Capital Territory	Other services	Technicians and trades workers	2395
Australian Capital Territory	Professional scientific and technical services		367
Australian Capital Territory	Professional scientific and technical services	Clerical and administrative workers	3683
Australian Capital Territory	Professional scientific and technical services	Community and personal service workers	153
Australian Capital Territory	Professional scientific and technical services	Labourers	109
Australian Capital Territory	Professional scientific and technical services	Machinery operators and drivers	32
Australian Capital Territory	Professional scientific and technical services	Managers	3068
Australian Capital Territory	Professional scientific and technical services	Professionals	12346
Australian Capital Territory	Professional scientific and technical services	Sales workers	227
Australian Capital Territory	Professional scientific and technical services	Technicians and trades workers	1625
Australian Capital Territory	Public administration and safety		2808
Australian Capital Territory	Public administration and safety	Clerical and administrative workers	19851
Australian Capital Territory	Public administration and safety	Community and personal service workers	4633
Australian Capital Territory	Public administration and safety	Labourers	298
Australian Capital Territory	Public administration and safety	Machinery operators and drivers	293
Australian Capital Territory	Public administration and safety	Managers	17775
Australian Capital Territory	Public administration and safety	Professionals	24066
Australian Capital Territory	Public administration and safety	Sales workers	184
Australian Capital Territory	Public administration and safety	Technicians and trades workers	2052
Australian Capital Territory	Rental hiring and real estate services		47
Australian Capital Territory	Rental hiring and real estate services	Clerical and administrative workers	643
Australian Capital Territory	Rental hiring and real estate services	Community and personal service workers	50
Australian Capital Territory	Rental hiring and real estate services	Labourers	91
Australian Capital Territory	Rental hiring and real estate services	Machinery operators and drivers	19
Australian Capital Territory	Rental hiring and real estate services	Managers	487
Australian Capital Territory	Rental hiring and real estate services	Professionals	366
Australian Capital Territory	Rental hiring and real estate services	Sales workers	1158
Australian Capital Territory	Rental hiring and real estate services	Technicians and trades workers	76
Australian Capital Territory	Retail trade		86
Australian Capital Territory	Retail trade	Clerical and administrative workers	811
Australian Capital Territory	Retail trade	Community and personal service workers	196
Australian Capital Territory	Retail trade	Labourers	1180
Australian Capital Territory	Retail trade	Machinery operators and drivers	414
Australian Capital Territory	Retail trade	Managers	2499
Australian Capital Territory	Retail trade	Professionals	525
Australian Capital Territory	Retail trade	Sales workers	9492
Australian Capital Territory	Retail trade	Technicians and trades workers	906
Australian Capital Territory	Transport postal and warehousing		74
Australian Capital Territory	Transport postal and warehousing	Clerical and administrative workers	1259
Australian Capital Territory	Transport postal and warehousing	Community and personal service workers	168
Australian Capital Territory	Transport postal and warehousing	Labourers	122
Australian Capital Territory	Transport postal and warehousing	Machinery operators and drivers	2001
Australian Capital Territory	Transport postal and warehousing	Managers	527
Australian Capital Territory	Transport postal and warehousing	Professionals	599
Australian Capital Territory	Transport postal and warehousing	Sales workers	269
Australian Capital Territory	Transport postal and warehousing	Technicians and trades workers	241
Australian Capital Territory	Wholesale trade		27
Australian Capital Territory	Wholesale trade	Clerical and administrative workers	294
Australian Capital Territory	Wholesale trade	Community and personal service workers	20
Australian Capital Territory	Wholesale trade	Labourers	101
Australian Capital Territory	Wholesale trade	Machinery operators and drivers	263
Australian Capital Territory	Wholesale trade	Managers	417
Australian Capital Territory	Wholesale trade	Professionals	463
Australian Capital Territory	Wholesale trade	Sales workers	469
Australian Capital Territory	Wholesale trade	Technicians and trades workers	248
Other Territories		Clerical and administrative workers	19
Other Territories		Community and personal service workers	8
Other Territories		Labourers	22
Other Territories		Machinery operators and drivers	9
Other Territories		Managers	16
Other Territories		Professionals	14
Other Territories		Sales workers	10
Other Territories		Technicians and trades workers	32
Other Territories	Accommodation and food services	Clerical and administrative workers	17
Other Territories	Accommodation and food services	Community and personal service workers	61
Other Territories	Accommodation and food services	Labourers	60
Other Territories	Accommodation and food services	Managers	68
Other Territories	Accommodation and food services	Professionals	3
Other Territories	Accommodation and food services	Sales workers	9
Other Territories	Accommodation and food services	Technicians and trades workers	52
Other Territories	Administrative and support services		3
Other Territories	Administrative and support services	Clerical and administrative workers	11
Other Territories	Administrative and support services	Community and personal service workers	33
Other Territories	Administrative and support services	Labourers	60
Other Territories	Administrative and support services	Machinery operators and drivers	3
Other Territories	Administrative and support services	Managers	17
Other Territories	Administrative and support services	Professionals	11
Other Territories	Administrative and support services	Sales workers	3
Other Territories	Administrative and support services	Technicians and trades workers	17
Other Territories	Agriculture forestry and fishing	Labourers	7
Other Territories	Agriculture forestry and fishing	Managers	21
Other Territories	Agriculture forestry and fishing	Technicians and trades workers	3
Other Territories	Arts and recreation services		3
Other Territories	Arts and recreation services	Clerical and administrative workers	8
Other Territories	Arts and recreation services	Community and personal service workers	10
Other Territories	Arts and recreation services	Labourers	8
Other Territories	Arts and recreation services	Managers	14
Other Territories	Arts and recreation services	Professionals	24
Other Territories	Arts and recreation services	Technicians and trades workers	14
Other Territories	Construction	Clerical and administrative workers	8
Other Territories	Construction	Community and personal service workers	8
Other Territories	Construction	Labourers	25
Other Territories	Construction	Machinery operators and drivers	15
Other Territories	Construction	Managers	27
Other Territories	Construction	Professionals	4
Other Territories	Construction	Technicians and trades workers	85
Other Territories	Education and training	Clerical and administrative workers	8
Other Territories	Education and training	Community and personal service workers	50
Other Territories	Education and training	Labourers	5
Other Territories	Education and training	Managers	15
Other Territories	Education and training	Professionals	104
Other Territories	Education and training	Technicians and trades workers	4
Other Territories	Electricity gas water and waste services		3
Other Territories	Electricity gas water and waste services	Clerical and administrative workers	4
Other Territories	Electricity gas water and waste services	Labourers	3
Other Territories	Electricity gas water and waste services	Machinery operators and drivers	6
Other Territories	Electricity gas water and waste services	Managers	3
Other Territories	Electricity gas water and waste services	Professionals	3
Other Territories	Electricity gas water and waste services	Technicians and trades workers	17
Other Territories	Financial and insurance services		3
Other Territories	Financial and insurance services	Clerical and administrative workers	18
Other Territories	Financial and insurance services	Managers	8
Other Territories	Health care and social assistance		3
Other Territories	Health care and social assistance	Clerical and administrative workers	17
Other Territories	Health care and social assistance	Community and personal service workers	32
Other Territories	Health care and social assistance	Labourers	8
Other Territories	Health care and social assistance	Managers	5
Other Territories	Health care and social assistance	Professionals	62
Other Territories	Health care and social assistance	Technicians and trades workers	4
Other Territories	Information media and telecommunications	Managers	3
Other Territories	Information media and telecommunications	Professionals	9
Other Territories	Information media and telecommunications	Technicians and trades workers	4
Other Territories	Manufacturing	Clerical and administrative workers	4
Other Territories	Manufacturing	Labourers	3
Other Territories	Manufacturing	Managers	8
Other Territories	Manufacturing	Sales workers	5
Other Territories	Manufacturing	Technicians and trades workers	23
Other Territories	Mining		4
Other Territories	Mining	Clerical and administrative workers	7
Other Territories	Mining	Labourers	20
Other Territories	Mining	Machinery operators and drivers	66
Other Territories	Mining	Managers	22
Other Territories	Mining	Professionals	16
Other Territories	Mining	Technicians and trades workers	61
Other Territories	Other services	Community and personal service workers	6
Other Territories	Other services	Labourers	4
Other Territories	Other services	Managers	10
Other Territories	Other services	Professionals	3
Other Territories	Other services	Technicians and trades workers	48
Other Territories	Professional scientific and technical services	Clerical and administrative workers	15
Other Territories	Professional scientific and technical services	Community and personal service workers	9
Other Territories	Professional scientific and technical services	Labourers	3
Other Territories	Professional scientific and technical services	Managers	10
Other Territories	Professional scientific and technical services	Professionals	30
Other Territories	Professional scientific and technical services	Technicians and trades workers	9
Other Territories	Public administration and safety		19
Other Territories	Public administration and safety	Clerical and administrative workers	105
Other Territories	Public administration and safety	Community and personal service workers	172
Other Territories	Public administration and safety	Labourers	51
Other Territories	Public administration and safety	Machinery operators and drivers	30
Other Territories	Public administration and safety	Managers	159
Other Territories	Public administration and safety	Professionals	96
Other Territories	Public administration and safety	Sales workers	7
Other Territories	Public administration and safety	Technicians and trades workers	59
Other Territories	Rental hiring and real estate services	Clerical and administrative workers	7
Other Territories	Rental hiring and real estate services	Labourers	4
Other Territories	Rental hiring and real estate services	Machinery operators and drivers	5
Other Territories	Rental hiring and real estate services	Managers	6
Other Territories	Rental hiring and real estate services	Sales workers	9
Other Territories	Rental hiring and real estate services	Technicians and trades workers	3
Other Territories	Retail trade	Clerical and administrative workers	14
Other Territories	Retail trade	Community and personal service workers	6
Other Territories	Retail trade	Labourers	13
Other Territories	Retail trade	Machinery operators and drivers	11
Other Territories	Retail trade	Managers	48
Other Territories	Retail trade	Professionals	5
Other Territories	Retail trade	Sales workers	92
Other Territories	Retail trade	Technicians and trades workers	8
Other Territories	Transport postal and warehousing		3
Other Territories	Transport postal and warehousing	Clerical and administrative workers	22
Other Territories	Transport postal and warehousing	Community and personal service workers	15
Other Territories	Transport postal and warehousing	Labourers	24
Other Territories	Transport postal and warehousing	Machinery operators and drivers	19
Other Territories	Transport postal and warehousing	Managers	17
Other Territories	Transport postal and warehousing	Professionals	27
Other Territories	Transport postal and warehousing	Sales workers	4
Other Territories	Transport postal and warehousing	Technicians and trades workers	11
Other Territories	Wholesale trade	Clerical and administrative workers	8
Other Territories	Wholesale trade	Labourers	3
Other Territories	Wholesale trade	Machinery operators and drivers	3
Other Territories	Wholesale trade	Managers	14
Other Territories	Wholesale trade	Professionals	7
Other Territories	Wholesale trade	Sales workers	3
