SA3_NAME16	IndustryOfEmployment	workers_born_overseas
Moira	Financial and insurance services	9
Moira	Health care and social assistance	160
Moira	Information media and telecommunications	4
Moira	Manufacturing	164
Moira	Other services	26
Moira	Professional scientific and technical services	20
Moira	Public administration and safety	25
Moira	Rental hiring and real estate services	8
Moira	Retail trade	67
Moira	Transport postal and warehousing	29
Moira	Wholesale trade	17
Shepparton		207
Shepparton	Accommodation and food services	257
Shepparton	Administrative and support services	192
Shepparton	Agriculture forestry and fishing	564
Shepparton	Arts and recreation services	16
Shepparton	Construction	117
Shepparton	Education and training	215
Shepparton	Electricity gas water and waste services	111
Shepparton	Financial and insurance services	46
Shepparton	Health care and social assistance	872
Shepparton	Information media and telecommunications	34
Shepparton	Manufacturing	303
Shepparton	Other services	168
Shepparton	Professional scientific and technical services	139
Shepparton	Public administration and safety	137
Shepparton	Rental hiring and real estate services	17
Shepparton	Retail trade	298
Shepparton	Transport postal and warehousing	101
Shepparton	Wholesale trade	69
Glenelg - Southern Grampians		40
Glenelg - Southern Grampians	Accommodation and food services	106
Glenelg - Southern Grampians	Administrative and support services	23
Glenelg - Southern Grampians	Agriculture forestry and fishing	171
Glenelg - Southern Grampians	Arts and recreation services	11
Glenelg - Southern Grampians	Construction	29
Glenelg - Southern Grampians	Education and training	90
Glenelg - Southern Grampians	Electricity gas water and waste services	7
Glenelg - Southern Grampians	Financial and insurance services	12
Glenelg - Southern Grampians	Health care and social assistance	292
Glenelg - Southern Grampians	Information media and telecommunications	4
Glenelg - Southern Grampians	Manufacturing	82
Glenelg - Southern Grampians	Mining	9
Glenelg - Southern Grampians	Other services	21
Glenelg - Southern Grampians	Professional scientific and technical services	48
Glenelg - Southern Grampians	Public administration and safety	54
Glenelg - Southern Grampians	Rental hiring and real estate services	8
Glenelg - Southern Grampians	Retail trade	88
Glenelg - Southern Grampians	Transport postal and warehousing	47
Glenelg - Southern Grampians	Wholesale trade	21
Colac - Corangamite		61
Colac - Corangamite	Accommodation and food services	191
Colac - Corangamite	Administrative and support services	26
Colac - Corangamite	Agriculture forestry and fishing	307
Colac - Corangamite	Arts and recreation services	11
Colac - Corangamite	Construction	41
Colac - Corangamite	Education and training	61
Colac - Corangamite	Electricity gas water and waste services	6
Colac - Corangamite	Financial and insurance services	8
Colac - Corangamite	Health care and social assistance	206
Colac - Corangamite	Information media and telecommunications	7
Colac - Corangamite	Manufacturing	224
Colac - Corangamite	Mining	14
Colac - Corangamite	Other services	31
Colac - Corangamite	Professional scientific and technical services	48
Colac - Corangamite	Public administration and safety	49
Colac - Corangamite	Rental hiring and real estate services	3
Colac - Corangamite	Retail trade	78
Colac - Corangamite	Transport postal and warehousing	25
Colac - Corangamite	Wholesale trade	23
Warrnambool		86
Warrnambool	Accommodation and food services	226
Warrnambool	Administrative and support services	46
Warrnambool	Agriculture forestry and fishing	221
Warrnambool	Arts and recreation services	26
Warrnambool	Construction	45
Warrnambool	Education and training	153
Warrnambool	Electricity gas water and waste services	19
Warrnambool	Financial and insurance services	31
Warrnambool	Health care and social assistance	378
Warrnambool	Information media and telecommunications	15
Warrnambool	Manufacturing	376
Warrnambool	Mining	3
Warrnambool	Other services	43
Warrnambool	Professional scientific and technical services	64
Warrnambool	Public administration and safety	70
Warrnambool	Rental hiring and real estate services	9
Warrnambool	Retail trade	141
Warrnambool	Transport postal and warehousing	34
Warrnambool	Wholesale trade	95
Migratory - Offshore - Shipping (Vic.)	Transport postal and warehousing	4
No usual address (Vic.)		1995
No usual address (Vic.)	Accommodation and food services	483
No usual address (Vic.)	Administrative and support services	4034
No usual address (Vic.)	Agriculture forestry and fishing	287
No usual address (Vic.)	Arts and recreation services	296
No usual address (Vic.)	Construction	9234
No usual address (Vic.)	Education and training	1187
No usual address (Vic.)	Electricity gas water and waste services	164
No usual address (Vic.)	Financial and insurance services	216
No usual address (Vic.)	Health care and social assistance	2268
No usual address (Vic.)	Information media and telecommunications	436
No usual address (Vic.)	Manufacturing	601
No usual address (Vic.)	Mining	80
No usual address (Vic.)	Other services	946
No usual address (Vic.)	Professional scientific and technical services	1490
No usual address (Vic.)	Public administration and safety	791
No usual address (Vic.)	Rental hiring and real estate services	157
No usual address (Vic.)	Retail trade	805
No usual address (Vic.)	Transport postal and warehousing	3262
No usual address (Vic.)	Wholesale trade	403
Capalaba		285
Capalaba	Accommodation and food services	383
Capalaba	Administrative and support services	270
Capalaba	Agriculture forestry and fishing	27
Capalaba	Arts and recreation services	60
Capalaba	Construction	544
Capalaba	Education and training	356
Capalaba	Electricity gas water and waste services	33
Capalaba	Financial and insurance services	75
Capalaba	Health care and social assistance	792
Capalaba	Information media and telecommunications	56
Capalaba	Manufacturing	412
Capalaba	Mining	10
Capalaba	Other services	249
Capalaba	Professional scientific and technical services	283
Capalaba	Public administration and safety	91
Capalaba	Rental hiring and real estate services	104
Capalaba	Retail trade	669
Capalaba	Transport postal and warehousing	181
Capalaba	Wholesale trade	147
Cleveland - Stradbroke		326
Cleveland - Stradbroke	Accommodation and food services	617
Cleveland - Stradbroke	Administrative and support services	283
Cleveland - Stradbroke	Agriculture forestry and fishing	117
Cleveland - Stradbroke	Arts and recreation services	70
Cleveland - Stradbroke	Construction	457
Cleveland - Stradbroke	Education and training	487
Cleveland - Stradbroke	Electricity gas water and waste services	77
Cleveland - Stradbroke	Financial and insurance services	110
Cleveland - Stradbroke	Health care and social assistance	1480
Cleveland - Stradbroke	Information media and telecommunications	64
Cleveland - Stradbroke	Manufacturing	645
Cleveland - Stradbroke	Mining	55
Cleveland - Stradbroke	Other services	252
Cleveland - Stradbroke	Professional scientific and technical services	381
Cleveland - Stradbroke	Public administration and safety	295
Cleveland - Stradbroke	Rental hiring and real estate services	200
Cleveland - Stradbroke	Retail trade	569
Cleveland - Stradbroke	Transport postal and warehousing	137
Cleveland - Stradbroke	Wholesale trade	110
Wynnum - Manly		736
Wynnum - Manly	Accommodation and food services	571
Wynnum - Manly	Administrative and support services	460
Wynnum - Manly	Agriculture forestry and fishing	47
Wynnum - Manly	Arts and recreation services	76
Wynnum - Manly	Construction	908
Wynnum - Manly	Education and training	476
Wynnum - Manly	Electricity gas water and waste services	77
Wynnum - Manly	Financial and insurance services	181
Wynnum - Manly	Health care and social assistance	1157
Wynnum - Manly	Information media and telecommunications	152
Wynnum - Manly	Manufacturing	2872
Wynnum - Manly	Mining	54
Wynnum - Manly	Other services	400
Wynnum - Manly	Professional scientific and technical services	590
Wynnum - Manly	Public administration and safety	291
Wynnum - Manly	Rental hiring and real estate services	179
Wynnum - Manly	Retail trade	831
Wynnum - Manly	Transport postal and warehousing	1545
Wynnum - Manly	Wholesale trade	828
Bald Hills - Everton Park		95
Bald Hills - Everton Park	Accommodation and food services	167
Bald Hills - Everton Park	Administrative and support services	73
Bald Hills - Everton Park	Arts and recreation services	19
Bald Hills - Everton Park	Construction	121
Bald Hills - Everton Park	Education and training	199
Bald Hills - Everton Park	Electricity gas water and waste services	3
Bald Hills - Everton Park	Financial and insurance services	35
Bald Hills - Everton Park	Health care and social assistance	478
Bald Hills - Everton Park	Information media and telecommunications	19
Bald Hills - Everton Park	Manufacturing	29
Bald Hills - Everton Park	Other services	68
Bald Hills - Everton Park	Professional scientific and technical services	121
Bald Hills - Everton Park	Public administration and safety	168
Bald Hills - Everton Park	Rental hiring and real estate services	47
Bald Hills - Everton Park	Retail trade	238
Bald Hills - Everton Park	Transport postal and warehousing	70
Bald Hills - Everton Park	Wholesale trade	13
Chermside		418
Chermside	Accommodation and food services	750
Chermside	Administrative and support services	278
Chermside	Agriculture forestry and fishing	11
Chermside	Arts and recreation services	50
Chermside	Construction	689
Chermside	Education and training	394
Chermside	Electricity gas water and waste services	103
Chermside	Financial and insurance services	151
Chermside	Health care and social assistance	2951
Chermside	Information media and telecommunications	158
Chermside	Manufacturing	770
Chermside	Mining	25
Chermside	Other services	420
Chermside	Professional scientific and technical services	531
Chermside	Public administration and safety	440
Chermside	Rental hiring and real estate services	142
Chermside	Retail trade	1140
Chermside	Transport postal and warehousing	239
Chermside	Wholesale trade	260
Nundah		902
Nundah	Accommodation and food services	1133
Nundah	Administrative and support services	741
Nundah	Agriculture forestry and fishing	26
Nundah	Arts and recreation services	120
Nundah	Construction	1157
Nundah	Education and training	428
Nundah	Electricity gas water and waste services	530
Nundah	Financial and insurance services	190
Nundah	Health care and social assistance	658
Nundah	Information media and telecommunications	102
Nundah	Manufacturing	2886
Nundah	Mining	104
Nundah	Other services	605
Nundah	Professional scientific and technical services	560
Nundah	Public administration and safety	732
Nundah	Rental hiring and real estate services	319
Nundah	Retail trade	1268
Nundah	Transport postal and warehousing	4389
Nundah	Wholesale trade	1169
Sandgate		147
Sandgate	Accommodation and food services	277
Sandgate	Administrative and support services	121
Sandgate	Agriculture forestry and fishing	7
Sandgate	Arts and recreation services	55
Sandgate	Construction	220
Sandgate	Education and training	286
Sandgate	Financial and insurance services	38
Sandgate	Health care and social assistance	839
Sandgate	Information media and telecommunications	27
Sandgate	Manufacturing	64
Sandgate	Mining	3
Sandgate	Other services	117
Sandgate	Professional scientific and technical services	141
Sandgate	Public administration and safety	128
Sandgate	Rental hiring and real estate services	44
Sandgate	Retail trade	280
Sandgate	Transport postal and warehousing	132
Sandgate	Wholesale trade	60
Carindale		187
Carindale	Accommodation and food services	594
Carindale	Administrative and support services	153
Carindale	Agriculture forestry and fishing	3
Carindale	Arts and recreation services	63
Carindale	Construction	335
Carindale	Education and training	231
Carindale	Electricity gas water and waste services	3
Carindale	Financial and insurance services	216
Carindale	Health care and social assistance	692
Carindale	Information media and telecommunications	190
Carindale	Manufacturing	239
Carindale	Mining	9
Carindale	Other services	230
Carindale	Professional scientific and technical services	216
Carindale	Public administration and safety	71
Carindale	Rental hiring and real estate services	97
Carindale	Retail trade	890
Carindale	Transport postal and warehousing	175
Carindale	Wholesale trade	70
Holland Park - Yeronga		502
Holland Park - Yeronga	Accommodation and food services	793
Holland Park - Yeronga	Administrative and support services	396
Holland Park - Yeronga	Agriculture forestry and fishing	18
Holland Park - Yeronga	Arts and recreation services	233
Holland Park - Yeronga	Construction	614
Holland Park - Yeronga	Education and training	1048
Holland Park - Yeronga	Electricity gas water and waste services	29
Holland Park - Yeronga	Financial and insurance services	132
Holland Park - Yeronga	Health care and social assistance	4875
Holland Park - Yeronga	Information media and telecommunications	114
Holland Park - Yeronga	Manufacturing	465
Holland Park - Yeronga	Mining	26
Holland Park - Yeronga	Other services	486
Holland Park - Yeronga	Professional scientific and technical services	870
Holland Park - Yeronga	Public administration and safety	562
Holland Park - Yeronga	Rental hiring and real estate services	203
Holland Park - Yeronga	Retail trade	644
Holland Park - Yeronga	Transport postal and warehousing	575
Holland Park - Yeronga	Wholesale trade	216
Mt Gravatt		592
Mt Gravatt	Accommodation and food services	1075
Mt Gravatt	Administrative and support services	474
Mt Gravatt	Agriculture forestry and fishing	33
Mt Gravatt	Arts and recreation services	76
Mt Gravatt	Construction	730
Mt Gravatt	Education and training	1170
Mt Gravatt	Electricity gas water and waste services	69
Mt Gravatt	Financial and insurance services	450
Mt Gravatt	Health care and social assistance	1671
Mt Gravatt	Information media and telecommunications	151
Mt Gravatt	Manufacturing	733
Mt Gravatt	Mining	43
Mt Gravatt	Other services	676
Mt Gravatt	Professional scientific and technical services	1167
Mt Gravatt	Public administration and safety	497
Mt Gravatt	Rental hiring and real estate services	261
Mt Gravatt	Retail trade	1452
Mt Gravatt	Transport postal and warehousing	504
Mt Gravatt	Wholesale trade	309
Nathan		501
Nathan	Accommodation and food services	522
Nathan	Administrative and support services	225
Nathan	Agriculture forestry and fishing	8
Nathan	Arts and recreation services	45
Nathan	Construction	466
Nathan	Education and training	1189
Nathan	Electricity gas water and waste services	35
Nathan	Financial and insurance services	174
Nathan	Health care and social assistance	1277
Nathan	Information media and telecommunications	65
Nathan	Manufacturing	925
Nathan	Mining	4
Nathan	Other services	478
Nathan	Professional scientific and technical services	371
Nathan	Public administration and safety	257
Nathan	Rental hiring and real estate services	148
Nathan	Retail trade	693
Nathan	Transport postal and warehousing	505
Nathan	Wholesale trade	440
Rocklea - Acacia Ridge		1094
Rocklea - Acacia Ridge	Accommodation and food services	401
Rocklea - Acacia Ridge	Administrative and support services	571
Rocklea - Acacia Ridge	Agriculture forestry and fishing	113
Rocklea - Acacia Ridge	Arts and recreation services	47
Rocklea - Acacia Ridge	Construction	803
Rocklea - Acacia Ridge	Education and training	590
Rocklea - Acacia Ridge	Electricity gas water and waste services	225
Rocklea - Acacia Ridge	Financial and insurance services	124
Rocklea - Acacia Ridge	Health care and social assistance	856
Rocklea - Acacia Ridge	Information media and telecommunications	42
Rocklea - Acacia Ridge	Manufacturing	2094
Rocklea - Acacia Ridge	Mining	73
Rocklea - Acacia Ridge	Other services	538
Rocklea - Acacia Ridge	Professional scientific and technical services	550
Rocklea - Acacia Ridge	Public administration and safety	144
Rocklea - Acacia Ridge	Rental hiring and real estate services	287
Rocklea - Acacia Ridge	Retail trade	1251
Rocklea - Acacia Ridge	Transport postal and warehousing	2678
Rocklea - Acacia Ridge	Wholesale trade	1423
Sunnybank		245
Sunnybank	Accommodation and food services	530
Sunnybank	Administrative and support services	208
Sunnybank	Agriculture forestry and fishing	15
Sunnybank	Arts and recreation services	23
Sunnybank	Construction	225
Sunnybank	Education and training	391
Sunnybank	Financial and insurance services	139
Sunnybank	Health care and social assistance	1009
Sunnybank	Information media and telecommunications	52
Sunnybank	Manufacturing	142
Sunnybank	Mining	4
Sunnybank	Other services	194
Sunnybank	Professional scientific and technical services	241
Sunnybank	Public administration and safety	30
Sunnybank	Rental hiring and real estate services	285
Sunnybank	Retail trade	472
Sunnybank	Transport postal and warehousing	166
Sunnybank	Wholesale trade	65
Centenary		188
Centenary	Accommodation and food services	256
Centenary	Administrative and support services	95
Centenary	Agriculture forestry and fishing	9
Centenary	Arts and recreation services	26
Centenary	Construction	150
Centenary	Education and training	219
Centenary	Electricity gas water and waste services	6
Centenary	Financial and insurance services	52
Centenary	Health care and social assistance	528
Centenary	Information media and telecommunications	25
Centenary	Manufacturing	196
Centenary	Mining	21
Centenary	Other services	177
Centenary	Professional scientific and technical services	230
Centenary	Public administration and safety	38
Centenary	Rental hiring and real estate services	71
Centenary	Retail trade	428
Centenary	Transport postal and warehousing	122
Centenary	Wholesale trade	86
Kenmore - Brookfield - Moggill		149
Kenmore - Brookfield - Moggill	Accommodation and food services	214
Kenmore - Brookfield - Moggill	Administrative and support services	117
Kenmore - Brookfield - Moggill	Agriculture forestry and fishing	40
Kenmore - Brookfield - Moggill	Arts and recreation services	64
Kenmore - Brookfield - Moggill	Construction	172
Kenmore - Brookfield - Moggill	Education and training	302
Kenmore - Brookfield - Moggill	Electricity gas water and waste services	6
Kenmore - Brookfield - Moggill	Financial and insurance services	67
Kenmore - Brookfield - Moggill	Health care and social assistance	634
Kenmore - Brookfield - Moggill	Information media and telecommunications	27
Kenmore - Brookfield - Moggill	Manufacturing	43
Kenmore - Brookfield - Moggill	Mining	22
Kenmore - Brookfield - Moggill	Other services	148
Kenmore - Brookfield - Moggill	Professional scientific and technical services	418
Kenmore - Brookfield - Moggill	Public administration and safety	38
Kenmore - Brookfield - Moggill	Rental hiring and real estate services	64
Kenmore - Brookfield - Moggill	Retail trade	218
Kenmore - Brookfield - Moggill	Transport postal and warehousing	46
Kenmore - Brookfield - Moggill	Wholesale trade	41
Sherwood - Indooroopilly		260
Sherwood - Indooroopilly	Accommodation and food services	838
Sherwood - Indooroopilly	Administrative and support services	271
Sherwood - Indooroopilly	Agriculture forestry and fishing	15
Sherwood - Indooroopilly	Arts and recreation services	92
Sherwood - Indooroopilly	Construction	208
Sherwood - Indooroopilly	Education and training	3797
Sherwood - Indooroopilly	Electricity gas water and waste services	11
Sherwood - Indooroopilly	Financial and insurance services	130
Sherwood - Indooroopilly	Health care and social assistance	928
Sherwood - Indooroopilly	Information media and telecommunications	59
Sherwood - Indooroopilly	Manufacturing	53
Sherwood - Indooroopilly	Mining	12
Sherwood - Indooroopilly	Other services	297
Sherwood - Indooroopilly	Professional scientific and technical services	599
Sherwood - Indooroopilly	Public administration and safety	80
Sherwood - Indooroopilly	Rental hiring and real estate services	147
Sherwood - Indooroopilly	Retail trade	853
Sherwood - Indooroopilly	Transport postal and warehousing	159
Sherwood - Indooroopilly	Wholesale trade	64
The Gap - Enoggera		139
The Gap - Enoggera	Accommodation and food services	277
The Gap - Enoggera	Administrative and support services	129
The Gap - Enoggera	Arts and recreation services	32
The Gap - Enoggera	Construction	164
The Gap - Enoggera	Education and training	338
The Gap - Enoggera	Electricity gas water and waste services	4
The Gap - Enoggera	Financial and insurance services	40
The Gap - Enoggera	Health care and social assistance	680
The Gap - Enoggera	Information media and telecommunications	90
The Gap - Enoggera	Manufacturing	62
The Gap - Enoggera	Mining	8
The Gap - Enoggera	Other services	169
The Gap - Enoggera	Professional scientific and technical services	199
The Gap - Enoggera	Public administration and safety	720
The Gap - Enoggera	Rental hiring and real estate services	43
The Gap - Enoggera	Retail trade	317
The Gap - Enoggera	Transport postal and warehousing	66
The Gap - Enoggera	Wholesale trade	51
Brisbane Inner		2130
Brisbane Inner	Accommodation and food services	7139
Brisbane Inner	Administrative and support services	3666
Brisbane Inner	Agriculture forestry and fishing	93
Brisbane Inner	Arts and recreation services	1093
Brisbane Inner	Construction	2071
Brisbane Inner	Education and training	3955
Brisbane Inner	Electricity gas water and waste services	696
Brisbane Inner	Financial and insurance services	5326
Brisbane Inner	Health care and social assistance	6841
Brisbane Inner	Information media and telecommunications	1781
Brisbane Inner	Manufacturing	887
Brisbane Inner	Mining	2079
Brisbane Inner	Other services	1247
Brisbane Inner	Professional scientific and technical services	12006
Brisbane Inner	Public administration and safety	7759
Brisbane Inner	Rental hiring and real estate services	1380
Brisbane Inner	Retail trade	2545
Brisbane Inner	Transport postal and warehousing	1876
Brisbane Inner	Wholesale trade	708
Brisbane Inner - East		255
Brisbane Inner - East	Accommodation and food services	450
Brisbane Inner - East	Administrative and support services	130
Brisbane Inner - East	Agriculture forestry and fishing	25
Brisbane Inner - East	Arts and recreation services	57
Brisbane Inner - East	Construction	373
Brisbane Inner - East	Education and training	282
Brisbane Inner - East	Electricity gas water and waste services	10
Brisbane Inner - East	Financial and insurance services	75
Brisbane Inner - East	Health care and social assistance	396
Brisbane Inner - East	Information media and telecommunications	30
Brisbane Inner - East	Manufacturing	845
Brisbane Inner - East	Mining	8
Brisbane Inner - East	Other services	240
Brisbane Inner - East	Professional scientific and technical services	373
Brisbane Inner - East	Public administration and safety	64
Brisbane Inner - East	Rental hiring and real estate services	143
Brisbane Inner - East	Retail trade	259
Brisbane Inner - East	Transport postal and warehousing	249
Brisbane Inner - East	Wholesale trade	304
Brisbane Inner - North		687
Brisbane Inner - North	Accommodation and food services	1589
Brisbane Inner - North	Administrative and support services	738
Brisbane Inner - North	Agriculture forestry and fishing	53
Brisbane Inner - North	Arts and recreation services	450
Brisbane Inner - North	Construction	1244
Brisbane Inner - North	Education and training	1725
Brisbane Inner - North	Electricity gas water and waste services	339
Brisbane Inner - North	Financial and insurance services	479
Brisbane Inner - North	Health care and social assistance	3989
Brisbane Inner - North	Information media and telecommunications	361
Brisbane Inner - North	Manufacturing	517
Brisbane Inner - North	Mining	58
Brisbane Inner - North	Other services	662
Brisbane Inner - North	Professional scientific and technical services	1679
Brisbane Inner - North	Public administration and safety	762
Brisbane Inner - North	Rental hiring and real estate services	358
Brisbane Inner - North	Retail trade	966
Brisbane Inner - North	Transport postal and warehousing	1446
Brisbane Inner - North	Wholesale trade	366
Brisbane Inner - West		480
Brisbane Inner - West	Accommodation and food services	951
Brisbane Inner - West	Administrative and support services	474
Brisbane Inner - West	Agriculture forestry and fishing	19
Brisbane Inner - West	Arts and recreation services	194
Brisbane Inner - West	Construction	707
Brisbane Inner - West	Education and training	576
Brisbane Inner - West	Electricity gas water and waste services	101
Brisbane Inner - West	Financial and insurance services	926
Brisbane Inner - West	Health care and social assistance	1889
Brisbane Inner - West	Information media and telecommunications	151
Brisbane Inner - West	Manufacturing	340
Brisbane Inner - West	Mining	543
Brisbane Inner - West	Other services	456
Brisbane Inner - West	Professional scientific and technical services	1714
Brisbane Inner - West	Public administration and safety	145
Brisbane Inner - West	Rental hiring and real estate services	294
Brisbane Inner - West	Retail trade	597
Brisbane Inner - West	Transport postal and warehousing	242
Brisbane Inner - West	Wholesale trade	163
Cairns - North		149
Cairns - North	Accommodation and food services	667
Cairns - North	Administrative and support services	248
Cairns - North	Agriculture forestry and fishing	77
Cairns - North	Arts and recreation services	70
Cairns - North	Construction	217
Cairns - North	Education and training	471
Cairns - North	Electricity gas water and waste services	10
Cairns - North	Financial and insurance services	34
Cairns - North	Health care and social assistance	426
Cairns - North	Information media and telecommunications	18
Cairns - North	Manufacturing	132
Cairns - North	Mining	16
Cairns - North	Other services	119
Cairns - North	Professional scientific and technical services	159
Cairns - North	Public administration and safety	127
Cairns - North	Rental hiring and real estate services	96
Cairns - North	Retail trade	355
Cairns - North	Transport postal and warehousing	460
Cairns - North	Wholesale trade	51
Cairns - South		558
Cairns - South	Accommodation and food services	2327
Cairns - South	Administrative and support services	770
Cairns - South	Agriculture forestry and fishing	80
Cairns - South	Arts and recreation services	272
Cairns - South	Construction	554
Cairns - South	Education and training	949
Cairns - South	Electricity gas water and waste services	82
Cairns - South	Financial and insurance services	198
Cairns - South	Health care and social assistance	2956
Cairns - South	Information media and telecommunications	108
Cairns - South	Manufacturing	434
Cairns - South	Mining	43
Cairns - South	Other services	629
Cairns - South	Professional scientific and technical services	614
Cairns - South	Public administration and safety	845
Cairns - South	Rental hiring and real estate services	264
Cairns - South	Retail trade	1351
Cairns - South	Transport postal and warehousing	804
Cairns - South	Wholesale trade	285
Innisfail - Cassowary Coast		122
Innisfail - Cassowary Coast	Accommodation and food services	198
Innisfail - Cassowary Coast	Administrative and support services	64
Innisfail - Cassowary Coast	Agriculture forestry and fishing	882
Innisfail - Cassowary Coast	Arts and recreation services	33
Innisfail - Cassowary Coast	Construction	46
Innisfail - Cassowary Coast	Education and training	125
Innisfail - Cassowary Coast	Electricity gas water and waste services	14
Innisfail - Cassowary Coast	Financial and insurance services	10
Innisfail - Cassowary Coast	Health care and social assistance	250
Innisfail - Cassowary Coast	Information media and telecommunications	14
Innisfail - Cassowary Coast	Manufacturing	93
Innisfail - Cassowary Coast	Mining	5
Innisfail - Cassowary Coast	Other services	47
Innisfail - Cassowary Coast	Professional scientific and technical services	47
Innisfail - Cassowary Coast	Public administration and safety	86
Innisfail - Cassowary Coast	Rental hiring and real estate services	17
Innisfail - Cassowary Coast	Retail trade	130
Innisfail - Cassowary Coast	Transport postal and warehousing	67
Innisfail - Cassowary Coast	Wholesale trade	21
Port Douglas - Daintree		52
Port Douglas - Daintree	Accommodation and food services	597
Port Douglas - Daintree	Administrative and support services	123
Port Douglas - Daintree	Agriculture forestry and fishing	23
Port Douglas - Daintree	Arts and recreation services	40
Port Douglas - Daintree	Construction	53
Port Douglas - Daintree	Education and training	68
Port Douglas - Daintree	Electricity gas water and waste services	5
Port Douglas - Daintree	Financial and insurance services	3
Port Douglas - Daintree	Health care and social assistance	136
Port Douglas - Daintree	Information media and telecommunications	9
Port Douglas - Daintree	Manufacturing	47
Port Douglas - Daintree	Mining	3
Port Douglas - Daintree	Other services	45
Port Douglas - Daintree	Professional scientific and technical services	47
Port Douglas - Daintree	Public administration and safety	35
Port Douglas - Daintree	Rental hiring and real estate services	32
Port Douglas - Daintree	Retail trade	136
Port Douglas - Daintree	Transport postal and warehousing	118
Port Douglas - Daintree	Wholesale trade	8
Tablelands (East) - Kuranda		83
Tablelands (East) - Kuranda	Accommodation and food services	188
Tablelands (East) - Kuranda	Administrative and support services	75
Tablelands (East) - Kuranda	Agriculture forestry and fishing	549
Tablelands (East) - Kuranda	Arts and recreation services	63
Tablelands (East) - Kuranda	Construction	86
Tablelands (East) - Kuranda	Education and training	202
Tablelands (East) - Kuranda	Electricity gas water and waste services	11
Tablelands (East) - Kuranda	Financial and insurance services	24
Tablelands (East) - Kuranda	Health care and social assistance	387
Tablelands (East) - Kuranda	Information media and telecommunications	19
Tablelands (East) - Kuranda	Manufacturing	126
Tablelands (East) - Kuranda	Mining	14
Tablelands (East) - Kuranda	Other services	69
Tablelands (East) - Kuranda	Professional scientific and technical services	67
Tablelands (East) - Kuranda	Public administration and safety	117
Tablelands (East) - Kuranda	Rental hiring and real estate services	37
Tablelands (East) - Kuranda	Retail trade	212
Tablelands (East) - Kuranda	Transport postal and warehousing	62
Tablelands (East) - Kuranda	Wholesale trade	53
Darling Downs (West) - Maranoa		119
Darling Downs (West) - Maranoa	Accommodation and food services	298
Darling Downs (West) - Maranoa	Administrative and support services	71
Darling Downs (West) - Maranoa	Agriculture forestry and fishing	266
Darling Downs (West) - Maranoa	Arts and recreation services	3
Darling Downs (West) - Maranoa	Construction	313
Darling Downs (West) - Maranoa	Education and training	110
Darling Downs (West) - Maranoa	Electricity gas water and waste services	107
Darling Downs (West) - Maranoa	Financial and insurance services	16
Darling Downs (West) - Maranoa	Health care and social assistance	257
Darling Downs (West) - Maranoa	Information media and telecommunications	6
Darling Downs (West) - Maranoa	Manufacturing	86
Darling Downs (West) - Maranoa	Mining	286
Darling Downs (West) - Maranoa	Other services	64
Darling Downs (West) - Maranoa	Professional scientific and technical services	67
Darling Downs (West) - Maranoa	Public administration and safety	98
Darling Downs (West) - Maranoa	Rental hiring and real estate services	22
Darling Downs (West) - Maranoa	Retail trade	195
Darling Downs (West) - Maranoa	Transport postal and warehousing	62
Darling Downs (West) - Maranoa	Wholesale trade	43
Darling Downs - East		75
Darling Downs - East	Accommodation and food services	127
Darling Downs - East	Administrative and support services	76
Darling Downs - East	Agriculture forestry and fishing	417
Darling Downs - East	Arts and recreation services	11
Darling Downs - East	Construction	92
Darling Downs - East	Education and training	107
Darling Downs - East	Electricity gas water and waste services	31
Darling Downs - East	Financial and insurance services	14
Darling Downs - East	Health care and social assistance	200
Darling Downs - East	Information media and telecommunications	14
Darling Downs - East	Manufacturing	456
Darling Downs - East	Mining	55
Darling Downs - East	Other services	55
Darling Downs - East	Professional scientific and technical services	53
Darling Downs - East	Public administration and safety	163
Darling Downs - East	Rental hiring and real estate services	17
Darling Downs - East	Retail trade	113
Darling Downs - East	Transport postal and warehousing	49
Darling Downs - East	Wholesale trade	112
Granite Belt		69
Granite Belt	Accommodation and food services	146
Granite Belt	Administrative and support services	32
Granite Belt	Agriculture forestry and fishing	285
Granite Belt	Arts and recreation services	14
Granite Belt	Construction	54
Granite Belt	Education and training	133
Granite Belt	Electricity gas water and waste services	5
Granite Belt	Financial and insurance services	10
Granite Belt	Health care and social assistance	236
Granite Belt	Information media and telecommunications	4
Granite Belt	Manufacturing	196
Granite Belt	Mining	11
Granite Belt	Other services	50
Granite Belt	Professional scientific and technical services	64
Granite Belt	Public administration and safety	59
Granite Belt	Rental hiring and real estate services	14
Granite Belt	Retail trade	118
Granite Belt	Transport postal and warehousing	69
Granite Belt	Wholesale trade	17
Central Highlands (Qld)		71
Central Highlands (Qld)	Accommodation and food services	280
Central Highlands (Qld)	Administrative and support services	78
Central Highlands (Qld)	Agriculture forestry and fishing	142
Central Highlands (Qld)	Arts and recreation services	8
Central Highlands (Qld)	Construction	83
Central Highlands (Qld)	Education and training	123
Central Highlands (Qld)	Electricity gas water and waste services	17
Central Highlands (Qld)	Financial and insurance services	19
Central Highlands (Qld)	Health care and social assistance	183
Central Highlands (Qld)	Information media and telecommunications	9
Central Highlands (Qld)	Manufacturing	40
Central Highlands (Qld)	Mining	693
Central Highlands (Qld)	Other services	72
Central Highlands (Qld)	Professional scientific and technical services	50
Central Highlands (Qld)	Public administration and safety	91
