SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Melbourne - Outer East	0		283
Melbourne - Outer East	0	Accommodation and food services	315
Melbourne - Outer East	0	Administrative and support services	123
Melbourne - Outer East	0	Agriculture forestry and fishing	104
Melbourne - Outer East	0	Arts and recreation services	96
Melbourne - Outer East	0	Construction	392
Melbourne - Outer East	0	Education and training	503
Melbourne - Outer East	0	Electricity gas water and waste services	48
Melbourne - Outer East	0	Financial and insurance services	107
Melbourne - Outer East	0	Health care and social assistance	961
Melbourne - Outer East	0	Information media and telecommunications	55
Melbourne - Outer East	0	Manufacturing	443
Melbourne - Outer East	0	Mining	7
Melbourne - Outer East	0	Other services	193
Melbourne - Outer East	0	Professional scientific and technical services	258
Melbourne - Outer East	0	Public administration and safety	275
Melbourne - Outer East	0	Rental hiring and real estate services	70
Melbourne - Outer East	0	Retail trade	678
Melbourne - Outer East	0	Transport postal and warehousing	148
Melbourne - Outer East	0	Wholesale trade	264
Melbourne - Outer East	1		1023
Melbourne - Outer East	1	Accommodation and food services	4858
Melbourne - Outer East	1	Administrative and support services	913
Melbourne - Outer East	1	Agriculture forestry and fishing	281
Melbourne - Outer East	1	Arts and recreation services	1039
Melbourne - Outer East	1	Construction	965
Melbourne - Outer East	1	Education and training	2443
Melbourne - Outer East	1	Electricity gas water and waste services	50
Melbourne - Outer East	1	Financial and insurance services	224
Melbourne - Outer East	1	Health care and social assistance	2878
Melbourne - Outer East	1	Information media and telecommunications	309
Melbourne - Outer East	1	Manufacturing	1247
Melbourne - Outer East	1	Mining	3
Melbourne - Outer East	1	Other services	1066
Melbourne - Outer East	1	Professional scientific and technical services	1330
Melbourne - Outer East	1	Public administration and safety	623
Melbourne - Outer East	1	Rental hiring and real estate services	350
Melbourne - Outer East	1	Retail trade	5927
Melbourne - Outer East	1	Transport postal and warehousing	384
Melbourne - Outer East	1	Wholesale trade	569
Melbourne - Outer East	16		733
Melbourne - Outer East	16	Accommodation and food services	1897
Melbourne - Outer East	16	Administrative and support services	684
Melbourne - Outer East	16	Agriculture forestry and fishing	286
Melbourne - Outer East	16	Arts and recreation services	356
Melbourne - Outer East	16	Construction	858
Melbourne - Outer East	16	Education and training	2199
Melbourne - Outer East	16	Electricity gas water and waste services	83
Melbourne - Outer East	16	Financial and insurance services	330
Melbourne - Outer East	16	Health care and social assistance	4004
Melbourne - Outer East	16	Information media and telecommunications	209
Melbourne - Outer East	16	Manufacturing	1155
Melbourne - Outer East	16	Mining	7
Melbourne - Outer East	16	Other services	891
Melbourne - Outer East	16	Professional scientific and technical services	1034
Melbourne - Outer East	16	Public administration and safety	606
Melbourne - Outer East	16	Rental hiring and real estate services	208
Melbourne - Outer East	16	Retail trade	3337
Melbourne - Outer East	16	Transport postal and warehousing	400
Melbourne - Outer East	16	Wholesale trade	640
Melbourne - Outer East	25		828
Melbourne - Outer East	25	Accommodation and food services	1361
Melbourne - Outer East	25	Administrative and support services	679
Melbourne - Outer East	25	Agriculture forestry and fishing	253
Melbourne - Outer East	25	Arts and recreation services	288
Melbourne - Outer East	25	Construction	1117
Melbourne - Outer East	25	Education and training	2092
Melbourne - Outer East	25	Electricity gas water and waste services	113
Melbourne - Outer East	25	Financial and insurance services	346
Melbourne - Outer East	25	Health care and social assistance	4831
Melbourne - Outer East	25	Information media and telecommunications	218
Melbourne - Outer East	25	Manufacturing	1404
Melbourne - Outer East	25	Mining	5
Melbourne - Outer East	25	Other services	868
Melbourne - Outer East	25	Professional scientific and technical services	1149
Melbourne - Outer East	25	Public administration and safety	596
Melbourne - Outer East	25	Rental hiring and real estate services	225
Melbourne - Outer East	25	Retail trade	2903
Melbourne - Outer East	25	Transport postal and warehousing	556
Melbourne - Outer East	25	Wholesale trade	678
Melbourne - Outer East	35		1945
Melbourne - Outer East	35	Accommodation and food services	1026
Melbourne - Outer East	35	Administrative and support services	905
Melbourne - Outer East	35	Agriculture forestry and fishing	342
Melbourne - Outer East	35	Arts and recreation services	381
Melbourne - Outer East	35	Construction	2248
Melbourne - Outer East	35	Education and training	1933
Melbourne - Outer East	35	Electricity gas water and waste services	410
Melbourne - Outer East	35	Financial and insurance services	577
Melbourne - Outer East	35	Health care and social assistance	3928
Melbourne - Outer East	35	Information media and telecommunications	317
Melbourne - Outer East	35	Manufacturing	6438
Melbourne - Outer East	35	Mining	31
Melbourne - Outer East	35	Other services	1512
Melbourne - Outer East	35	Professional scientific and technical services	1575
Melbourne - Outer East	35	Public administration and safety	1207
Melbourne - Outer East	35	Rental hiring and real estate services	398
Melbourne - Outer East	35	Retail trade	3640
Melbourne - Outer East	35	Transport postal and warehousing	908
Melbourne - Outer East	35	Wholesale trade	2485
Melbourne - Outer East	40		1793
Melbourne - Outer East	40	Accommodation and food services	789
Melbourne - Outer East	40	Administrative and support services	835
Melbourne - Outer East	40	Agriculture forestry and fishing	386
Melbourne - Outer East	40	Arts and recreation services	328
Melbourne - Outer East	40	Construction	4349
Melbourne - Outer East	40	Education and training	1550
Melbourne - Outer East	40	Electricity gas water and waste services	524
Melbourne - Outer East	40	Financial and insurance services	686
Melbourne - Outer East	40	Health care and social assistance	2308
Melbourne - Outer East	40	Information media and telecommunications	276
Melbourne - Outer East	40	Manufacturing	4904
Melbourne - Outer East	40	Mining	61
Melbourne - Outer East	40	Other services	1488
Melbourne - Outer East	40	Professional scientific and technical services	1983
Melbourne - Outer East	40	Public administration and safety	1152
Melbourne - Outer East	40	Rental hiring and real estate services	442
Melbourne - Outer East	40	Retail trade	2733
Melbourne - Outer East	40	Transport postal and warehousing	918
Melbourne - Outer East	40	Wholesale trade	2318
Melbourne - Outer East	41		679
Melbourne - Outer East	41	Accommodation and food services	591
Melbourne - Outer East	41	Administrative and support services	339
Melbourne - Outer East	41	Agriculture forestry and fishing	164
Melbourne - Outer East	41	Arts and recreation services	135
Melbourne - Outer East	41	Construction	1768
Melbourne - Outer East	41	Education and training	1336
Melbourne - Outer East	41	Electricity gas water and waste services	203
Melbourne - Outer East	41	Financial and insurance services	225
Melbourne - Outer East	41	Health care and social assistance	1073
Melbourne - Outer East	41	Information media and telecommunications	145
Melbourne - Outer East	41	Manufacturing	2707
Melbourne - Outer East	41	Mining	31
Melbourne - Outer East	41	Other services	701
Melbourne - Outer East	41	Professional scientific and technical services	793
Melbourne - Outer East	41	Public administration and safety	563
Melbourne - Outer East	41	Rental hiring and real estate services	225
Melbourne - Outer East	41	Retail trade	1486
Melbourne - Outer East	41	Transport postal and warehousing	632
Melbourne - Outer East	41	Wholesale trade	1166
Melbourne - Outer East	49		1099
Melbourne - Outer East	49	Accommodation and food services	956
Melbourne - Outer East	49	Administrative and support services	460
Melbourne - Outer East	49	Agriculture forestry and fishing	333
Melbourne - Outer East	49	Arts and recreation services	244
Melbourne - Outer East	49	Construction	2854
Melbourne - Outer East	49	Education and training	2255
Melbourne - Outer East	49	Electricity gas water and waste services	213
Melbourne - Outer East	49	Financial and insurance services	351
Melbourne - Outer East	49	Health care and social assistance	1182
Melbourne - Outer East	49	Information media and telecommunications	313
Melbourne - Outer East	49	Manufacturing	2709
Melbourne - Outer East	49	Mining	112
Melbourne - Outer East	49	Other services	1098
Melbourne - Outer East	49	Professional scientific and technical services	1474
Melbourne - Outer East	49	Public administration and safety	502
Melbourne - Outer East	49	Rental hiring and real estate services	452
Melbourne - Outer East	49	Retail trade	1999
Melbourne - Outer East	49	Transport postal and warehousing	895
Melbourne - Outer East	49	Wholesale trade	1439
Melbourne - South East			3034
Melbourne - South East		Accommodation and food services	237
Melbourne - South East		Administrative and support services	132
Melbourne - South East		Agriculture forestry and fishing	58
Melbourne - South East		Arts and recreation services	37
Melbourne - South East		Construction	326
Melbourne - South East		Education and training	221
Melbourne - South East		Electricity gas water and waste services	24
Melbourne - South East		Financial and insurance services	46
Melbourne - South East		Health care and social assistance	364
Melbourne - South East		Information media and telecommunications	24
Melbourne - South East		Manufacturing	347
Melbourne - South East		Mining	4
Melbourne - South East		Other services	140
Melbourne - South East		Professional scientific and technical services	110
Melbourne - South East		Public administration and safety	87
Melbourne - South East		Rental hiring and real estate services	40
Melbourne - South East		Retail trade	351
Melbourne - South East		Transport postal and warehousing	216
Melbourne - South East		Wholesale trade	119
Melbourne - South East	0		437
Melbourne - South East	0	Accommodation and food services	337
Melbourne - South East	0	Administrative and support services	232
Melbourne - South East	0	Agriculture forestry and fishing	111
Melbourne - South East	0	Arts and recreation services	107
Melbourne - South East	0	Construction	506
Melbourne - South East	0	Education and training	1002
Melbourne - South East	0	Electricity gas water and waste services	76
Melbourne - South East	0	Financial and insurance services	238
Melbourne - South East	0	Health care and social assistance	1564
Melbourne - South East	0	Information media and telecommunications	79
Melbourne - South East	0	Manufacturing	793
Melbourne - South East	0	Mining	11
Melbourne - South East	0	Other services	234
Melbourne - South East	0	Professional scientific and technical services	338
Melbourne - South East	0	Public administration and safety	493
Melbourne - South East	0	Rental hiring and real estate services	94
Melbourne - South East	0	Retail trade	970
Melbourne - South East	0	Transport postal and warehousing	358
Melbourne - South East	0	Wholesale trade	356
Melbourne - South East	1		1505
Melbourne - South East	1	Accommodation and food services	5333
Melbourne - South East	1	Administrative and support services	1396
Melbourne - South East	1	Agriculture forestry and fishing	318
Melbourne - South East	1	Arts and recreation services	1131
Melbourne - South East	1	Construction	1170
Melbourne - South East	1	Education and training	4296
Melbourne - South East	1	Electricity gas water and waste services	89
Melbourne - South East	1	Financial and insurance services	309
Melbourne - South East	1	Health care and social assistance	3663
Melbourne - South East	1	Information media and telecommunications	302
Melbourne - South East	1	Manufacturing	1787
Melbourne - South East	1	Mining	14
Melbourne - South East	1	Other services	1340
Melbourne - South East	1	Professional scientific and technical services	1523
Melbourne - South East	1	Public administration and safety	657
Melbourne - South East	1	Rental hiring and real estate services	341
Melbourne - South East	1	Retail trade	6841
Melbourne - South East	1	Transport postal and warehousing	883
Melbourne - South East	1	Wholesale trade	810
Melbourne - South East	16		1274
Melbourne - South East	16	Accommodation and food services	2425
Melbourne - South East	16	Administrative and support services	1308
Melbourne - South East	16	Agriculture forestry and fishing	314
Melbourne - South East	16	Arts and recreation services	462
Melbourne - South East	16	Construction	1365
Melbourne - South East	16	Education and training	3538
Melbourne - South East	16	Electricity gas water and waste services	111
Melbourne - South East	16	Financial and insurance services	608
Melbourne - South East	16	Health care and social assistance	5561
Melbourne - South East	16	Information media and telecommunications	240
Melbourne - South East	16	Manufacturing	1959
Melbourne - South East	16	Mining	14
Melbourne - South East	16	Other services	1121
Melbourne - South East	16	Professional scientific and technical services	1383
Melbourne - South East	16	Public administration and safety	788
Melbourne - South East	16	Rental hiring and real estate services	291
Melbourne - South East	16	Retail trade	4364
Melbourne - South East	16	Transport postal and warehousing	1127
Melbourne - South East	16	Wholesale trade	1014
Melbourne - South East	25		1338
Melbourne - South East	25	Accommodation and food services	1746
Melbourne - South East	25	Administrative and support services	1242
Melbourne - South East	25	Agriculture forestry and fishing	383
Melbourne - South East	25	Arts and recreation services	432
Melbourne - South East	25	Construction	1653
Melbourne - South East	25	Education and training	3555
Melbourne - South East	25	Electricity gas water and waste services	122
Melbourne - South East	25	Financial and insurance services	644
Melbourne - South East	25	Health care and social assistance	7434
Melbourne - South East	25	Information media and telecommunications	278
Melbourne - South East	25	Manufacturing	2458
Melbourne - South East	25	Mining	15
Melbourne - South East	25	Other services	1092
Melbourne - South East	25	Professional scientific and technical services	1504
Melbourne - South East	25	Public administration and safety	1032
Melbourne - South East	25	Rental hiring and real estate services	323
Melbourne - South East	25	Retail trade	4042
Melbourne - South East	25	Transport postal and warehousing	1537
Melbourne - South East	25	Wholesale trade	1178
Melbourne - South East	35		3817
Melbourne - South East	35	Accommodation and food services	1436
Melbourne - South East	35	Administrative and support services	1895
Melbourne - South East	35	Agriculture forestry and fishing	556
Melbourne - South East	35	Arts and recreation services	465
Melbourne - South East	35	Construction	4407
Melbourne - South East	35	Education and training	5502
Melbourne - South East	35	Electricity gas water and waste services	662
Melbourne - South East	35	Financial and insurance services	1447
Melbourne - South East	35	Health care and social assistance	7167
Melbourne - South East	35	Information media and telecommunications	825
Melbourne - South East	35	Manufacturing	12161
Melbourne - South East	35	Mining	42
Melbourne - South East	35	Other services	2583
Melbourne - South East	35	Professional scientific and technical services	3167
Melbourne - South East	35	Public administration and safety	2381
Melbourne - South East	35	Rental hiring and real estate services	866
Melbourne - South East	35	Retail trade	6290
Melbourne - South East	35	Transport postal and warehousing	3072
Melbourne - South East	35	Wholesale trade	4645
Melbourne - South East	40		3640
Melbourne - South East	40	Accommodation and food services	1123
Melbourne - South East	40	Administrative and support services	1460
Melbourne - South East	40	Agriculture forestry and fishing	541
Melbourne - South East	40	Arts and recreation services	405
Melbourne - South East	40	Construction	7521
Melbourne - South East	40	Education and training	4313
Melbourne - South East	40	Electricity gas water and waste services	771
Melbourne - South East	40	Financial and insurance services	1331
Melbourne - South East	40	Health care and social assistance	5131
Melbourne - South East	40	Information media and telecommunications	818
Melbourne - South East	40	Manufacturing	9890
Melbourne - South East	40	Mining	60
Melbourne - South East	40	Other services	2349
Melbourne - South East	40	Professional scientific and technical services	3878
Melbourne - South East	40	Public administration and safety	2364
Melbourne - South East	40	Rental hiring and real estate services	925
Melbourne - South East	40	Retail trade	4772
Melbourne - South East	40	Transport postal and warehousing	3179
Melbourne - South East	40	Wholesale trade	4679
Melbourne - South East	41		1247
Melbourne - South East	41	Accommodation and food services	680
Melbourne - South East	41	Administrative and support services	571
Melbourne - South East	41	Agriculture forestry and fishing	295
Melbourne - South East	41	Arts and recreation services	221
Melbourne - South East	41	Construction	3145
Melbourne - South East	41	Education and training	2704
Melbourne - South East	41	Electricity gas water and waste services	454
Melbourne - South East	41	Financial and insurance services	485
Melbourne - South East	41	Health care and social assistance	2082
Melbourne - South East	41	Information media and telecommunications	287
Melbourne - South East	41	Manufacturing	5409
Melbourne - South East	41	Mining	45
Melbourne - South East	41	Other services	1102
Melbourne - South East	41	Professional scientific and technical services	1477
Melbourne - South East	41	Public administration and safety	1068
Melbourne - South East	41	Rental hiring and real estate services	529
Melbourne - South East	41	Retail trade	2441
Melbourne - South East	41	Transport postal and warehousing	1904
Melbourne - South East	41	Wholesale trade	2392
Melbourne - South East	49		1820
Melbourne - South East	49	Accommodation and food services	1137
Melbourne - South East	49	Administrative and support services	762
Melbourne - South East	49	Agriculture forestry and fishing	656
Melbourne - South East	49	Arts and recreation services	377
Melbourne - South East	49	Construction	4962
Melbourne - South East	49	Education and training	4350
Melbourne - South East	49	Electricity gas water and waste services	682
Melbourne - South East	49	Financial and insurance services	672
Melbourne - South East	49	Health care and social assistance	2559
Melbourne - South East	49	Information media and telecommunications	375
Melbourne - South East	49	Manufacturing	5799
Melbourne - South East	49	Mining	129
Melbourne - South East	49	Other services	1532
Melbourne - South East	49	Professional scientific and technical services	2223
Melbourne - South East	49	Public administration and safety	910
Melbourne - South East	49	Rental hiring and real estate services	871
Melbourne - South East	49	Retail trade	3217
Melbourne - South East	49	Transport postal and warehousing	3062
Melbourne - South East	49	Wholesale trade	2769
Melbourne - West			2475
Melbourne - West		Accommodation and food services	218
Melbourne - West		Administrative and support services	94
Melbourne - West		Agriculture forestry and fishing	36
Melbourne - West		Arts and recreation services	26
Melbourne - West		Construction	226
Melbourne - West		Education and training	167
Melbourne - West		Electricity gas water and waste services	19
Melbourne - West		Financial and insurance services	33
Melbourne - West		Health care and social assistance	323
Melbourne - West		Information media and telecommunications	22
Melbourne - West		Manufacturing	224
Melbourne - West		Mining	5
Melbourne - West		Other services	105
Melbourne - West		Professional scientific and technical services	74
Melbourne - West		Public administration and safety	85
Melbourne - West		Rental hiring and real estate services	39
Melbourne - West		Retail trade	336
Melbourne - West		Transport postal and warehousing	366
Melbourne - West		Wholesale trade	76
Melbourne - West	0		298
Melbourne - West	0	Accommodation and food services	334
Melbourne - West	0	Administrative and support services	143
Melbourne - West	0	Agriculture forestry and fishing	45
Melbourne - West	0	Arts and recreation services	85
Melbourne - West	0	Construction	320
Melbourne - West	0	Education and training	660
Melbourne - West	0	Electricity gas water and waste services	64
Melbourne - West	0	Financial and insurance services	78
Melbourne - West	0	Health care and social assistance	1124
Melbourne - West	0	Information media and telecommunications	30
Melbourne - West	0	Manufacturing	551
Melbourne - West	0	Mining	8
Melbourne - West	0	Other services	191
Melbourne - West	0	Professional scientific and technical services	191
Melbourne - West	0	Public administration and safety	552
Melbourne - West	0	Rental hiring and real estate services	65
Melbourne - West	0	Retail trade	741
Melbourne - West	0	Transport postal and warehousing	590
Melbourne - West	0	Wholesale trade	203
Melbourne - West	1		1147
Melbourne - West	1	Accommodation and food services	4961
Melbourne - West	1	Administrative and support services	1000
Melbourne - West	1	Agriculture forestry and fishing	137
Melbourne - West	1	Arts and recreation services	872
Melbourne - West	1	Construction	823
Melbourne - West	1	Education and training	2730
Melbourne - West	1	Electricity gas water and waste services	65
Melbourne - West	1	Financial and insurance services	154
Melbourne - West	1	Health care and social assistance	2529
Melbourne - West	1	Information media and telecommunications	262
Melbourne - West	1	Manufacturing	1072
Melbourne - West	1	Mining	13
Melbourne - West	1	Other services	1072
Melbourne - West	1	Professional scientific and technical services	959
Melbourne - West	1	Public administration and safety	700
Melbourne - West	1	Rental hiring and real estate services	245
Melbourne - West	1	Retail trade	6522
Melbourne - West	1	Transport postal and warehousing	1042
Melbourne - West	1	Wholesale trade	504
Melbourne - West	16		923
Melbourne - West	16	Accommodation and food services	2271
Melbourne - West	16	Administrative and support services	889
Melbourne - West	16	Agriculture forestry and fishing	147
Melbourne - West	16	Arts and recreation services	355
Melbourne - West	16	Construction	938
Melbourne - West	16	Education and training	2816
Melbourne - West	16	Electricity gas water and waste services	93
Melbourne - West	16	Financial and insurance services	244
Melbourne - West	16	Health care and social assistance	3984
Melbourne - West	16	Information media and telecommunications	168
Melbourne - West	16	Manufacturing	1068
Melbourne - West	16	Mining	12
Melbourne - West	16	Other services	806
Melbourne - West	16	Professional scientific and technical services	792
Melbourne - West	16	Public administration and safety	914
Melbourne - West	16	Rental hiring and real estate services	243
Melbourne - West	16	Retail trade	4057
Melbourne - West	16	Transport postal and warehousing	1331
Melbourne - West	16	Wholesale trade	590
Melbourne - West	25		973
Melbourne - West	25	Accommodation and food services	1643
Melbourne - West	25	Administrative and support services	809
Melbourne - West	25	Agriculture forestry and fishing	130
Melbourne - West	25	Arts and recreation services	372
Melbourne - West	25	Construction	1189
Melbourne - West	25	Education and training	2994
Melbourne - West	25	Electricity gas water and waste services	125
Melbourne - West	25	Financial and insurance services	312
Melbourne - West	25	Health care and social assistance	5523
Melbourne - West	25	Information media and telecommunications	168
Melbourne - West	25	Manufacturing	1314
Melbourne - West	25	Mining	13
Melbourne - West	25	Other services	842
Melbourne - West	25	Professional scientific and technical services	773
Melbourne - West	25	Public administration and safety	987
Melbourne - West	25	Rental hiring and real estate services	252
Melbourne - West	25	Retail trade	3632
Melbourne - West	25	Transport postal and warehousing	1739
Melbourne - West	25	Wholesale trade	633
Melbourne - West	35		2386
Melbourne - West	35	Accommodation and food services	1261
Melbourne - West	35	Administrative and support services	1295
Melbourne - West	35	Agriculture forestry and fishing	285
Melbourne - West	35	Arts and recreation services	358
Melbourne - West	35	Construction	2781
Melbourne - West	35	Education and training	4268
Melbourne - West	35	Electricity gas water and waste services	537
Melbourne - West	35	Financial and insurance services	542
Melbourne - West	35	Health care and social assistance	4997
Melbourne - West	35	Information media and telecommunications	351
Melbourne - West	35	Manufacturing	6944
Melbourne - West	35	Mining	51
Melbourne - West	35	Other services	1724
Melbourne - West	35	Professional scientific and technical services	1293
Melbourne - West	35	Public administration and safety	2835
Melbourne - West	35	Rental hiring and real estate services	612
Melbourne - West	35	Retail trade	5068
Melbourne - West	35	Transport postal and warehousing	4503
Melbourne - West	35	Wholesale trade	2512
Melbourne - West	40		2362
Melbourne - West	40	Accommodation and food services	1074
Melbourne - West	40	Administrative and support services	920
Melbourne - West	40	Agriculture forestry and fishing	312
Melbourne - West	40	Arts and recreation services	291
Melbourne - West	40	Construction	4955
Melbourne - West	40	Education and training	3182
Melbourne - West	40	Electricity gas water and waste services	569
Melbourne - West	40	Financial and insurance services	661
Melbourne - West	40	Health care and social assistance	4082
Melbourne - West	40	Information media and telecommunications	293
Melbourne - West	40	Manufacturing	5813
Melbourne - West	40	Mining	81
Melbourne - West	40	Other services	1545
Melbourne - West	40	Professional scientific and technical services	1656
Melbourne - West	40	Public administration and safety	2412
Melbourne - West	40	Rental hiring and real estate services	738
Melbourne - West	40	Retail trade	3143
Melbourne - West	40	Transport postal and warehousing	4829
Melbourne - West	40	Wholesale trade	2528
Melbourne - West	41		704
Melbourne - West	41	Accommodation and food services	538
Melbourne - West	41	Administrative and support services	356
Melbourne - West	41	Agriculture forestry and fishing	124
Melbourne - West	41	Arts and recreation services	149
Melbourne - West	41	Construction	1998
Melbourne - West	41	Education and training	1962
Melbourne - West	41	Electricity gas water and waste services	246
Melbourne - West	41	Financial and insurance services	227
Melbourne - West	41	Health care and social assistance	1431
Melbourne - West	41	Information media and telecommunications	94
Melbourne - West	41	Manufacturing	2980
Melbourne - West	41	Mining	47
Melbourne - West	41	Other services	691
Melbourne - West	41	Professional scientific and technical services	586
Melbourne - West	41	Public administration and safety	1235
Melbourne - West	41	Rental hiring and real estate services	366
Melbourne - West	41	Retail trade	1558
Melbourne - West	41	Transport postal and warehousing	2734
Melbourne - West	41	Wholesale trade	1230
Melbourne - West	49		1177
Melbourne - West	49	Accommodation and food services	973
Melbourne - West	49	Administrative and support services	466
Melbourne - West	49	Agriculture forestry and fishing	345
Melbourne - West	49	Arts and recreation services	293
Melbourne - West	49	Construction	3484
Melbourne - West	49	Education and training	2919
Melbourne - West	49	Electricity gas water and waste services	356
Melbourne - West	49	Financial and insurance services	355
Melbourne - West	49	Health care and social assistance	2026
Melbourne - West	49	Information media and telecommunications	199
Melbourne - West	49	Manufacturing	3195
Melbourne - West	49	Mining	155
Melbourne - West	49	Other services	994
Melbourne - West	49	Professional scientific and technical services	1124
Melbourne - West	49	Public administration and safety	1137
Melbourne - West	49	Rental hiring and real estate services	667
Melbourne - West	49	Retail trade	2085
Melbourne - West	49	Transport postal and warehousing	4647
Melbourne - West	49	Wholesale trade	1482
Mornington Peninsula			838
Mornington Peninsula		Accommodation and food services	120
Mornington Peninsula		Administrative and support services	28
Mornington Peninsula		Agriculture forestry and fishing	20
Mornington Peninsula		Arts and recreation services	33
Mornington Peninsula		Construction	130
Mornington Peninsula		Education and training	77
Mornington Peninsula		Electricity gas water and waste services	9
Mornington Peninsula		Financial and insurance services	11
Mornington Peninsula		Health care and social assistance	127
Mornington Peninsula		Information media and telecommunications	12
Mornington Peninsula		Manufacturing	48
Mornington Peninsula		Mining	5
Mornington Peninsula		Other services	40
Mornington Peninsula		Professional scientific and technical services	34
Mornington Peninsula		Public administration and safety	38
Mornington Peninsula		Rental hiring and real estate services	18
Mornington Peninsula		Retail trade	134
Mornington Peninsula		Transport postal and warehousing	29
Mornington Peninsula		Wholesale trade	22
Mornington Peninsula	0		143
Mornington Peninsula	0	Accommodation and food services	200
Mornington Peninsula	0	Administrative and support services	105
Mornington Peninsula	0	Agriculture forestry and fishing	37
Mornington Peninsula	0	Arts and recreation services	80
Mornington Peninsula	0	Construction	218
Mornington Peninsula	0	Education and training	302
Mornington Peninsula	0	Electricity gas water and waste services	36
Mornington Peninsula	0	Financial and insurance services	56
Mornington Peninsula	0	Health care and social assistance	783
Mornington Peninsula	0	Information media and telecommunications	26
Mornington Peninsula	0	Manufacturing	160
Mornington Peninsula	0	Mining	4
Mornington Peninsula	0	Other services	92
Mornington Peninsula	0	Professional scientific and technical services	140
Mornington Peninsula	0	Public administration and safety	233
Mornington Peninsula	0	Rental hiring and real estate services	48
Mornington Peninsula	0	Retail trade	416
Mornington Peninsula	0	Transport postal and warehousing	84
Mornington Peninsula	0	Wholesale trade	45
Mornington Peninsula	1		522
Mornington Peninsula	1	Accommodation and food services	2741
Mornington Peninsula	1	Administrative and support services	628
Mornington Peninsula	1	Agriculture forestry and fishing	183
Mornington Peninsula	1	Arts and recreation services	567
Mornington Peninsula	1	Construction	582
Mornington Peninsula	1	Education and training	1109
Mornington Peninsula	1	Electricity gas water and waste services	34
Mornington Peninsula	1	Financial and insurance services	123
Mornington Peninsula	1	Health care and social assistance	1785
Mornington Peninsula	1	Information media and telecommunications	127
Mornington Peninsula	1	Manufacturing	537
Mornington Peninsula	1	Mining	13
Mornington Peninsula	1	Other services	590
Mornington Peninsula	1	Professional scientific and technical services	726
Mornington Peninsula	1	Public administration and safety	319
Mornington Peninsula	1	Rental hiring and real estate services	175
Mornington Peninsula	1	Retail trade	3477
Mornington Peninsula	1	Transport postal and warehousing	226
Mornington Peninsula	1	Wholesale trade	174
Mornington Peninsula	16		404
Mornington Peninsula	16	Accommodation and food services	1112
Mornington Peninsula	16	Administrative and support services	437
Mornington Peninsula	16	Agriculture forestry and fishing	155
Mornington Peninsula	16	Arts and recreation services	247
Mornington Peninsula	16	Construction	537
Mornington Peninsula	16	Education and training	1156
Mornington Peninsula	16	Electricity gas water and waste services	59
Mornington Peninsula	16	Financial and insurance services	173
Mornington Peninsula	16	Health care and social assistance	2604
Mornington Peninsula	16	Information media and telecommunications	84
Mornington Peninsula	16	Manufacturing	418
Mornington Peninsula	16	Mining	7
Mornington Peninsula	16	Other services	431
Mornington Peninsula	16	Professional scientific and technical services	559
Mornington Peninsula	16	Public administration and safety	365
Mornington Peninsula	16	Rental hiring and real estate services	182
Mornington Peninsula	16	Retail trade	1873
Mornington Peninsula	16	Transport postal and warehousing	175
Mornington Peninsula	16	Wholesale trade	191
Mornington Peninsula	25		400
Mornington Peninsula	25	Accommodation and food services	983
Mornington Peninsula	25	Administrative and support services	448
Mornington Peninsula	25	Agriculture forestry and fishing	173
Mornington Peninsula	25	Arts and recreation services	256
Mornington Peninsula	25	Construction	769
Mornington Peninsula	25	Education and training	1298
Mornington Peninsula	25	Electricity gas water and waste services	92
Mornington Peninsula	25	Financial and insurance services	188
Mornington Peninsula	25	Health care and social assistance	3667
Mornington Peninsula	25	Information media and telecommunications	95
Mornington Peninsula	25	Manufacturing	539
Mornington Peninsula	25	Mining	9
Mornington Peninsula	25	Other services	506
Mornington Peninsula	25	Professional scientific and technical services	620
Mornington Peninsula	25	Public administration and safety	443
Mornington Peninsula	25	Rental hiring and real estate services	176
Mornington Peninsula	25	Retail trade	1717
Mornington Peninsula	25	Transport postal and warehousing	252
Mornington Peninsula	25	Wholesale trade	164
Mornington Peninsula	35		689
Mornington Peninsula	35	Accommodation and food services	756
Mornington Peninsula	35	Administrative and support services	462
Mornington Peninsula	35	Agriculture forestry and fishing	210
Mornington Peninsula	35	Arts and recreation services	274
Mornington Peninsula	35	Construction	1339
Mornington Peninsula	35	Education and training	1329
Mornington Peninsula	35	Electricity gas water and waste services	158
Mornington Peninsula	35	Financial and insurance services	218
Mornington Peninsula	35	Health care and social assistance	2736
Mornington Peninsula	35	Information media and telecommunications	111
Mornington Peninsula	35	Manufacturing	1604
Mornington Peninsula	35	Mining	48
Mornington Peninsula	35	Other services	650
Mornington Peninsula	35	Professional scientific and technical services	608
Mornington Peninsula	35	Public administration and safety	985
Mornington Peninsula	35	Rental hiring and real estate services	270
Mornington Peninsula	35	Retail trade	1862
Mornington Peninsula	35	Transport postal and warehousing	306
Mornington Peninsula	35	Wholesale trade	355
Mornington Peninsula	40		744
Mornington Peninsula	40	Accommodation and food services	595
Mornington Peninsula	40	Administrative and support services	433
Mornington Peninsula	40	Agriculture forestry and fishing	255
Mornington Peninsula	40	Arts and recreation services	258
Mornington Peninsula	40	Construction	2804
Mornington Peninsula	40	Education and training	1049
Mornington Peninsula	40	Electricity gas water and waste services	376
